"","id","SampleN","lower","upper","filename"
"128","a40017",24081793,24081168,24082418,"a40017_112"
"129","a40017",24152043,24151418,24152668,"a40017_113"
"132","a40017",24343168,24342543,24343793,"a40017_114"
"133","a40017",24345918,24345293,24346543,"a40017_115"
"134","a40017",24348293,24347668,24348918,"a40017_116"
"136","a40017",24374919,24374294,24375544,"a40017_117"
"2636","a40050",139345,138720,139970,"a40050_11"
"2637","a40050",144345,143720,144970,"a40050_12"
"2639","a40050",148220,147595,148845,"a40050_13"
"2640","a40050",171970,171345,172595,"a40050_14"
"2641","a40050",172220,171595,172845,"a40050_15"
"2642","a40050",192345,191720,192970,"a40050_16"
"2643","a40050",192346,191721,192971,"a40050_17"
"2644","a40050",193220,192595,193845,"a40050_18"
"2645","a40050",196220,195595,196845,"a40050_19"
"2646","a40050",216345,215720,216970,"a40050_20"
"2648","a40050",240720,240095,241345,"a40050_21"
"2649","a40050",241720,241095,242345,"a40050_22"
"2650","a40050",265220,264595,265845,"a40050_23"
"2651","a40050",267095,266470,267720,"a40050_24"
"2652","a40050",308345,307720,308970,"a40050_25"
"2653","a40050",333220,332595,333845,"a40050_26"
"2654","a40050",349595,348970,350220,"a40050_27"
"2655","a40050",353595,352970,354220,"a40050_28"
"2656","a40050",398220,397595,398845,"a40050_29"
"2657","a40050",399845,399220,400470,"a40050_30"
"2658","a40050",424845,424220,425470,"a40050_31"
"2659","a40050",426470,425845,427095,"a40050_32"
"2660","a40050",433220,432595,433845,"a40050_33"
"2661","a40050",435220,434595,435845,"a40050_34"
"2662","a40050",439220,438595,439845,"a40050_35"
"2663","a40050",463845,463220,464470,"a40050_36"
"2664","a40050",491596,490971,492221,"a40050_37"
"2665","a40050",515720,515095,516345,"a40050_38"
"2666","a40050",517095,516470,517720,"a40050_39"
"2667","a40050",521595,520970,522220,"a40050_40"
"2668","a40050",522470,521845,523095,"a40050_41"
"2669","a40050",551970,551345,552595,"a40050_42"
"2670","a40050",552970,552345,553595,"a40050_43"
"2671","a40050",578095,577470,578720,"a40050_44"
"11923","a40119",82509126,82508501,82509751,"a40119_463"
"25023","a40277",2894877,2894252,2895502,"a40277_21"
"25024","a40277",3160252,3159627,3160877,"a40277_22"
"37659","a40454",16712383,16711758,16713008,"a40454_20"
"37660","a40454",16712883,16712258,16713508,"a40454_21"
"37661","a40454",16740883,16740258,16741508,"a40454_22"
"37662","a40454",16750383,16749758,16751008,"a40454_23"
"37663","a40454",16752383,16751758,16753008,"a40454_24"
"37664","a40454",16752508,16751883,16753133,"a40454_25"
"37665","a40454",16903883,16903258,16904508,"a40454_26"
"37666","a40454",16953758,16953133,16954383,"a40454_27"
"42753","a40501",24998488,24997863,24999113,"a40501_296"
"46126","a40542",35917130,35916505,35917755,"a40542_97"
"46466","a40546",26116183,26115558,26116808,"a40546_249"
"50617","a40633",37703129,37702504,37703754,"a40633_133"
"50618","a40633",38009004,38008379,38009629,"a40633_134"
"53764","a40660",15388144,15387519,15388769,"a40660_974"
"53765","a40660",15423894,15423269,15424519,"a40660_975"
"53766","a40660",15447519,15446894,15448144,"a40660_976"
"53767","a40660",15486019,15485394,15486644,"a40660_977"
"53768","a40660",15492019,15491394,15492644,"a40660_978"
"53769","a40660",15524769,15524144,15525394,"a40660_979"
"53770","a40660",15527269,15526644,15527894,"a40660_980"
"53771","a40660",15532519,15531894,15533144,"a40660_981"
"53772","a40660",15566394,15565769,15567019,"a40660_982"
"53773","a40660",15575769,15575144,15576394,"a40660_983"
"53774","a40660",15638769,15638144,15639394,"a40660_984"
"53775","a40660",15640144,15639519,15640769,"a40660_985"
"53776","a40660",15668769,15668144,15669394,"a40660_986"
"53777","a40660",15692644,15692019,15693269,"a40660_987"
"53778","a40660",15721769,15721144,15722394,"a40660_988"
"53779","a40660",15721770,15721145,15722395,"a40660_989"
"53780","a40660",15745019,15744394,15745644,"a40660_990"
"53781","a40660",15746894,15746269,15747519,"a40660_991"
"53782","a40660",15771019,15770394,15771644,"a40660_992"
"53783","a40660",15794144,15793519,15794769,"a40660_993"
"53784","a40660",15795769,15795144,15796394,"a40660_994"
"53785","a40660",15803269,15802644,15803894,"a40660_995"
"53786","a40660",15835519,15834894,15836144,"a40660_996"
"61795","a40696",16086627,16086002,16087252,"a40696_3"
"63453","a40717",5335617,5334992,5336242,"a40717_3"
"64619","a40729",65197540,65196915,65198165,"a40729_173"
"68121","a40764",15943384,15942759,15944009,"a40764_483"
"68122","a40764",16006259,16005634,16006884,"a40764_484"
"68123","a40764",16023259,16022634,16023884,"a40764_485"
"69504","a40781",48579400,48578775,48580025,"a40781_667"
"69505","a40781",48888525,48887900,48889150,"a40781_668"
"69506","a40781",48891275,48890650,48891900,"a40781_669"
"77504","a41068",57609400,57608775,57610025,"a41068_892"
"77505","a41068",57634775,57634150,57635400,"a41068_893"
"77507","a41068",57655525,57654900,57656150,"a41068_894"
"77508","a41068",57655526,57654901,57656151,"a41068_895"
"77509","a41068",57656900,57656275,57657525,"a41068_896"
"90860","a41259",35962265,35961640,35962890,"a41259_233"
"91575","a41278",26139432,26138807,26140057,"a41278_56"
"91576","a41278",26216182,26215557,26216807,"a41278_57"
"91583","a41278",26350182,26349557,26350807,"a41278_58"
"91584","a41278",26427057,26426432,26427682,"a41278_59"
"91592","a41278",26530057,26529432,26530682,"a41278_60"
"97871","a41350",15296788,15296163,15297413,"a41350_418"
"97872","a41350",15465288,15464663,15465913,"a41350_419"
"97873","a41350",15542538,15541913,15543163,"a41350_420"
"97874","a41350",15549663,15549038,15550288,"a41350_421"
"97875","a41350",15594913,15594288,15595538,"a41350_422"
"97876","a41350",15627038,15626413,15627663,"a41350_423"
"97877","a41350",15655288,15654663,15655913,"a41350_424"
"97878","a41350",15684788,15684163,15685413,"a41350_425"
"100368","a41392",3963315,3962690,3963940,"a41392_23"
"100369","a41392",3986315,3985690,3986940,"a41392_24"
"100370","a41392",4009315,4008690,4009940,"a41392_25"
"100371","a41392",4032440,4031815,4033065,"a41392_26"
"100372","a41392",4055440,4054815,4056065,"a41392_27"
"100373","a41392",4078440,4077815,4079065,"a41392_28"
"100374","a41392",4101565,4100940,4102190,"a41392_29"
"100375","a41392",4124565,4123940,4125190,"a41392_30"
"100376","a41392",4147565,4146940,4148190,"a41392_31"
"100377","a41392",4170690,4170065,4171315,"a41392_32"
"100378","a41392",4193690,4193065,4194315,"a41392_33"
"100379","a41392",4216690,4216065,4217315,"a41392_34"
"100380","a41392",4270190,4269565,4270815,"a41392_35"
"105227","a41431",38555917,38555292,38556542,"a41431_165"
"105639","a41432",2447905,2447280,2448530,"a41432_80"
"105640","a41432",2483530,2482905,2484155,"a41432_81"
"105641","a41432",2518780,2518155,2519405,"a41432_82"
"105642","a41432",2519155,2518530,2519780,"a41432_83"
"105643","a41432",2520780,2520155,2521405,"a41432_84"
"105644","a41432",2559280,2558655,2559905,"a41432_85"
"105645","a41432",2559405,2558780,2560030,"a41432_86"
"105646","a41432",2589155,2588530,2589780,"a41432_87"
"105647","a41432",2589405,2588780,2590030,"a41432_88"
"105648","a41432",2604405,2603780,2605030,"a41432_89"
"105649","a41432",2625905,2625280,2626530,"a41432_90"
"105650","a41432",2631905,2631280,2632530,"a41432_91"
"105651","a41432",2658530,2657905,2659155,"a41432_92"
"105652","a41432",2658655,2658030,2659280,"a41432_93"
"105653","a41432",2708655,2708030,2709280,"a41432_94"
"105654","a41432",2708905,2708280,2709530,"a41432_95"
"105655","a41432",2708906,2708281,2709531,"a41432_96"
"105657","a41432",2750530,2749905,2751155,"a41432_97"
"105658","a41432",2757530,2756905,2758155,"a41432_98"
"105659","a41432",2775155,2774530,2775780,"a41432_99"
"105660","a41432",2781780,2781155,2782405,"a41432_100"
"105661","a41432",2819905,2819280,2820530,"a41432_101"
"105662","a41432",2826655,2826030,2827280,"a41432_102"
"105663","a41432",2852905,2852280,2853530,"a41432_103"
"105664","a41432",2863030,2862405,2863655,"a41432_104"
"108082","a41470",50115560,50114935,50116185,"a41470_843"
"108083","a41470",50285060,50284435,50285685,"a41470_844"
"112972","a41521",14864817,14864192,14865442,"a41521_58"
"112973","a41521",14887942,14887317,14888567,"a41521_59"
"112974","a41521",14892942,14892317,14893567,"a41521_60"
"112975","a41521",14934817,14934192,14935442,"a41521_61"
"112976","a41521",14958692,14958067,14959317,"a41521_62"
"112977","a41521",14958817,14958192,14959442,"a41521_63"
"112978","a41521",14983567,14982942,14984192,"a41521_64"
"112979","a41521",14983568,14982943,14984193,"a41521_65"
"117319","a41610",1899,1274,2524,"a41610_1"
"117320","a41610",20149,19524,20774,"a41610_2"
"117321","a41610",29024,28399,29649,"a41610_3"
"117322","a41610",43149,42524,43774,"a41610_4"
"117323","a41610",50649,50024,51274,"a41610_5"
"117324","a41610",55399,54774,56024,"a41610_6"
"117325","a41610",57149,56524,57774,"a41610_7"
"117326","a41610",59149,58524,59774,"a41610_8"
"117327","a41610",61024,60399,61649,"a41610_9"
"117328","a41610",90524,89899,91149,"a41610_10"
"117329","a41610",91524,90899,92149,"a41610_11"
"117330","a41610",101024,100399,101649,"a41610_12"
"117331","a41610",103649,103024,104274,"a41610_13"
"117332","a41610",105649,105024,106274,"a41610_14"
"117333","a41610",109149,108524,109774,"a41610_15"
"117334","a41610",114524,113899,115149,"a41610_16"
"117335","a41610",115399,114774,116024,"a41610_17"
"117336","a41610",116024,115399,116649,"a41610_18"
"117337","a41610",118774,118149,119399,"a41610_19"
"117338","a41610",127024,126399,127649,"a41610_20"
"117339","a41610",133774,133149,134399,"a41610_21"
"117340","a41610",137399,136774,138024,"a41610_22"
"117341","a41610",139024,138399,139649,"a41610_23"
"117342","a41610",170274,169649,170899,"a41610_24"
"117343","a41610",187024,186399,187649,"a41610_25"
"117344","a41610",228399,227774,229024,"a41610_26"
"117345","a41610",235899,235274,236524,"a41610_27"
"117346","a41610",255899,255274,256524,"a41610_28"
"117347","a41610",257899,257274,258524,"a41610_29"
"117348","a41610",283024,282399,283649,"a41610_30"
"122277","a41653",35093256,35092631,35093881,"a41653_1373"
"122278","a41653",35120881,35120256,35121506,"a41653_1374"
"122279","a41653",35164131,35163506,35164756,"a41653_1375"
"122280","a41653",35187506,35186881,35188131,"a41653_1376"
"122281","a41653",35212756,35212131,35213381,"a41653_1377"
"122282","a41653",35264506,35263881,35265131,"a41653_1378"
"122283","a41653",35269756,35269131,35270381,"a41653_1379"
"122284","a41653",35316131,35315506,35316756,"a41653_1380"
"122285","a41653",35341131,35340506,35341756,"a41653_1381"
"122286","a41653",35367256,35366631,35367881,"a41653_1382"
"122287","a41653",35400631,35400006,35401256,"a41653_1383"
"122288","a41653",35441131,35440506,35441756,"a41653_1384"
"122289","a41653",35467881,35467256,35468506,"a41653_1385"
"122290","a41653",35506006,35505381,35506631,"a41653_1386"
"126123","a41709",6156429,6155804,6157054,"a41709_95"
"126124","a41709",6181054,6180429,6181679,"a41709_96"
"126125","a41709",6204929,6204304,6205554,"a41709_97"
"126126","a41709",6211429,6210804,6212054,"a41709_98"
"126127","a41709",6236804,6236179,6237429,"a41709_99"
"126128","a41709",6268304,6267679,6268929,"a41709_100"
"126129","a41709",6271554,6270929,6272179,"a41709_101"
"126130","a41709",6291804,6291179,6292429,"a41709_102"
"126131","a41709",6317054,6316429,6317679,"a41709_103"
"126132","a41709",6320804,6320179,6321429,"a41709_104"
"126133","a41709",6323179,6322554,6323804,"a41709_105"
"126135","a41709",6332179,6331554,6332804,"a41709_106"
"126136","a41709",6336304,6335679,6336929,"a41709_107"
"126137","a41709",6389554,6388929,6390179,"a41709_108"
"126138","a41709",6414429,6413804,6415054,"a41709_109"
"126139","a41709",6415429,6414804,6416054,"a41709_110"
"126140","a41709",6469429,6468804,6470054,"a41709_111"
"126141","a41709",6478679,6478054,6479304,"a41709_112"
"126143","a41709",6502429,6501804,6503054,"a41709_113"
"126144","a41709",6503679,6503054,6504304,"a41709_114"
"126145","a41709",6514304,6513679,6514929,"a41709_115"
"126146","a41709",6538429,6537804,6539054,"a41709_116"
"126147","a41709",6539554,6538929,6540179,"a41709_117"
"126148","a41709",6568679,6568054,6569304,"a41709_118"
"135904","a41827",15599197,15598572,15599822,"a41827_976"
"135905","a41827",15628947,15628322,15629572,"a41827_977"
"135906","a41827",15642947,15642322,15643572,"a41827_978"
"135907","a41827",15655572,15654947,15656197,"a41827_979"
"135908","a41827",15657947,15657322,15658572,"a41827_980"
"135909","a41827",15661322,15660697,15661947,"a41827_981"
"135910","a41827",15674822,15674197,15675447,"a41827_982"
"135911","a41827",15679572,15678947,15680197,"a41827_983"
"135912","a41827",15679822,15679197,15680447,"a41827_984"
"135913","a41827",15691072,15690447,15691697,"a41827_985"
"135914","a41827",15699322,15698697,15699947,"a41827_986"
"135915","a41827",15706447,15705822,15707072,"a41827_987"
"135916","a41827",15709197,15708572,15709822,"a41827_988"
"135917","a41827",15751822,15751197,15752447,"a41827_989"
"135918","a41827",15766697,15766072,15767322,"a41827_990"
"135919","a41827",15774947,15774322,15775572,"a41827_991"
"135920","a41827",15781572,15780947,15782197,"a41827_992"
"135921","a41827",15799197,15798572,15799822,"a41827_993"
"135922","a41827",15812572,15811947,15813197,"a41827_994"
"135923","a41827",15829947,15829322,15830572,"a41827_995"
"135924","a41827",15853197,15852572,15853822,"a41827_996"
"135925","a41827",15856697,15856072,15857322,"a41827_997"
"135926","a41827",15860822,15860197,15861447,"a41827_998"
"135927","a41827",15866072,15865447,15866697,"a41827_999"
"135928","a41827",15886947,15886322,15887572,"a41827_1000"
"135929","a41827",15892697,15892072,15893322,"a41827_1001"
"135930","a41827",15909322,15908697,15909947,"a41827_1002"
"135931","a41827",15932822,15932197,15933447,"a41827_1003"
"135932","a41827",15934697,15934072,15935322,"a41827_1004"
"135933","a41827",15935572,15934947,15936197,"a41827_1005"
"135934","a41827",15958822,15958197,15959447,"a41827_1006"
"135935","a41827",15970697,15970072,15971322,"a41827_1007"
"135936","a41827",15977197,15976572,15977822,"a41827_1008"
"135937","a41827",15994072,15993447,15994697,"a41827_1009"
"135938","a41827",16009447,16008822,16010072,"a41827_1010"
"135939","a41827",16017322,16016697,16017947,"a41827_1011"
"135940","a41827",16019072,16018447,16019697,"a41827_1012"
"143025","a41933",14841636,14841011,14842261,"a41933_39"
"143026","a41933",14846511,14845886,14847136,"a41933_40"
"151696","a42042",5862294,5861669,5862919,"a42042_752"
"151697","a42042",5864669,5864044,5865294,"a42042_753"
"151698","a42042",5874169,5873544,5874794,"a42042_754"
"151700","a42042",5893544,5892919,5894169,"a42042_755"
"151701","a42042",5897544,5896919,5898169,"a42042_756"
"151702","a42042",5902794,5902169,5903419,"a42042_757"
"151703","a42042",5911919,5911294,5912544,"a42042_758"
"151704","a42042",5919545,5918920,5920170,"a42042_759"
"151705","a42042",5919919,5919294,5920544,"a42042_760"
"151706","a42042",5920169,5919544,5920794,"a42042_761"
"151707","a42042",5920419,5919794,5921044,"a42042_762"
"151708","a42042",5926294,5925669,5926919,"a42042_763"
"151709","a42042",5926669,5926044,5927294,"a42042_764"
"151711","a42042",5935544,5934919,5936169,"a42042_765"
"151713","a42042",5942294,5941669,5942919,"a42042_766"
"151714","a42042",5942544,5941919,5943169,"a42042_767"
"151715","a42042",5942794,5942169,5943419,"a42042_768"
"151716","a42042",5942795,5942170,5943420,"a42042_769"
"151717","a42042",5942919,5942294,5943544,"a42042_770"
"151718","a42042",5943294,5942669,5943919,"a42042_771"
