'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'32:00.760',-,-,-,-,-,-,-0.104,-0.088,75.600,-
'32:00.768',-,-,-,-,-,-,-0.104,-0.112,74.400,-
'32:00.776',-,-,-,-,-,-,-0.080,-0.088,74.400,-
'32:00.784',-,-,-,-,-,-,-0.056,-0.064,73.200,-
'32:00.792',-,-,-,-,-,-,-0.056,-0.064,73.200,-
'32:00.800',-,-,-,-,-,-,-0.080,-0.088,73.200,-
'32:00.808',-,-,-,-,-,-,-0.080,-0.064,72.000,-
'32:00.816',-,-,-,-,-,-,-0.080,-0.088,72.000,-
'32:00.824',-,-,-,-,-,-,-0.056,-0.112,72.000,-
'32:00.832',-,-,-,-,-,-,-0.056,-0.040,70.800,-
'32:00.840',-,-,-,-,-,-,-0.080,-0.088,70.800,-
'32:00.848',-,-,-,-,-,-,-0.104,-0.112,70.800,-
'32:00.856',-,-,-,-,-,-,-0.104,-0.112,69.600,-
'32:00.864',-,-,-,-,-,-,-0.080,-0.112,69.600,-
'32:00.872',-,-,-,-,-,-,-0.056,-0.040,69.600,-
'32:00.880',-,-,-,-,-,-,-0.056,-0.040,68.400,-
'32:00.888',-,-,-,-,-,-,-0.056,-0.040,68.400,-
'32:00.896',-,-,-,-,-,-,-0.056,-0.040,68.400,-
'32:00.904',-,-,-,-,-,-,-0.080,-0.088,67.200,-
'32:00.912',-,-,-,-,-,-,-0.080,-0.112,67.200,-
'32:00.920',-,-,-,-,-,-,-0.056,-0.064,66.000,-
'32:00.928',-,-,-,-,-,-,-0.056,-0.040,66.000,-
'32:00.936',-,-,-,-,-,-,-0.056,-0.040,66.000,-
'32:00.944',-,-,-,-,-,-,-0.056,-0.064,64.800,-
'32:00.952',-,-,-,-,-,-,-0.056,-0.064,64.800,-
'32:00.960',-,-,-,-,-,-,-0.056,-0.040,64.800,-
'32:00.968',-,-,-,-,-,-,-0.056,-0.040,64.800,-
'32:00.976',-,-,-,-,-,-,-0.056,-0.064,63.600,-
'32:00.984',-,-,-,-,-,-,-0.040,-0.040,63.600,-
'32:00.992',-,-,-,-,-,-,-0.040,-0.016,63.600,-
'32:01.000',-,-,-,-,-,-,-0.040,-0.040,63.600,-
'32:01.008',-,-,-,-,-,-,-0.040,-0.016,62.400,-
'32:01.016',-,-,-,-,-,-,-0.040,-0.040,62.400,-
'32:01.024',-,-,-,-,-,-,-0.040,-0.016,62.400,-
'32:01.032',-,-,-,-,-,-,-0.016,0.000,62.400,-
'32:01.040',-,-,-,-,-,-,0.000,0.000,61.200,-
'32:01.048',-,-,-,-,-,-,0.000,0.000,61.200,-
'32:01.056',-,-,-,-,-,-,0.016,0.000,61.200,-
'32:01.064',-,-,-,-,-,-,0.016,0.040,61.200,-
'32:01.072',-,-,-,-,-,-,0.016,0.040,60.000,-
'32:01.080',-,-,-,-,-,-,0.000,0.000,60.000,-
'32:01.088',-,-,-,-,-,-,-0.016,0.000,60.000,-
'32:01.096',-,-,-,-,-,-,-0.040,0.000,60.000,-
'32:01.104',-,-,-,-,-,-,-0.040,-0.040,60.000,-
'32:01.112',-,-,-,-,-,-,-0.040,-0.016,60.000,-
'32:01.120',-,-,-,-,-,-,-0.016,-0.040,60.000,-
'32:01.128',-,-,-,-,-,-,0.000,0.000,60.000,-
'32:01.136',-,-,-,-,-,-,0.000,0.016,60.000,-
'32:01.144',-,-,-,-,-,-,-0.016,0.000,60.000,-
'32:01.152',-,-,-,-,-,-,0.000,0.000,60.000,-
'32:01.160',-,-,-,-,-,-,-0.016,0.000,60.000,-
'32:01.168',-,-,-,-,-,-,0.016,0.000,60.000,-
