'Elapsed time','I','II','III','AVF','V','MCL1','ABP','PAP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg','mmHg'
'37:12:02.064',-,0.056,-,-,-,-,64.800,27.960,45.000
'37:12:02.072',-,0.040,-,-,-,-,64.800,27.960,45.000
'37:12:02.080',-,0.024,-,-,-,-,64.800,27.480,45.000
'37:12:02.088',-,0.008,-,-,-,-,64.800,27.480,45.000
'37:12:02.096',-,0.000,-,-,-,-,63.600,27.120,45.000
'37:12:02.104',-,-0.024,-,-,-,-,63.600,27.120,45.000
'37:12:02.112',-,-0.040,-,-,-,-,63.600,27.120,45.000
'37:12:02.120',-,-0.056,-,-,-,-,63.600,27.120,45.000
'37:12:02.128',-,-0.056,-,-,-,-,63.600,26.760,45.000
'37:12:02.136',-,-0.056,-,-,-,-,63.600,26.760,45.000
'37:12:02.144',-,-0.056,-,-,-,-,62.400,26.280,45.000
'37:12:02.152',-,-0.056,-,-,-,-,62.400,25.920,45.000
'37:12:02.160',-,-0.064,-,-,-,-,62.400,25.920,45.000
'37:12:02.168',-,-0.080,-,-,-,-,62.400,25.920,45.000
'37:12:02.176',-,-0.112,-,-,-,-,62.400,25.920,45.000
'37:12:02.184',-,-0.152,-,-,-,-,62.400,25.920,45.000
'37:12:02.192',-,-0.200,-,-,-,-,62.400,25.920,45.000
'37:12:02.200',-,-0.208,-,-,-,-,62.400,25.920,45.000
'37:12:02.208',-,-0.152,-,-,-,-,62.400,26.280,45.000
'37:12:02.216',-,-0.056,-,-,-,-,61.200,27.480,45.000
'37:12:02.224',-,0.040,-,-,-,-,61.200,29.880,45.000
'37:12:02.232',-,0.128,-,-,-,-,61.200,32.280,45.000
'37:12:02.240',-,0.152,-,-,-,-,61.200,33.480,45.000
'37:12:02.248',-,0.080,-,-,-,-,60.000,32.280,45.000
'37:12:02.256',-,0.024,-,-,-,-,60.000,28.320,45.000
'37:12:02.264',-,0.000,-,-,-,-,60.000,23.880,45.000
'37:12:02.272',-,-0.008,-,-,-,-,60.000,21.480,45.000
'37:12:02.280',-,0.024,-,-,-,-,58.800,21.120,45.000
'37:12:02.288',-,0.040,-,-,-,-,58.800,23.160,45.000
'37:12:02.296',-,0.040,-,-,-,-,58.800,26.280,45.000
'37:12:02.304',-,0.040,-,-,-,-,58.800,31.080,45.000
'37:12:02.312',-,0.024,-,-,-,-,57.600,35.880,45.000
'37:12:02.320',-,0.008,-,-,-,-,57.600,40.320,45.000
'37:12:02.328',-,0.008,-,-,-,-,57.600,43.560,45.000
'37:12:02.336',-,0.000,-,-,-,-,57.600,45.480,45.000
'37:12:02.344',-,0.000,-,-,-,-,57.600,46.320,45.000
'37:12:02.352',-,0.008,-,-,-,-,57.600,46.680,45.000
'37:12:02.360',-,0.008,-,-,-,-,57.600,47.520,45.000
'37:12:02.368',-,0.008,-,-,-,-,57.600,48.360,45.000
'37:12:02.376',-,0.008,-,-,-,-,57.600,49.560,45.000
'37:12:02.384',-,0.008,-,-,-,-,57.600,50.760,45.000
'37:12:02.392',-,0.008,-,-,-,-,58.800,50.760,45.000
'37:12:02.400',-,0.008,-,-,-,-,62.400,49.920,45.000
'37:12:02.408',-,0.008,-,-,-,-,69.600,49.080,45.000
'37:12:02.416',-,0.024,-,-,-,-,79.200,47.520,45.000
'37:12:02.424',-,0.024,-,-,-,-,91.200,46.680,45.000
'37:12:02.432',-,0.024,-,-,-,-,103.200,46.320,45.000
'37:12:02.440',-,0.024,-,-,-,-,112.800,45.960,45.000
'37:12:02.448',-,0.024,-,-,-,-,120.000,45.480,45.000
'37:12:02.456',-,0.024,-,-,-,-,124.800,45.120,45.000
'37:12:02.464',-,0.040,-,-,-,-,127.200,44.760,45.000
'37:12:02.472',-,0.040,-,-,-,-,128.400,44.280,45.000
'37:12:02.480',-,0.040,-,-,-,-,128.400,43.920,45.000
'37:12:02.488',-,0.040,-,-,-,-,127.200,43.560,45.000
'37:12:02.496',-,0.040,-,-,-,-,127.200,42.720,45.000
'37:12:02.504',-,0.040,-,-,-,-,126.000,42.360,45.000
'37:12:02.512',-,0.040,-,-,-,-,124.800,41.520,45.000
'37:12:02.520',-,0.024,-,-,-,-,124.800,40.680,45.000
'37:12:02.528',-,0.024,-,-,-,-,123.600,40.320,45.000
'37:12:02.536',-,0.024,-,-,-,-,121.200,39.120,45.000
'37:12:02.544',-,0.024,-,-,-,-,120.000,38.280,45.000
'37:12:02.552',-,0.024,-,-,-,-,118.800,37.080,45.000
'37:12:02.560',-,0.008,-,-,-,-,116.400,36.720,45.000
'37:12:02.568',-,0.008,-,-,-,-,114.000,36.720,45.000
'37:12:02.576',-,0.000,-,-,-,-,111.600,37.080,45.000
'37:12:02.584',-,0.000,-,-,-,-,109.200,37.080,45.000
'37:12:02.592',-,0.000,-,-,-,-,106.800,37.080,45.000
'37:12:02.600',-,0.000,-,-,-,-,103.200,36.360,45.000
'37:12:02.608',-,0.000,-,-,-,-,99.600,35.880,45.000
'37:12:02.616',-,0.000,-,-,-,-,96.000,35.520,45.000
'37:12:02.624',-,0.000,-,-,-,-,91.200,35.160,45.000
'37:12:02.632',-,0.008,-,-,-,-,86.400,34.680,45.000
'37:12:02.640',-,0.008,-,-,-,-,82.800,35.160,45.000
'37:12:02.648',-,0.008,-,-,-,-,80.400,35.160,45.000
'37:12:02.656',-,0.008,-,-,-,-,79.200,35.160,45.000
'37:12:02.664',-,0.024,-,-,-,-,79.200,35.160,45.000
'37:12:02.672',-,0.024,-,-,-,-,80.400,34.680,45.000
'37:12:02.680',-,0.024,-,-,-,-,81.600,34.680,45.000
'37:12:02.688',-,0.024,-,-,-,-,82.800,34.680,45.000
'37:12:02.696',-,0.024,-,-,-,-,82.800,34.320,45.000
'37:12:02.704',-,0.008,-,-,-,-,82.800,34.320,45.000
'37:12:02.712',-,0.008,-,-,-,-,82.800,33.960,45.000
'37:12:02.720',-,0.008,-,-,-,-,82.800,33.120,45.000
'37:12:02.728',-,0.000,-,-,-,-,82.800,32.760,45.000
'37:12:02.736',-,0.000,-,-,-,-,82.800,32.280,45.000
'37:12:02.744',-,0.000,-,-,-,-,82.800,31.560,45.000
'37:12:02.752',-,0.000,-,-,-,-,82.800,31.080,45.000
'37:12:02.760',-,0.000,-,-,-,-,81.600,31.080,45.000
'37:12:02.768',-,0.000,-,-,-,-,81.600,30.720,45.000
'37:12:02.776',-,0.000,-,-,-,-,81.600,30.720,45.000
'37:12:02.784',-,0.000,-,-,-,-,81.600,30.360,45.000
'37:12:02.792',-,0.000,-,-,-,-,80.400,30.360,45.000
'37:12:02.800',-,0.000,-,-,-,-,80.400,30.360,45.000
'37:12:02.808',-,0.000,-,-,-,-,80.400,30.360,45.000
'37:12:02.816',-,0.000,-,-,-,-,79.200,30.360,45.000
'37:12:02.824',-,0.000,-,-,-,-,79.200,30.720,45.000
'37:12:02.832',-,0.000,-,-,-,-,79.200,30.720,45.000
'37:12:02.840',-,0.000,-,-,-,-,78.000,30.720,45.000
'37:12:02.848',-,0.000,-,-,-,-,78.000,30.360,45.000
'37:12:02.856',-,0.000,-,-,-,-,76.800,29.880,45.000
'37:12:02.864',-,0.000,-,-,-,-,76.800,29.160,45.000
'37:12:02.872',-,0.000,-,-,-,-,75.600,28.680,45.000
'37:12:02.880',-,0.000,-,-,-,-,75.600,28.680,45.000
'37:12:02.888',-,0.000,-,-,-,-,74.400,28.320,45.000
'37:12:02.896',-,0.000,-,-,-,-,74.400,27.960,45.000
'37:12:02.904',-,0.000,-,-,-,-,73.200,27.960,45.000
'37:12:02.912',-,0.000,-,-,-,-,73.200,27.480,45.000
'37:12:02.920',-,0.000,-,-,-,-,72.000,27.480,45.000
'37:12:02.928',-,0.000,-,-,-,-,72.000,27.120,45.000
'37:12:02.936',-,0.000,-,-,-,-,70.800,27.120,45.000
'37:12:02.944',-,0.000,-,-,-,-,70.800,26.760,45.000
'37:12:02.952',-,0.000,-,-,-,-,69.600,26.760,45.000
'37:12:02.960',-,0.000,-,-,-,-,69.600,26.280,45.000
'37:12:02.968',-,0.000,-,-,-,-,68.400,26.280,45.000
'37:12:02.976',-,0.000,-,-,-,-,68.400,26.280,45.000
'37:12:02.984',-,-0.024,-,-,-,-,68.400,26.280,45.000
'37:12:02.992',-,-0.040,-,-,-,-,67.200,26.280,45.000
'37:12:03.000',-,0.008,-,-,-,-,67.200,25.920,45.000
'37:12:03.008',-,0.024,-,-,-,-,66.000,25.920,45.000
'37:12:03.016',-,0.008,-,-,-,-,66.000,25.920,45.000
'37:12:03.024',-,0.000,-,-,-,-,66.000,25.560,45.000
'37:12:03.032',-,0.008,-,-,-,-,64.800,25.560,45.000
'37:12:03.040',-,0.024,-,-,-,-,64.800,25.080,45.000
'37:12:03.048',-,0.040,-,-,-,-,64.800,25.080,45.000
'37:12:03.056',-,0.040,-,-,-,-,63.600,24.720,45.000
'37:12:03.064',-,0.056,-,-,-,-,63.600,24.720,45.000
'37:12:03.072',-,0.040,-,-,-,-,63.600,24.720,45.000
'37:12:03.080',-,0.024,-,-,-,-,63.600,24.720,45.000
'37:12:03.088',-,0.008,-,-,-,-,62.400,24.720,45.000
'37:12:03.096',-,0.000,-,-,-,-,62.400,24.360,45.000
'37:12:03.104',-,-0.024,-,-,-,-,62.400,24.360,45.000
'37:12:03.112',-,-0.056,-,-,-,-,62.400,24.360,45.000
