'Elapsed time','I','AVF','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'35:11:19.152',-0.040,-,-,53.600
'35:11:19.160',-0.040,-,-,54.400
'35:11:19.168',-0.040,-,-,54.400
'35:11:19.176',-0.032,-,-,55.200
'35:11:19.184',-0.024,-,-,56.800
'35:11:19.192',-0.016,-,-,58.400
'35:11:19.200',-0.008,-,-,61.600
'35:11:19.208',0.000,-,-,65.600
'35:11:19.216',0.016,-,-,70.400
'35:11:19.224',0.032,-,-,76.000
'35:11:19.232',0.048,-,-,80.800
'35:11:19.240',0.056,-,-,86.400
'35:11:19.248',0.064,-,-,92.000
'35:11:19.256',0.072,-,-,96.800
'35:11:19.264',0.072,-,-,101.600
'35:11:19.272',0.080,-,-,105.600
'35:11:19.280',0.080,-,-,109.600
'35:11:19.288',0.088,-,-,112.000
'35:11:19.296',0.080,-,-,114.400
'35:11:19.304',0.072,-,-,116.000
'35:11:19.312',0.064,-,-,116.800
'35:11:19.320',0.048,-,-,116.800
'35:11:19.328',0.032,-,-,116.800
'35:11:19.336',0.016,-,-,116.800
'35:11:19.344',0.000,-,-,116.000
'35:11:19.352',-0.016,-,-,115.200
'35:11:19.360',-0.024,-,-,114.400
'35:11:19.368',-0.040,-,-,112.800
'35:11:19.376',-0.040,-,-,111.200
'35:11:19.384',-0.040,-,-,109.600
'35:11:19.392',-0.040,-,-,107.200
'35:11:19.400',-0.040,-,-,104.800
'35:11:19.408',-0.040,-,-,101.600
'35:11:19.416',-0.040,-,-,98.400
'35:11:19.424',-0.040,-,-,94.400
'35:11:19.432',-0.048,-,-,91.200
'35:11:19.440',-0.048,-,-,87.200
'35:11:19.448',-0.048,-,-,84.000
'35:11:19.456',-0.048,-,-,81.600
'35:11:19.464',-0.040,-,-,78.400
'35:11:19.472',-0.032,-,-,76.800
'35:11:19.480',-0.024,-,-,74.400
'35:11:19.488',-0.024,-,-,72.800
'35:11:19.496',-0.032,-,-,72.000
'35:11:19.504',-0.032,-,-,71.200
'35:11:19.512',-0.032,-,-,71.200
'35:11:19.520',-0.032,-,-,71.200
