'Elapsed time','II','III','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'35:44:48.016',1.354,-,-,-,82.320
'35:44:48.024',1.146,-,-,-,81.480
'35:44:48.032',1.042,-,-,-,81.480
'35:44:48.040',0.979,-,-,-,80.760
'35:44:48.048',0.979,-,-,-,79.920
'35:44:48.056',0.938,-,-,-,79.080
'35:44:48.064',0.875,-,-,-,79.080
'35:44:48.072',0.833,-,-,-,78.360
'35:44:48.080',0.771,-,-,-,77.520
'35:44:48.088',0.729,-,-,-,77.520
'35:44:48.096',0.667,-,-,-,76.680
'35:44:48.104',0.625,-,-,-,76.680
'35:44:48.112',0.562,-,-,-,77.520
'35:44:48.120',0.521,-,-,-,80.760
'35:44:48.128',0.458,-,-,-,87.960
'35:44:48.136',0.417,-,-,-,99.120
'35:44:48.144',0.417,-,-,-,116.760
'35:44:48.152',0.354,-,-,-,137.520
'35:44:48.160',0.312,-,-,-,159.120
'35:44:48.168',0.312,-,-,-,179.160
'35:44:48.176',0.250,-,-,-,179.880
'35:44:48.184',0.250,-,-,-,179.880
'35:44:48.192',0.208,-,-,-,179.880
'35:44:48.200',0.146,-,-,-,179.880
'35:44:48.208',0.104,-,-,-,179.880
'35:44:48.216',0.042,-,-,-,179.880
'35:44:48.224',-0.104,-,-,-,179.880
'35:44:48.232',-0.771,-,-,-,175.920
'35:44:48.240',-1.833,-,-,-,167.160
'35:44:48.248',-2.146,-,-,-,158.280
'35:44:48.256',-1.625,-,-,-,150.360
'35:44:48.264',-1.208,-,-,-,143.160
'35:44:48.272',-0.833,-,-,-,136.680
'35:44:48.280',-0.562,-,-,-,131.160
'35:44:48.288',-0.312,-,-,-,126.360
'35:44:48.296',-0.104,-,-,-,122.280
'35:44:48.304',0.104,-,-,-,119.160
'35:44:48.312',0.208,-,-,-,116.760
'35:44:48.320',0.354,-,-,-,115.080
'35:44:48.328',0.417,-,-,-,113.520
'35:44:48.336',0.417,-,-,-,112.680
'35:44:48.344',0.354,-,-,-,111.960
'35:44:48.352',0.250,-,-,-,111.960
'35:44:48.360',0.000,-,-,-,111.960
'35:44:48.368',-0.729,-,-,-,111.960
'35:44:48.376',-2.042,-,-,-,112.680
'35:44:48.384',-2.354,-,-,-,114.360
'35:44:48.392',0.000,-,-,-,115.920
'35:44:48.400',0.000,-,-,-,116.760
'35:44:48.408',0.000,-,-,-,118.320
'35:44:48.416',0.000,-,-,-,119.160
'35:44:48.424',0.000,-,-,-,119.160
'35:44:48.432',0.000,-,-,-,119.160
'35:44:48.440',0.000,-,-,-,118.320
'35:44:48.448',0.000,-,-,-,117.480
'35:44:48.456',0.000,-,-,-,115.920
'35:44:48.464',0.000,-,-,-,114.360
'35:44:48.472',0.000,-,-,-,111.960
'35:44:48.480',0.000,-,-,-,109.560
'35:44:48.488',0.000,-,-,-,107.880
'35:44:48.496',0.000,-,-,-,105.480
'35:44:48.504',0.000,-,-,-,103.920
'35:44:48.512',1.104,-,-,-,101.520
'35:44:48.520',1.521,-,-,-,99.960
'35:44:48.528',1.979,-,-,-,98.280
'35:44:48.536',2.354,-,-,-,96.720
'35:44:48.544',2.667,-,-,-,95.880
'35:44:48.552',2.979,-,-,-,94.320
'35:44:48.560',3.417,-,-,-,93.480
'35:44:48.568',3.771,-,-,-,92.760
'35:44:48.576',3.938,-,-,-,91.920
'35:44:48.584',3.979,-,-,-,91.080
'35:44:48.592',3.354,-,-,-,90.360
'35:44:48.600',1.562,-,-,-,90.360
'35:44:48.608',0.208,-,-,-,89.520
'35:44:48.616',-0.042,-,-,-,89.520
'35:44:48.624',0.042,-,-,-,89.520
'35:44:48.632',0.000,-,-,-,88.680
'35:44:48.640',0.000,-,-,-,88.680
'35:44:48.648',0.000,-,-,-,87.960
'35:44:48.656',0.000,-,-,-,87.960
'35:44:48.664',0.000,-,-,-,87.960
'35:44:48.672',0.000,-,-,-,87.120
'35:44:48.680',0.000,-,-,-,87.120
'35:44:48.688',0.000,-,-,-,86.280
'35:44:48.696',0.000,-,-,-,86.280
'35:44:48.704',0.000,-,-,-,85.560
'35:44:48.712',0.000,-,-,-,85.560
'35:44:48.720',0.354,-,-,-,85.560
'35:44:48.728',1.458,-,-,-,85.560
'35:44:48.736',2.458,-,-,-,84.720
'35:44:48.744',2.625,-,-,-,84.720
'35:44:48.752',2.521,-,-,-,84.720
'35:44:48.760',2.521,-,-,-,83.880
'35:44:48.768',2.625,-,-,-,83.880
'35:44:48.776',2.833,-,-,-,83.160
'35:44:48.784',2.938,-,-,-,83.160
'35:44:48.792',2.938,-,-,-,83.160
'35:44:48.800',2.625,-,-,-,82.320
'35:44:48.808',2.354,-,-,-,82.320
'35:44:48.816',2.208,-,-,-,81.480
'35:44:48.824',2.146,-,-,-,81.480
'35:44:48.832',2.104,-,-,-,81.480
'35:44:48.840',2.104,-,-,-,80.760
'35:44:48.848',2.104,-,-,-,79.920
'35:44:48.856',2.104,-,-,-,79.920
'35:44:48.864',2.042,-,-,-,79.080
'35:44:48.872',2.042,-,-,-,79.080
'35:44:48.880',2.042,-,-,-,78.360
'35:44:48.888',2.042,-,-,-,78.360
'35:44:48.896',2.042,-,-,-,78.360
'35:44:48.904',2.042,-,-,-,79.920
'35:44:48.912',2.042,-,-,-,84.720
'35:44:48.920',2.042,-,-,-,93.480
'35:44:48.928',2.042,-,-,-,107.880
'35:44:48.936',1.979,-,-,-,127.080
'35:44:48.944',1.979,-,-,-,149.520
'35:44:48.952',1.979,-,-,-,171.120
'35:44:48.960',1.979,-,-,-,179.880
