'Elapsed time','II','AVR','AVL','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'58:05:10.456',-0.027,-,-,-,47.200
'58:05:10.464',-0.045,-,-,-,47.200
'58:05:10.472',-0.071,-,-,-,46.400
'58:05:10.480',-0.071,-,-,-,46.400
'58:05:10.488',-0.089,-,-,-,46.400
'58:05:10.496',-0.071,-,-,-,45.600
'58:05:10.504',-0.089,-,-,-,45.600
'58:05:10.512',-0.071,-,-,-,45.600
'58:05:10.520',-0.071,-,-,-,45.600
'58:05:10.528',-0.071,-,-,-,46.400
'58:05:10.536',-0.071,-,-,-,48.800
'58:05:10.544',-0.054,-,-,-,52.000
'58:05:10.552',-0.045,-,-,-,56.800
'58:05:10.560',-0.027,-,-,-,62.400
'58:05:10.568',-0.054,-,-,-,68.800
'58:05:10.576',-0.027,-,-,-,75.200
'58:05:10.584',-0.027,-,-,-,80.800
'58:05:10.592',0.000,-,-,-,87.200
'58:05:10.600',0.000,-,-,-,92.000
'58:05:10.608',0.000,-,-,-,96.800
'58:05:10.616',0.009,-,-,-,100.800
'58:05:10.624',0.009,-,-,-,103.200
'58:05:10.632',0.009,-,-,-,104.800
'58:05:10.640',0.009,-,-,-,105.600
'58:05:10.648',0.000,-,-,-,105.600
'58:05:10.656',0.000,-,-,-,105.600
'58:05:10.664',0.000,-,-,-,104.800
'58:05:10.672',-0.027,-,-,-,103.200
'58:05:10.680',-0.027,-,-,-,101.600
'58:05:10.688',-0.045,-,-,-,100.000
'58:05:10.696',-0.071,-,-,-,98.400
'58:05:10.704',-0.071,-,-,-,96.000
'58:05:10.712',-0.071,-,-,-,94.400
'58:05:10.720',-0.089,-,-,-,92.000
'58:05:10.728',-0.089,-,-,-,89.600
'58:05:10.736',-0.089,-,-,-,88.000
'58:05:10.744',-0.089,-,-,-,84.800
'58:05:10.752',-0.089,-,-,-,82.400
'58:05:10.760',-0.089,-,-,-,79.200
'58:05:10.768',-0.107,-,-,-,76.800
'58:05:10.776',-0.089,-,-,-,73.600
'58:05:10.784',-0.089,-,-,-,70.400
'58:05:10.792',-0.071,-,-,-,68.000
'58:05:10.800',-0.071,-,-,-,66.400
'58:05:10.808',-0.089,-,-,-,64.800
'58:05:10.816',-0.071,-,-,-,63.200
'58:05:10.824',-0.089,-,-,-,62.400
'58:05:10.832',-0.071,-,-,-,61.600
'58:05:10.840',-0.071,-,-,-,60.800
'58:05:10.848',-0.089,-,-,-,60.800
'58:05:10.856',-0.089,-,-,-,60.800
'58:05:10.864',-0.071,-,-,-,60.800
'58:05:10.872',-0.071,-,-,-,60.800
'58:05:10.880',-0.071,-,-,-,60.800
'58:05:10.888',-0.071,-,-,-,60.800
'58:05:10.896',-0.089,-,-,-,60.800
'58:05:10.904',-0.071,-,-,-,60.800
'58:05:10.912',-0.071,-,-,-,60.800
'58:05:10.920',-0.071,-,-,-,60.800
'58:05:10.928',-0.071,-,-,-,60.800
'58:05:10.936',-0.054,-,-,-,60.800
'58:05:10.944',-0.027,-,-,-,60.800
'58:05:10.952',-0.027,-,-,-,60.800
'58:05:10.960',-0.045,-,-,-,60.000
'58:05:10.968',-0.045,-,-,-,60.000
'58:05:10.976',-0.054,-,-,-,60.000
'58:05:10.984',-0.045,-,-,-,59.200
'58:05:10.992',-0.071,-,-,-,59.200
'58:05:11.000',-0.089,-,-,-,59.200
'58:05:11.008',-0.071,-,-,-,58.400
'58:05:11.016',-0.089,-,-,-,58.400
'58:05:11.024',-0.089,-,-,-,58.400
'58:05:11.032',-0.089,-,-,-,57.600
'58:05:11.040',-0.116,-,-,-,57.600
'58:05:11.048',-0.196,-,-,-,57.600
'58:05:11.056',-0.259,-,-,-,56.800
'58:05:11.064',-0.116,-,-,-,56.800
'58:05:11.072',0.259,-,-,-,56.800
'58:05:11.080',0.455,-,-,-,56.000
'58:05:11.088',0.473,-,-,-,56.000
'58:05:11.096',0.286,-,-,-,56.000
'58:05:11.104',0.071,-,-,-,55.200
'58:05:11.112',-0.027,-,-,-,55.200
'58:05:11.120',-0.045,-,-,-,55.200
'58:05:11.128',-0.071,-,-,-,54.400
'58:05:11.136',-0.089,-,-,-,54.400
'58:05:11.144',-0.089,-,-,-,54.400
'58:05:11.152',-0.089,-,-,-,53.600
'58:05:11.160',-0.089,-,-,-,53.600
'58:05:11.168',-0.089,-,-,-,53.600
'58:05:11.176',-0.071,-,-,-,52.800
'58:05:11.184',-0.071,-,-,-,52.800
'58:05:11.192',-0.071,-,-,-,52.800
'58:05:11.200',-0.054,-,-,-,53.600
'58:05:11.208',-0.045,-,-,-,55.200
'58:05:11.216',-0.045,-,-,-,58.400
'58:05:11.224',-0.027,-,-,-,61.600
'58:05:11.232',-0.027,-,-,-,66.400
'58:05:11.240',0.000,-,-,-,72.000
'58:05:11.248',0.000,-,-,-,77.600
'58:05:11.256',0.009,-,-,-,83.200
'58:05:11.264',0.027,-,-,-,88.000
'58:05:11.272',0.027,-,-,-,92.800
'58:05:11.280',0.027,-,-,-,97.600
'58:05:11.288',0.045,-,-,-,101.600
'58:05:11.296',0.054,-,-,-,104.000
'58:05:11.304',0.045,-,-,-,105.600
'58:05:11.312',0.027,-,-,-,107.200
'58:05:11.320',0.027,-,-,-,107.200
'58:05:11.328',0.027,-,-,-,107.200
'58:05:11.336',0.009,-,-,-,106.400
'58:05:11.344',0.009,-,-,-,104.800
'58:05:11.352',0.000,-,-,-,103.200
'58:05:11.360',0.000,-,-,-,101.600
'58:05:11.368',0.000,-,-,-,100.000
'58:05:11.376',0.000,-,-,-,97.600
'58:05:11.384',-0.009,-,-,-,96.000
'58:05:11.392',-0.027,-,-,-,93.600
'58:05:11.400',-0.009,-,-,-,91.200
'58:05:11.408',-0.027,-,-,-,88.800
'58:05:11.416',-0.027,-,-,-,86.400
'58:05:11.424',-0.027,-,-,-,84.000
'58:05:11.432',-0.027,-,-,-,80.800
'58:05:11.440',-0.027,-,-,-,77.600
'58:05:11.448',-0.009,-,-,-,75.200
'58:05:11.456',-0.027,-,-,-,72.000
'58:05:11.464',-0.027,-,-,-,69.600
'58:05:11.472',-0.009,-,-,-,68.000
'58:05:11.480',-0.009,-,-,-,65.600
'58:05:11.488',0.000,-,-,-,64.800
'58:05:11.496',-0.009,-,-,-,64.000
'58:05:11.504',0.000,-,-,-,63.200
