'Elapsed time','II','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'34:33:12.304',-,0.194,129.600,-
'34:33:12.312',-,0.194,128.400,-
'34:33:12.320',-,0.194,127.200,-
'34:33:12.328',-,0.179,127.200,-
'34:33:12.336',-,0.179,126.000,-
'34:33:12.344',-,0.149,126.000,-
'34:33:12.352',-,0.134,124.800,-
'34:33:12.360',-,0.104,123.600,-
'34:33:12.368',-,0.060,122.400,-
'34:33:12.376',-,0.045,120.000,-
'34:33:12.384',-,0.015,117.600,-
'34:33:12.392',-,0.000,115.200,-
'34:33:12.400',-,-0.015,112.800,-
'34:33:12.408',-,-0.015,109.200,-
'34:33:12.416',-,-0.045,106.800,-
'34:33:12.424',-,-0.045,102.000,-
'34:33:12.432',-,-0.045,98.400,-
'34:33:12.440',-,-0.045,93.600,-
'34:33:12.448',-,-0.045,90.000,-
'34:33:12.456',-,-0.045,85.200,-
'34:33:12.464',-,-0.015,81.600,-
'34:33:12.472',-,-0.015,78.000,-
'34:33:12.480',-,-0.015,76.800,-
'34:33:12.488',-,-0.015,74.400,-
'34:33:12.496',-,0.000,73.200,-
'34:33:12.504',-,0.000,73.200,-
'34:33:12.512',-,0.000,73.200,-
'34:33:12.520',-,0.000,72.000,-
'34:33:12.528',-,0.015,72.000,-
'34:33:12.536',-,0.015,73.200,-
'34:33:12.544',-,0.015,72.000,-
'34:33:12.552',-,0.015,72.000,-
'34:33:12.560',-,0.015,72.000,-
'34:33:12.568',-,0.015,72.000,-
'34:33:12.576',-,0.015,70.800,-
'34:33:12.584',-,0.015,70.800,-
'34:33:12.592',-,0.000,69.600,-
'34:33:12.600',-,0.000,69.600,-
'34:33:12.608',-,0.000,68.400,-
'34:33:12.616',-,0.000,68.400,-
'34:33:12.624',-,0.000,67.200,-
'34:33:12.632',-,0.000,66.000,-
'34:33:12.640',-,0.000,66.000,-
'34:33:12.648',-,0.000,64.800,-
'34:33:12.656',-,-0.015,63.600,-
'34:33:12.664',-,-0.015,63.600,-
'34:33:12.672',-,0.000,62.400,-
'34:33:12.680',-,0.090,62.400,-
'34:33:12.688',-,0.149,61.200,-
'34:33:12.696',-,0.239,61.200,-
'34:33:12.704',-,0.328,60.000,-
'34:33:12.712',-,0.418,60.000,-
'34:33:12.720',-,0.448,60.000,-
'34:33:12.728',-,0.448,58.800,-
'34:33:12.736',-,0.373,58.800,-
'34:33:12.744',-,0.284,58.800,-
'34:33:12.752',-,0.224,57.600,-
'34:33:12.760',-,0.224,57.600,-
'34:33:12.768',-,0.328,57.600,-
'34:33:12.776',-,0.612,56.400,-
'34:33:12.784',-,0.896,56.400,-
'34:33:12.792',-,0.940,56.400,-
'34:33:12.800',-,0.522,55.200,-
'34:33:12.808',-,0.060,55.200,-
'34:33:12.816',-,-0.149,55.200,-
'34:33:12.824',-,-0.194,55.200,-
'34:33:12.832',-,-0.224,55.200,-
'34:33:12.840',-,-0.269,55.200,-
'34:33:12.848',-,-0.358,55.200,-
'34:33:12.856',-,-0.373,56.400,-
'34:33:12.864',-,-0.373,58.800,-
'34:33:12.872',-,-0.358,63.600,-
'34:33:12.880',-,-0.313,68.400,-
'34:33:12.888',-,-0.313,75.600,-
'34:33:12.896',-,-0.313,82.800,-
'34:33:12.904',-,-0.313,90.000,-
'34:33:12.912',-,-0.328,97.200,-
'34:33:12.920',-,-0.328,102.000,-
'34:33:12.928',-,-0.328,106.800,-
'34:33:12.936',-,-0.358,110.400,-
'34:33:12.944',-,-0.373,111.600,-
'34:33:12.952',-,-0.403,111.600,-
'34:33:12.960',-,-0.418,111.600,-
'34:33:12.968',-,-0.448,110.400,-
'34:33:12.976',-,-0.463,108.000,-
'34:33:12.984',-,-0.493,105.600,-
'34:33:12.992',-,-0.493,103.200,-
'34:33:13.000',-,-0.493,100.800,-
'34:33:13.008',-,-0.493,98.400,-
'34:33:13.016',-,-0.463,94.800,-
'34:33:13.024',-,-0.448,92.400,-
'34:33:13.032',-,-0.418,88.800,-
'34:33:13.040',-,-0.373,85.200,-
'34:33:13.048',-,-0.328,81.600,-
'34:33:13.056',-,-0.313,78.000,-
'34:33:13.064',-,-0.269,74.400,-
'34:33:13.072',-,-0.194,72.000,-
'34:33:13.080',-,-0.149,68.400,-
'34:33:13.088',-,-0.134,66.000,-
'34:33:13.096',-,-0.090,64.800,-
'34:33:13.104',-,-0.045,63.600,-
'34:33:13.112',-,-0.015,62.400,-
'34:33:13.120',-,0.000,62.400,-
'34:33:13.128',-,0.015,62.400,-
'34:33:13.136',-,0.045,62.400,-
'34:33:13.144',-,0.060,63.600,-
'34:33:13.152',-,0.060,63.600,-
