'Elapsed time','I','II','III','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'6:01:06.248',0.000,-,-,-,-0.040,-,56.800,38.800
'6:01:06.256',-0.008,-,-,-,-0.040,-,56.000,39.000
'6:01:06.264',0.000,-,-,-,-0.040,-,56.000,39.000
'6:01:06.272',0.000,-,-,-,-0.040,-,56.000,38.800
'6:01:06.280',0.000,-,-,-,-0.040,-,55.200,38.600
'6:01:06.288',0.000,-,-,-,-0.040,-,55.200,38.600
'6:01:06.296',0.000,-,-,-,-0.040,-,55.200,38.800
'6:01:06.304',-0.008,-,-,-,-0.040,-,55.200,39.200
'6:01:06.312',0.000,-,-,-,-0.040,-,55.200,39.400
'6:01:06.320',0.000,-,-,-,-0.040,-,55.200,39.800
'6:01:06.328',-0.008,-,-,-,-0.040,-,54.400,40.000
'6:01:06.336',0.000,-,-,-,-0.040,-,54.400,40.200
'6:01:06.344',-0.008,-,-,-,-0.040,-,54.400,40.200
'6:01:06.352',0.000,-,-,-,-0.040,-,54.400,40.200
'6:01:06.360',-0.008,-,-,-,-0.040,-,54.400,40.200
'6:01:06.368',-0.008,-,-,-,-0.040,-,54.400,40.400
'6:01:06.376',0.000,-,-,-,-0.040,-,54.400,40.600
'6:01:06.384',-0.008,-,-,-,-0.040,-,54.400,41.000
'6:01:06.392',0.000,-,-,-,-0.040,-,54.400,41.200
'6:01:06.400',-0.008,-,-,-,-0.040,-,53.600,41.600
'6:01:06.408',0.000,-,-,-,-0.040,-,53.600,42.000
'6:01:06.416',-0.008,-,-,-,-0.040,-,53.600,42.400
'6:01:06.424',0.000,-,-,-,-0.040,-,52.800,42.800
'6:01:06.432',-0.008,-,-,-,-0.040,-,52.000,43.000
'6:01:06.440',0.000,-,-,-,-0.040,-,52.000,43.400
'6:01:06.448',-0.008,-,-,-,-0.020,-,50.400,43.600
'6:01:06.456',0.000,-,-,-,-0.040,-,49.600,43.800
'6:01:06.464',-0.008,-,-,-,-0.020,-,48.000,44.000
'6:01:06.472',0.000,-,-,-,-0.040,-,46.400,44.200
'6:01:06.480',0.000,-,-,-,-0.020,-,44.800,44.200
'6:01:06.488',0.000,-,-,-,-0.020,-,43.200,44.400
'6:01:06.496',0.000,-,-,-,-0.020,-,41.600,44.400
'6:01:06.504',-0.008,-,-,-,0.000,-,40.000,44.400
'6:01:06.512',0.000,-,-,-,-0.020,-,38.400,44.600
'6:01:06.520',0.000,-,-,-,-0.020,-,37.600,44.800
'6:01:06.528',0.000,-,-,-,0.000,-,36.800,45.000
'6:01:06.536',-0.008,-,-,-,-0.020,-,36.000,45.000
'6:01:06.544',0.000,-,-,-,0.000,-,36.000,45.000
'6:01:06.552',-0.008,-,-,-,-0.020,-,36.000,45.000
'6:01:06.560',0.000,-,-,-,0.000,-,36.000,45.000
'6:01:06.568',-0.008,-,-,-,-0.020,-,36.000,45.000
'6:01:06.576',0.000,-,-,-,0.000,-,36.800,45.000
'6:01:06.584',-0.008,-,-,-,-0.020,-,36.800,45.000
'6:01:06.592',0.000,-,-,-,-0.020,-,36.800,45.000
'6:01:06.600',-0.008,-,-,-,-0.020,-,37.600,45.000
'6:01:06.608',0.000,-,-,-,-0.020,-,38.400,45.000
'6:01:06.616',-0.008,-,-,-,-0.020,-,38.400,45.000
'6:01:06.624',0.000,-,-,-,0.000,-,39.200,45.000
'6:01:06.632',-0.008,-,-,-,-0.020,-,39.200,45.000
'6:01:06.640',0.000,-,-,-,-0.020,-,39.200,45.000
'6:01:06.648',-0.008,-,-,-,-0.020,-,39.200,45.000
'6:01:06.656',0.000,-,-,-,0.000,-,39.200,45.000
'6:01:06.664',-0.008,-,-,-,-0.020,-,39.200,45.000
