'Elapsed time','I','II','III','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'33:01:53.536',-,0.220,-,-,0.100,-,90.000
'33:01:53.544',-,0.380,-,-,0.160,-,90.000
'33:01:53.552',-,0.560,-,-,0.260,-,90.000
'33:01:53.560',-,0.680,-,-,0.320,-,90.000
'33:01:53.568',-,0.840,-,-,0.420,-,90.000
'33:01:53.576',-,1.060,-,-,0.680,-,90.000
'33:01:53.584',-,1.240,-,-,1.040,-,90.000
'33:01:53.592',-,1.520,-,-,1.540,-,90.000
'33:01:53.600',-,1.720,-,-,1.900,-,90.000
'33:01:53.608',-,1.060,-,-,1.280,-,90.000
'33:01:53.616',-,0.180,-,-,0.300,-,90.000
'33:01:53.624',-,-0.260,-,-,-0.180,-,90.000
'33:01:53.632',-,-0.360,-,-,-0.280,-,90.000
'33:01:53.640',-,-0.400,-,-,-0.320,-,90.000
'33:01:53.648',-,-0.400,-,-,-0.340,-,90.000
'33:01:53.656',-,-0.420,-,-,-0.360,-,90.000
'33:01:53.664',-,-0.440,-,-,-0.360,-,90.000
'33:01:53.672',-,-0.440,-,-,-0.360,-,90.000
'33:01:53.680',-,-0.440,-,-,-0.360,-,90.000
'33:01:53.688',-,-0.440,-,-,-0.360,-,90.000
'33:01:53.696',-,-0.440,-,-,-0.380,-,90.000
'33:01:53.704',-,-0.480,-,-,-0.400,-,90.000
'33:01:53.712',-,-0.500,-,-,-0.400,-,90.000
'33:01:53.720',-,-0.520,-,-,-0.440,-,90.000
'33:01:53.728',-,-0.560,-,-,-0.460,-,90.000
'33:01:53.736',-,-0.620,-,-,-0.500,-,90.000
'33:01:53.744',-,-0.640,-,-,-0.520,-,90.000
'33:01:53.752',-,-0.660,-,-,-0.580,-,90.000
'33:01:53.760',-,-0.700,-,-,-0.620,-,90.000
'33:01:53.768',-,-0.740,-,-,-0.660,-,90.000
'33:01:53.776',-,-0.740,-,-,-0.660,-,90.000
'33:01:53.784',-,-0.740,-,-,-0.680,-,90.000
'33:01:53.792',-,-0.740,-,-,-0.660,-,90.000
'33:01:53.800',-,-0.680,-,-,-0.680,-,90.000
'33:01:53.808',-,-0.620,-,-,-0.620,-,90.000
'33:01:53.816',-,-0.520,-,-,-0.540,-,90.000
'33:01:53.824',-,-0.440,-,-,-0.460,-,90.000
'33:01:53.832',-,-0.340,-,-,-0.360,-,90.000
'33:01:53.840',-,-0.260,-,-,-0.260,-,90.000
'33:01:53.848',-,-0.200,-,-,-0.180,-,90.000
'33:01:53.856',-,-0.120,-,-,-0.100,-,90.000
'33:01:53.864',-,-0.040,-,-,-0.040,-,90.000
'33:01:53.872',-,-0.040,-,-,0.000,-,90.000
'33:01:53.880',-,-0.020,-,-,0.040,-,90.000
'33:01:53.888',-,0.000,-,-,0.040,-,90.000
'33:01:53.896',-,-0.020,-,-,0.040,-,90.000
'33:01:53.904',-,0.000,-,-,0.040,-,90.000
'33:01:53.912',-,-0.020,-,-,0.040,-,90.000
'33:01:53.920',-,0.000,-,-,0.040,-,90.000
'33:01:53.928',-,-0.020,-,-,0.040,-,90.000
'33:01:53.936',-,0.000,-,-,0.020,-,90.000
'33:01:53.944',-,-0.040,-,-,0.040,-,90.000
'33:01:53.952',-,-0.040,-,-,0.040,-,90.000
'33:01:53.960',-,-0.040,-,-,0.040,-,90.000
'33:01:53.968',-,-0.040,-,-,0.040,-,90.000
'33:01:53.976',-,-0.040,-,-,0.040,-,90.000
'33:01:53.984',-,-0.020,-,-,0.040,-,90.000
'33:01:53.992',-,-0.040,-,-,0.040,-,90.000
'33:01:54.000',-,-0.040,-,-,0.040,-,90.000
'33:01:54.008',-,-0.040,-,-,0.040,-,90.000
'33:01:54.016',-,-0.040,-,-,0.040,-,90.000
'33:01:54.024',-,-0.040,-,-,0.040,-,90.000
'33:01:54.032',-,-0.040,-,-,0.040,-,90.000
'33:01:54.040',-,-0.040,-,-,0.040,-,90.000
'33:01:54.048',-,-0.040,-,-,0.040,-,90.000
'33:01:54.056',-,-0.040,-,-,0.040,-,90.000
'33:01:54.064',-,-0.040,-,-,0.040,-,90.000
'33:01:54.072',-,-0.060,-,-,0.040,-,90.000
'33:01:54.080',-,-0.020,-,-,0.040,-,90.000
'33:01:54.088',-,-0.040,-,-,0.040,-,90.000
'33:01:54.096',-,-0.020,-,-,0.040,-,90.000
'33:01:54.104',-,-0.040,-,-,0.040,-,90.000
'33:01:54.112',-,-0.020,-,-,0.040,-,90.000
'33:01:54.120',-,-0.020,-,-,0.020,-,90.000
'33:01:54.128',-,-0.040,-,-,0.020,-,90.000
'33:01:54.136',-,0.000,-,-,0.040,-,90.000
'33:01:54.144',-,-0.020,-,-,0.040,-,90.000
'33:01:54.152',-,0.000,-,-,0.040,-,90.000
'33:01:54.160',-,0.000,-,-,0.020,-,90.000
'33:01:54.168',-,0.000,-,-,0.040,-,90.000
'33:01:54.176',-,0.060,-,-,0.040,-,90.000
'33:01:54.184',-,0.060,-,-,0.040,-,90.000
'33:01:54.192',-,0.080,-,-,0.040,-,90.000
'33:01:54.200',-,0.080,-,-,0.040,-,90.000
'33:01:54.208',-,0.040,-,-,0.060,-,90.000
'33:01:54.216',-,0.020,-,-,0.020,-,90.000
'33:01:54.224',-,-0.020,-,-,0.000,-,90.000
'33:01:54.232',-,-0.040,-,-,0.000,-,90.000
'33:01:54.240',-,-0.060,-,-,0.000,-,90.000
'33:01:54.248',-,-0.060,-,-,0.000,-,90.000
'33:01:54.256',-,-0.060,-,-,0.000,-,90.000
'33:01:54.264',-,-0.060,-,-,0.000,-,90.000
'33:01:54.272',-,-0.040,-,-,0.000,-,90.000
'33:01:54.280',-,-0.100,-,-,-0.040,-,90.000
'33:01:54.288',-,-0.100,-,-,0.000,-,90.000
'33:01:54.296',-,0.500,-,-,0.460,-,90.000
'33:01:54.304',-,0.760,-,-,0.620,-,90.000
'33:01:54.312',-,0.580,-,-,0.460,-,90.000
'33:01:54.320',-,0.220,-,-,0.220,-,90.000
'33:01:54.328',-,0.140,-,-,0.160,-,90.000
'33:01:54.336',-,0.080,-,-,0.040,-,90.000
'33:01:54.344',-,0.000,-,-,0.000,-,90.000
'33:01:54.352',-,-0.020,-,-,-0.020,-,90.000
'33:01:54.360',-,-0.020,-,-,-0.020,-,90.000
'33:01:54.368',-,-0.040,-,-,-0.040,-,90.000
'33:01:54.376',-,-0.040,-,-,-0.020,-,90.000
'33:01:54.384',-,-0.040,-,-,-0.040,-,90.000
'33:01:54.392',-,-0.040,-,-,-0.040,-,90.000
'33:01:54.400',-,-0.040,-,-,-0.040,-,90.000
'33:01:54.408',-,-0.020,-,-,-0.040,-,90.000
'33:01:54.416',-,0.000,-,-,-0.040,-,90.000
'33:01:54.424',-,0.000,-,-,-0.040,-,90.000
'33:01:54.432',-,0.000,-,-,-0.040,-,90.000
'33:01:54.440',-,0.000,-,-,-0.040,-,90.000
'33:01:54.448',-,0.020,-,-,-0.020,-,90.000
'33:01:54.456',-,0.020,-,-,-0.040,-,90.000
'33:01:54.464',-,0.040,-,-,-0.020,-,90.000
'33:01:54.472',-,0.040,-,-,-0.020,-,90.000
'33:01:54.480',-,0.060,-,-,-0.020,-,90.000
'33:01:54.488',-,0.080,-,-,-0.020,-,90.000
'33:01:54.496',-,0.080,-,-,-0.020,-,90.000
'33:01:54.504',-,0.080,-,-,-0.020,-,90.000
'33:01:54.512',-,0.080,-,-,0.000,-,90.000
'33:01:54.520',-,0.100,-,-,0.000,-,90.000
'33:01:54.528',-,0.120,-,-,0.000,-,90.000
'33:01:54.536',-,0.100,-,-,0.000,-,90.000
'33:01:54.544',-,0.120,-,-,0.000,-,90.000
'33:01:54.552',-,0.100,-,-,0.020,-,90.000
'33:01:54.560',-,0.100,-,-,0.040,-,90.000
'33:01:54.568',-,0.080,-,-,0.040,-,90.000
'33:01:54.576',-,0.080,-,-,0.040,-,90.000
'33:01:54.584',-,0.080,-,-,0.040,-,90.000
'33:01:54.592',-,0.040,-,-,0.020,-,90.000
'33:01:54.600',-,0.000,-,-,0.020,-,90.000
'33:01:54.608',-,0.000,-,-,0.020,-,90.000
'33:01:54.616',-,0.000,-,-,0.000,-,90.000
'33:01:54.624',-,-0.020,-,-,0.020,-,90.000
'33:01:54.632',-,0.000,-,-,0.000,-,90.000
'33:01:54.640',-,-0.020,-,-,0.000,-,90.000
'33:01:54.648',-,-0.020,-,-,0.000,-,90.000
'33:01:54.656',-,0.000,-,-,0.000,-,90.000
'33:01:54.664',-,0.000,-,-,0.000,-,90.000
'33:01:54.672',-,0.000,-,-,0.000,-,90.000
'33:01:54.680',-,0.000,-,-,0.000,-,90.000
'33:01:54.688',-,-0.040,-,-,0.000,-,90.000
'33:01:54.696',-,-0.040,-,-,0.000,-,90.000
'33:01:54.704',-,-0.040,-,-,-0.020,-,90.000
'33:01:54.712',-,-0.060,-,-,-0.020,-,90.000
'33:01:54.720',-,-0.040,-,-,-0.040,-,90.000
'33:01:54.728',-,-0.060,-,-,-0.020,-,90.000
'33:01:54.736',-,-0.080,-,-,-0.040,-,90.000
'33:01:54.744',-,-0.060,-,-,-0.040,-,90.000
'33:01:54.752',-,-0.080,-,-,-0.020,-,90.000
'33:01:54.760',-,-0.060,-,-,-0.020,-,90.000
'33:01:54.768',-,-0.060,-,-,0.000,-,90.000
'33:01:54.776',-,-0.060,-,-,-0.020,-,90.000
'33:01:54.784',-,-0.060,-,-,-0.040,-,90.000
'33:01:54.792',-,-0.060,-,-,-0.020,-,90.000
'33:01:54.800',-,-0.040,-,-,-0.020,-,90.000
'33:01:54.808',-,-0.040,-,-,0.000,-,90.000
'33:01:54.816',-,0.000,-,-,0.000,-,90.000
'33:01:54.824',-,0.000,-,-,0.000,-,90.000
