'Elapsed time','I','II','AVR','AVL','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'18:27.192',0.009,-,-,-,-,44.800,14.880
'18:27.200',0.009,-,-,-,-,46.400,15.120
'18:27.208',0.017,-,-,-,-,47.200,15.360
'18:27.216',0.043,-,-,-,-,48.800,14.880
'18:27.224',0.052,-,-,-,-,50.400,14.280
'18:27.232',0.070,-,-,-,-,52.000,13.680
'18:27.240',0.070,-,-,-,-,53.600,13.560
'18:27.248',0.052,-,-,-,-,55.200,13.680
'18:27.256',0.043,-,-,-,-,57.600,14.280
'18:27.264',0.017,-,-,-,-,59.200,15.360
'18:27.272',0.009,-,-,-,-,60.800,15.720
'18:27.280',0.000,-,-,-,-,63.200,14.880
'18:27.288',0.000,-,-,-,-,64.000,13.560
'18:27.296',-0.009,-,-,-,-,65.600,12.360
'18:27.304',-0.009,-,-,-,-,65.600,12.000
'18:27.312',-0.009,-,-,-,-,64.800,12.480
'18:27.320',-0.009,-,-,-,-,64.000,13.560
'18:27.328',-0.017,-,-,-,-,62.400,14.520
'18:27.336',-0.035,-,-,-,-,60.000,15.360
'18:27.344',-0.043,-,-,-,-,57.600,15.480
'18:27.352',-0.078,-,-,-,-,55.200,14.880
'18:27.360',-0.113,-,-,-,-,52.000,14.160
'18:27.368',-0.113,-,-,-,-,48.800,13.680
'18:27.376',-0.017,-,-,-,-,45.600,13.680
'18:27.384',0.043,-,-,-,-,42.400,14.280
'18:27.392',0.052,-,-,-,-,39.200,15.960
'18:27.400',0.043,-,-,-,-,36.000,18.720
'18:27.408',0.035,-,-,-,-,33.600,22.320
'18:27.416',0.035,-,-,-,-,31.200,24.720
'18:27.424',0.035,-,-,-,-,28.000,22.560
'18:27.432',0.035,-,-,-,-,26.400,15.360
'18:27.440',0.035,-,-,-,-,24.000,8.640
'18:27.448',0.035,-,-,-,-,22.400,8.040
'18:27.456',0.017,-,-,-,-,21.600,13.680
'18:27.464',0.017,-,-,-,-,22.400,22.320
'18:27.472',0.035,-,-,-,-,23.200,30.360
'18:27.480',0.035,-,-,-,-,24.800,35.160
'18:27.488',0.043,-,-,-,-,26.400,35.520
'18:27.496',0.043,-,-,-,-,28.000,32.280
'18:27.504',0.043,-,-,-,-,30.400,27.360
'18:27.512',0.043,-,-,-,-,32.000,22.920
'18:27.520',0.035,-,-,-,-,33.600,20.760
'18:27.528',0.017,-,-,-,-,36.000,20.880
'18:27.536',0.017,-,-,-,-,37.600,22.680
'18:27.544',0.009,-,-,-,-,38.400,24.480
'18:27.552',0.009,-,-,-,-,40.000,25.560
'18:27.560',0.000,-,-,-,-,41.600,25.320
'18:27.568',0.000,-,-,-,-,42.400,24.720
'18:27.576',0.000,-,-,-,-,43.200,24.120
'18:27.584',0.000,-,-,-,-,44.000,23.520
'18:27.592',0.000,-,-,-,-,44.800,22.680
