'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'13:48:06.432',0.000,-,-,0.000,70.400
'13:48:06.440',0.000,-,-,0.028,69.600
'13:48:06.448',0.000,-,-,0.000,69.600
'13:48:06.456',-0.014,-,-,0.000,68.800
'13:48:06.464',-0.014,-,-,0.000,68.800
'13:48:06.472',-0.014,-,-,0.000,69.600
'13:48:06.480',-0.028,-,-,-0.014,72.000
'13:48:06.488',-0.028,-,-,-0.028,76.800
'13:48:06.496',-0.042,-,-,-0.028,84.000
'13:48:06.504',-0.056,-,-,-0.056,92.800
'13:48:06.512',-0.069,-,-,-0.070,102.400
'13:48:06.520',-0.083,-,-,-0.070,109.600
'13:48:06.528',-0.083,-,-,-0.113,114.400
'13:48:06.536',-0.083,-,-,-0.127,116.800
'13:48:06.544',-0.083,-,-,-0.141,116.000
'13:48:06.552',-0.083,-,-,-0.141,113.600
'13:48:06.560',-0.083,-,-,-0.141,110.400
'13:48:06.568',-0.083,-,-,-0.141,107.200
'13:48:06.576',-0.069,-,-,-0.141,104.000
'13:48:06.584',-0.056,-,-,-0.127,101.600
'13:48:06.592',-0.028,-,-,-0.113,99.200
'13:48:06.600',-0.014,-,-,-0.113,97.600
'13:48:06.608',0.000,-,-,-0.070,96.000
'13:48:06.616',0.014,-,-,-0.056,94.400
'13:48:06.624',0.042,-,-,-0.028,92.800
'13:48:06.632',0.042,-,-,0.000,91.200
'13:48:06.640',0.042,-,-,0.014,88.800
'13:48:06.648',0.056,-,-,0.028,86.400
'13:48:06.656',0.069,-,-,0.056,83.200
'13:48:06.664',0.069,-,-,0.042,80.800
'13:48:06.672',0.069,-,-,0.085,78.400
'13:48:06.680',0.069,-,-,0.085,76.800
'13:48:06.688',0.069,-,-,0.085,76.800
'13:48:06.696',0.069,-,-,0.085,76.800
'13:48:06.704',0.083,-,-,0.085,76.800
'13:48:06.712',0.083,-,-,0.085,77.600
'13:48:06.720',0.083,-,-,0.113,77.600
'13:48:06.728',0.083,-,-,0.085,77.600
'13:48:06.736',0.083,-,-,0.113,77.600
'13:48:06.744',0.097,-,-,0.113,76.800
'13:48:06.752',0.208,-,-,0.127,76.000
'13:48:06.760',0.458,-,-,0.352,75.200
'13:48:06.768',0.625,-,-,0.507,74.400
'13:48:06.776',0.639,-,-,0.521,73.600
'13:48:06.784',0.292,-,-,-0.056,72.800
'13:48:06.792',0.069,-,-,-0.254,72.000
'13:48:06.800',-0.042,-,-,-0.197,72.000
'13:48:06.808',-0.069,-,-,-0.127,71.200
'13:48:06.816',-0.056,-,-,-0.028,70.400
'13:48:06.824',-0.028,-,-,0.000,69.600
'13:48:06.832',-0.028,-,-,0.014,69.600
'13:48:06.840',-0.056,-,-,0.000,68.800
'13:48:06.848',-0.056,-,-,0.000,68.000
'13:48:06.856',-0.056,-,-,0.000,68.000
'13:48:06.864',-0.056,-,-,-0.028,67.200
'13:48:06.872',-0.056,-,-,-0.014,67.200
