'Elapsed time','I','II','III','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'35:14:08.576',-,0.096,-,-,-0.064,-,66.720,-
'35:14:08.584',-,0.064,-,-,-0.152,-,66.720,-
'35:14:08.592',-,0.096,-,-,-0.176,-,65.760,-
'35:14:08.600',-,0.136,-,-,-0.160,-,65.760,-
'35:14:08.608',-,0.136,-,-,-0.152,-,65.760,-
'35:14:08.616',-,0.064,-,-,-0.136,-,64.320,-
'35:14:08.624',-,-0.064,-,-,-0.112,-,64.320,-
'35:14:08.632',-,-0.240,-,-,-0.080,-,63.360,-
'35:14:08.640',-,-0.448,-,-,-0.024,-,63.360,-
'35:14:08.648',-,-0.544,-,-,0.008,-,63.360,-
'35:14:08.656',-,-0.616,-,-,0.064,-,63.360,-
'35:14:08.664',-,-0.512,-,-,0.088,-,61.920,-
'35:14:08.672',-,-0.376,-,-,0.080,-,61.920,-
'35:14:08.680',-,-0.200,-,-,0.072,-,61.920,-
'35:14:08.688',-,-0.096,-,-,0.048,-,61.920,-
'35:14:08.696',-,-0.064,-,-,0.048,-,61.920,-
'35:14:08.704',-,-0.064,-,-,0.048,-,60.960,-
'35:14:08.712',-,-0.064,-,-,0.072,-,60.960,-
'35:14:08.720',-,-0.064,-,-,0.080,-,60.960,-
'35:14:08.728',-,-0.064,-,-,0.072,-,60.960,-
'35:14:08.736',-,-0.064,-,-,0.072,-,60.960,-
'35:14:08.744',-,-0.064,-,-,0.080,-,60.960,-
'35:14:08.752',-,-0.064,-,-,0.072,-,60.960,-
'35:14:08.760',-,-0.064,-,-,0.080,-,61.920,-
'35:14:08.768',-,-0.032,-,-,0.072,-,64.320,-
'35:14:08.776',-,-0.064,-,-,0.080,-,66.720,-
'35:14:08.784',-,-0.032,-,-,0.088,-,69.120,-
'35:14:08.792',-,-0.032,-,-,0.080,-,71.520,-
'35:14:08.800',-,-0.032,-,-,0.088,-,75.360,-
'35:14:08.808',-,0.000,-,-,0.096,-,78.720,-
'35:14:08.816',-,0.000,-,-,0.088,-,81.120,-
'35:14:08.824',-,0.000,-,-,0.080,-,83.520,-
'35:14:08.832',-,0.000,-,-,0.072,-,85.920,-
'35:14:08.840',-,0.032,-,-,0.072,-,88.320,-
'35:14:08.848',-,0.064,-,-,0.048,-,89.760,-
'35:14:08.856',-,0.064,-,-,0.032,-,90.720,-
'35:14:08.864',-,0.096,-,-,0.016,-,90.720,-
'35:14:08.872',-,0.136,-,-,0.000,-,90.720,-
'35:14:08.880',-,0.096,-,-,-0.008,-,90.720,-
'35:14:08.888',-,0.136,-,-,-0.016,-,89.760,-
'35:14:08.896',-,0.096,-,-,-0.032,-,88.320,-
'35:14:08.904',-,0.064,-,-,-0.024,-,85.920,-
'35:14:08.912',-,0.096,-,-,-0.032,-,84.960,-
'35:14:08.920',-,0.136,-,-,-0.032,-,82.560,-
'35:14:08.928',-,0.136,-,-,-0.040,-,80.160,-
'35:14:08.936',-,0.168,-,-,-0.080,-,77.760,-
'35:14:08.944',-,0.200,-,-,-0.112,-,75.360,-
'35:14:08.952',-,0.200,-,-,-0.144,-,72.960,-
'35:14:08.960',-,0.200,-,-,-0.128,-,70.560,-
'35:14:08.968',-,0.168,-,-,-0.136,-,68.160,-
'35:14:08.976',-,0.136,-,-,-0.096,-,66.720,-
'35:14:08.984',-,0.064,-,-,-0.080,-,65.760,-
'35:14:08.992',-,0.000,-,-,-0.040,-,65.760,-
'35:14:09.000',-,0.000,-,-,-0.024,-,65.760,-
'35:14:09.008',-,-0.064,-,-,-0.016,-,65.760,-
'35:14:09.016',-,-0.064,-,-,-0.008,-,65.760,-
'35:14:09.024',-,-0.064,-,-,-0.016,-,65.760,-
'35:14:09.032',-,-0.064,-,-,-0.008,-,66.720,-
'35:14:09.040',-,-0.064,-,-,-0.016,-,66.720,-
