'Elapsed time','II','III','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'32:59:27.088',-0.032,-,-,-,-,77.480,35.600
'32:59:27.096',-0.048,-,-,-,-,77.480,35.600
'32:59:27.104',-0.064,-,-,-,-,76.440,35.200
'32:59:27.112',-0.064,-,-,-,-,75.920,35.200
'32:59:27.120',-0.064,-,-,-,-,75.920,35.200
'32:59:27.128',-0.056,-,-,-,-,75.920,35.200
'32:59:27.136',-0.048,-,-,-,-,75.920,34.800
'32:59:27.144',-0.032,-,-,-,-,75.920,34.800
'32:59:27.152',0.048,-,-,-,-,75.920,34.400
'32:59:27.160',0.240,-,-,-,-,75.920,34.400
'32:59:27.168',0.400,-,-,-,-,75.920,34.000
'32:59:27.176',0.344,-,-,-,-,75.920,33.600
'32:59:27.184',0.192,-,-,-,-,75.920,33.600
'32:59:27.192',0.152,-,-,-,-,74.880,33.200
'32:59:27.200',0.160,-,-,-,-,74.880,33.200
'32:59:27.208',0.112,-,-,-,-,74.360,33.600
'32:59:27.216',0.040,-,-,-,-,74.360,34.000
'32:59:27.224',0.000,-,-,-,-,73.320,34.000
'32:59:27.232',-0.024,-,-,-,-,72.800,34.400
'32:59:27.240',-0.040,-,-,-,-,71.760,34.400
'32:59:27.248',-0.056,-,-,-,-,70.720,34.400
'32:59:27.256',-0.072,-,-,-,-,70.200,34.800
'32:59:27.264',-0.080,-,-,-,-,69.160,35.200
'32:59:27.272',-0.072,-,-,-,-,68.640,35.600
'32:59:27.280',-0.048,-,-,-,-,68.640,36.400
'32:59:27.288',-0.024,-,-,-,-,68.640,37.200
'32:59:27.296',-0.016,-,-,-,-,69.160,38.000
'32:59:27.304',-0.016,-,-,-,-,70.200,38.400
'32:59:27.312',-0.016,-,-,-,-,72.800,38.800
'32:59:27.320',-0.024,-,-,-,-,75.920,39.600
'32:59:27.328',-0.032,-,-,-,-,80.600,39.600
'32:59:27.336',-0.048,-,-,-,-,86.320,39.600
'32:59:27.344',-0.048,-,-,-,-,91.520,39.600
'32:59:27.352',-0.040,-,-,-,-,98.280,39.200
'32:59:27.360',-0.024,-,-,-,-,104.000,38.400
'32:59:27.368',-0.024,-,-,-,-,108.680,38.000
'32:59:27.376',-0.016,-,-,-,-,112.320,37.200
'32:59:27.384',0.008,-,-,-,-,115.960,36.400
'32:59:27.392',0.024,-,-,-,-,117.520,35.200
'32:59:27.400',0.048,-,-,-,-,118.040,34.400
'32:59:27.408',0.056,-,-,-,-,116.480,33.200
'32:59:27.416',0.072,-,-,-,-,114.920,32.000
'32:59:27.424',0.072,-,-,-,-,112.320,30.800
'32:59:27.432',0.072,-,-,-,-,109.200,29.200
'32:59:27.440',0.072,-,-,-,-,106.080,28.000
'32:59:27.448',0.072,-,-,-,-,101.920,26.800
'32:59:27.456',0.072,-,-,-,-,98.280,25.200
'32:59:27.464',0.064,-,-,-,-,94.120,23.600
'32:59:27.472',0.064,-,-,-,-,89.960,22.000
'32:59:27.480',0.072,-,-,-,-,86.320,20.400
'32:59:27.488',0.064,-,-,-,-,81.120,19.200
'32:59:27.496',0.048,-,-,-,-,76.440,17.600
'32:59:27.504',0.032,-,-,-,-,73.320,16.800
'32:59:27.512',0.008,-,-,-,-,70.200,16.400
'32:59:27.520',-0.016,-,-,-,-,67.080,15.600
'32:59:27.528',-0.024,-,-,-,-,64.480,15.200
'32:59:27.536',-0.016,-,-,-,-,62.920,15.200
'32:59:27.544',-0.008,-,-,-,-,61.360,14.800
'32:59:27.552',-0.008,-,-,-,-,60.320,14.400
'32:59:27.560',-0.008,-,-,-,-,61.360,13.600
'32:59:27.568',-0.008,-,-,-,-,61.360,13.200
'32:59:27.576',-0.008,-,-,-,-,62.400,12.400
'32:59:27.584',-0.008,-,-,-,-,62.400,12.000
'32:59:27.592',0.000,-,-,-,-,62.920,11.200
'32:59:27.600',0.000,-,-,-,-,64.480,10.400
'32:59:27.608',0.000,-,-,-,-,65.520,10.000
'32:59:27.616',0.008,-,-,-,-,66.040,9.200
'32:59:27.624',0.016,-,-,-,-,67.080,8.800
'32:59:27.632',0.016,-,-,-,-,67.600,8.000
'32:59:27.640',0.032,-,-,-,-,68.640,7.600
'32:59:27.648',0.048,-,-,-,-,68.640,7.200
'32:59:27.656',0.048,-,-,-,-,69.160,7.200
'32:59:27.664',0.040,-,-,-,-,69.160,6.800
'32:59:27.672',0.040,-,-,-,-,69.160,6.400
'32:59:27.680',0.056,-,-,-,-,69.160,6.400
'32:59:27.688',0.072,-,-,-,-,68.640,6.000
'32:59:27.696',0.080,-,-,-,-,68.640,6.000
'32:59:27.704',0.088,-,-,-,-,68.640,5.600
'32:59:27.712',0.072,-,-,-,-,67.600,5.200
'32:59:27.720',0.056,-,-,-,-,67.600,5.200
'32:59:27.728',0.040,-,-,-,-,67.080,5.200
'32:59:27.736',0.008,-,-,-,-,67.080,5.200
'32:59:27.744',-0.032,-,-,-,-,67.080,5.200
'32:59:27.752',-0.064,-,-,-,-,66.040,5.600
'32:59:27.760',-0.080,-,-,-,-,66.040,5.600
'32:59:27.768',-0.096,-,-,-,-,65.520,6.000
'32:59:27.776',-0.112,-,-,-,-,64.480,6.400
'32:59:27.784',-0.128,-,-,-,-,64.480,6.800
'32:59:27.792',-0.136,-,-,-,-,63.960,7.600
'32:59:27.800',-0.128,-,-,-,-,62.920,8.000
'32:59:27.808',-0.120,-,-,-,-,62.400,8.800
'32:59:27.816',-0.040,-,-,-,-,61.360,9.200
'32:59:27.824',0.168,-,-,-,-,61.360,9.600
'32:59:27.832',0.312,-,-,-,-,60.320,10.000
'32:59:27.840',0.256,-,-,-,-,59.800,10.400
'32:59:27.848',0.144,-,-,-,-,59.800,10.800
'32:59:27.856',0.128,-,-,-,-,58.760,11.600
'32:59:27.864',0.128,-,-,-,-,58.760,12.000
'32:59:27.872',0.112,-,-,-,-,58.240,13.200
'32:59:27.880',0.072,-,-,-,-,58.240,14.800
'32:59:27.888',0.040,-,-,-,-,58.240,16.800
'32:59:27.896',0.008,-,-,-,-,58.760,19.200
'32:59:27.904',-0.024,-,-,-,-,58.760,22.000
'32:59:27.912',-0.040,-,-,-,-,58.240,24.000
'32:59:27.920',-0.048,-,-,-,-,58.240,25.600
'32:59:27.928',-0.048,-,-,-,-,58.240,27.200
'32:59:27.936',-0.040,-,-,-,-,58.760,28.800
'32:59:27.944',-0.040,-,-,-,-,59.800,30.400
'32:59:27.952',-0.048,-,-,-,-,60.320,32.400
'32:59:27.960',-0.048,-,-,-,-,60.320,34.000
'32:59:27.968',-0.048,-,-,-,-,61.360,36.000
'32:59:27.976',-0.048,-,-,-,-,62.400,37.600
'32:59:27.984',-0.040,-,-,-,-,63.960,39.600
'32:59:27.992',-0.032,-,-,-,-,66.040,41.200
'32:59:28.000',-0.032,-,-,-,-,68.640,42.800
'32:59:28.008',-0.024,-,-,-,-,72.800,44.400
'32:59:28.016',-0.024,-,-,-,-,77.480,45.600
'32:59:28.024',-0.032,-,-,-,-,82.160,46.800
'32:59:28.032',-0.032,-,-,-,-,87.880,48.000
'32:59:28.040',-0.016,-,-,-,-,92.560,48.800
'32:59:28.048',0.000,-,-,-,-,97.240,49.600
'32:59:28.056',0.016,-,-,-,-,101.400,50.000
'32:59:28.064',0.024,-,-,-,-,104.000,50.400
'32:59:28.072',0.032,-,-,-,-,105.560,50.400
'32:59:28.080',0.032,-,-,-,-,106.080,50.400
'32:59:28.088',0.016,-,-,-,-,105.560,50.400
'32:59:28.096',0.008,-,-,-,-,104.520,50.400
'32:59:28.104',0.000,-,-,-,-,102.960,50.000
'32:59:28.112',-0.008,-,-,-,-,100.360,49.600
'32:59:28.120',-0.024,-,-,-,-,98.280,48.800
'32:59:28.128',-0.032,-,-,-,-,94.120,48.000
'32:59:28.136',-0.032,-,-,-,-,89.960,46.800
'32:59:28.144',-0.032,-,-,-,-,85.280,46.000
'32:59:28.152',-0.016,-,-,-,-,80.600,44.800
'32:59:28.160',0.000,-,-,-,-,76.440,43.200
'32:59:28.168',0.016,-,-,-,-,73.320,42.000
'32:59:28.176',0.024,-,-,-,-,70.200,40.800
'32:59:28.184',0.024,-,-,-,-,67.080,39.200
'32:59:28.192',0.008,-,-,-,-,63.960,38.000
'32:59:28.200',0.008,-,-,-,-,62.400,37.600
'32:59:28.208',0.000,-,-,-,-,61.360,37.200
'32:59:28.216',-0.016,-,-,-,-,61.360,36.800
'32:59:28.224',-0.032,-,-,-,-,62.400,36.800
'32:59:28.232',-0.032,-,-,-,-,62.920,36.400
'32:59:28.240',-0.032,-,-,-,-,63.960,36.000
'32:59:28.248',-0.024,-,-,-,-,65.520,36.000
'32:59:28.256',-0.024,-,-,-,-,67.080,36.000
'32:59:28.264',-0.024,-,-,-,-,68.640,36.000
'32:59:28.272',-0.016,-,-,-,-,70.200,36.000
'32:59:28.280',-0.016,-,-,-,-,70.200,36.000
'32:59:28.288',-0.008,-,-,-,-,70.200,36.000
'32:59:28.296',-0.008,-,-,-,-,70.200,36.000
'32:59:28.304',0.000,-,-,-,-,70.200,36.000
'32:59:28.312',0.008,-,-,-,-,70.200,35.600
'32:59:28.320',0.024,-,-,-,-,70.720,35.600
'32:59:28.328',0.048,-,-,-,-,70.720,35.200
'32:59:28.336',0.056,-,-,-,-,70.720,35.200
'32:59:28.344',0.048,-,-,-,-,71.760,34.800
'32:59:28.352',0.040,-,-,-,-,72.800,34.400
'32:59:28.360',0.032,-,-,-,-,72.800,34.000
'32:59:28.368',0.024,-,-,-,-,73.320,34.000
'32:59:28.376',0.008,-,-,-,-,74.360,34.400
'32:59:28.384',-0.008,-,-,-,-,74.880,34.800
'32:59:28.392',-0.016,-,-,-,-,74.880,34.800
'32:59:28.400',-0.024,-,-,-,-,74.880,34.400
'32:59:28.408',-0.040,-,-,-,-,74.360,34.400
'32:59:28.416',-0.056,-,-,-,-,73.320,34.400
'32:59:28.424',-0.064,-,-,-,-,72.800,34.400
'32:59:28.432',-0.056,-,-,-,-,71.760,34.400
'32:59:28.440',-0.056,-,-,-,-,70.720,34.800
'32:59:28.448',-0.048,-,-,-,-,70.200,34.800
'32:59:28.456',-0.072,-,-,-,-,69.160,35.200
'32:59:28.464',-0.080,-,-,-,-,69.160,35.200
'32:59:28.472',-0.088,-,-,-,-,69.160,35.200
'32:59:28.480',-0.080,-,-,-,-,69.160,35.600
'32:59:28.488',-0.064,-,-,-,-,69.160,35.600
'32:59:28.496',-0.048,-,-,-,-,68.640,35.600
'32:59:28.504',-0.056,-,-,-,-,68.640,36.000
'32:59:28.512',-0.008,-,-,-,-,68.640,36.000
'32:59:28.520',0.184,-,-,-,-,68.640,36.000
'32:59:28.528',0.400,-,-,-,-,68.640,35.600
'32:59:28.536',0.440,-,-,-,-,69.160,35.600
