'Elapsed time','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'13:27:27.352',0.000,-,-,72.000,18.400
'13:27:27.360',0.000,-,-,71.200,20.000
'13:27:27.368',0.000,-,-,69.600,21.200
'13:27:27.376',-0.016,-,-,68.800,22.000
'13:27:27.384',0.000,-,-,68.000,22.400
'13:27:27.392',0.000,-,-,67.200,22.800
'13:27:27.400',0.000,-,-,67.200,22.400
'13:27:27.408',0.000,-,-,67.200,21.600
'13:27:27.416',0.000,-,-,67.200,20.400
'13:27:27.424',0.000,-,-,68.000,18.800
'13:27:27.432',0.000,-,-,68.000,17.600
'13:27:27.440',0.000,-,-,68.800,16.800
'13:27:27.448',0.000,-,-,69.600,16.400
'13:27:27.456',0.016,-,-,70.400,16.000
'13:27:27.464',0.016,-,-,71.200,15.600
'13:27:27.472',0.048,-,-,72.000,15.600
'13:27:27.480',0.064,-,-,73.600,15.200
'13:27:27.488',0.096,-,-,74.400,14.800
'13:27:27.496',0.096,-,-,76.000,14.400
'13:27:27.504',0.096,-,-,76.800,14.400
'13:27:27.512',0.080,-,-,77.600,14.800
'13:27:27.520',0.096,-,-,79.200,14.800
'13:27:27.528',0.064,-,-,80.800,14.800
'13:27:27.536',0.048,-,-,81.600,14.800
'13:27:27.544',0.032,-,-,82.400,14.800
'13:27:27.552',0.016,-,-,83.200,14.400
'13:27:27.560',0.000,-,-,84.800,14.000
'13:27:27.568',0.000,-,-,85.600,13.600
'13:27:27.576',-0.016,-,-,86.400,13.200
'13:27:27.584',-0.016,-,-,87.200,13.200
'13:27:27.592',-0.016,-,-,87.200,12.800
'13:27:27.600',0.000,-,-,88.000,13.200
'13:27:27.608',0.000,-,-,88.000,13.200
'13:27:27.616',0.064,-,-,88.800,14.000
'13:27:27.624',0.176,-,-,88.800,14.400
'13:27:27.632',0.256,-,-,88.800,14.800
'13:27:27.640',0.304,-,-,88.000,15.200
'13:27:27.648',0.160,-,-,88.000,14.800
'13:27:27.656',0.032,-,-,87.200,14.800
'13:27:27.664',0.000,-,-,86.400,14.400
'13:27:27.672',0.032,-,-,84.800,14.000
'13:27:27.680',0.016,-,-,83.200,14.000
'13:27:27.688',0.032,-,-,81.600,13.600
'13:27:27.696',-0.048,-,-,79.200,13.200
'13:27:27.704',-0.096,-,-,77.600,12.800
'13:27:27.712',-0.048,-,-,76.000,12.400
'13:27:27.720',-0.032,-,-,73.600,12.800
'13:27:27.728',-0.112,-,-,71.200,12.800
'13:27:27.736',-0.048,-,-,69.600,13.200
'13:27:27.744',-0.032,-,-,67.200,13.600
'13:27:27.752',-0.032,-,-,65.600,14.000
'13:27:27.760',-0.016,-,-,63.200,14.800
'13:27:27.768',-0.016,-,-,61.600,16.800
'13:27:27.776',-0.032,-,-,60.800,19.200
'13:27:27.784',-0.016,-,-,60.000,22.400
'13:27:27.792',-0.016,-,-,59.200,26.000
'13:27:27.800',-0.016,-,-,59.200,30.000
'13:27:27.808',0.000,-,-,60.000,33.600
'13:27:27.816',-0.016,-,-,60.800,36.400
'13:27:27.824',-0.016,-,-,62.400,38.400
'13:27:27.832',-0.016,-,-,63.200,39.600
'13:27:27.840',-0.032,-,-,64.800,40.000
'13:27:27.848',-0.032,-,-,66.400,40.000
'13:27:27.856',-0.032,-,-,68.000,39.200
'13:27:27.864',-0.032,-,-,70.400,38.000
'13:27:27.872',-0.016,-,-,72.800,36.400
'13:27:27.880',-0.032,-,-,75.200,35.200
'13:27:27.888',-0.016,-,-,77.600,33.600
'13:27:27.896',-0.032,-,-,80.000,32.000
'13:27:27.904',-0.032,-,-,81.600,30.800
'13:27:27.912',-0.032,-,-,83.200,29.600
'13:27:27.920',-0.016,-,-,84.000,28.800
'13:27:27.928',-0.016,-,-,84.800,27.600
'13:27:27.936',-0.032,-,-,85.600,26.800
'13:27:27.944',-0.016,-,-,86.400,26.000
'13:27:27.952',-0.032,-,-,87.200,24.400
'13:27:27.960',-0.016,-,-,87.200,23.200
'13:27:27.968',0.000,-,-,87.200,20.800
'13:27:27.976',-0.016,-,-,86.400,18.400
'13:27:27.984',0.000,-,-,86.400,16.000
'13:27:27.992',0.000,-,-,85.600,14.400
'13:27:28.000',-0.016,-,-,84.000,13.600
'13:27:28.008',0.000,-,-,81.600,14.000
'13:27:28.016',-0.016,-,-,79.200,15.200
'13:27:28.024',0.000,-,-,77.600,16.800
'13:27:28.032',-0.016,-,-,76.000,18.000
'13:27:28.040',-0.032,-,-,74.400,19.200
'13:27:28.048',-0.016,-,-,73.600,20.000
'13:27:28.056',0.000,-,-,72.000,20.800
'13:27:28.064',-0.016,-,-,71.200,21.200
'13:27:28.072',0.000,-,-,70.400,21.200
'13:27:28.080',-0.016,-,-,70.400,20.800
'13:27:28.088',0.000,-,-,70.400,20.000
'13:27:28.096',-0.016,-,-,71.200,18.800
'13:27:28.104',0.000,-,-,71.200,17.600
'13:27:28.112',-0.016,-,-,72.000,16.800
'13:27:28.120',0.000,-,-,72.800,15.600
'13:27:28.128',-0.016,-,-,73.600,14.800
'13:27:28.136',0.000,-,-,74.400,14.400
'13:27:28.144',0.000,-,-,75.200,14.400
'13:27:28.152',0.000,-,-,76.000,14.000
'13:27:28.160',0.032,-,-,77.600,13.600
'13:27:28.168',0.064,-,-,78.400,13.200
'13:27:28.176',0.080,-,-,79.200,13.200
'13:27:28.184',0.064,-,-,80.800,12.800
'13:27:28.192',0.080,-,-,81.600,12.800
'13:27:28.200',0.064,-,-,83.200,13.200
'13:27:28.208',0.048,-,-,84.000,13.200
'13:27:28.216',0.064,-,-,85.600,13.200
'13:27:28.224',0.032,-,-,86.400,13.200
'13:27:28.232',0.016,-,-,88.000,12.800
'13:27:28.240',0.032,-,-,88.800,12.400
'13:27:28.248',0.000,-,-,89.600,12.000
'13:27:28.256',-0.032,-,-,89.600,11.600
'13:27:28.264',-0.032,-,-,90.400,10.800
'13:27:28.272',-0.032,-,-,90.400,10.800
'13:27:28.280',-0.032,-,-,91.200,11.200
'13:27:28.288',-0.016,-,-,91.200,11.600
'13:27:28.296',0.000,-,-,91.200,12.000
'13:27:28.304',0.048,-,-,90.400,12.400
'13:27:28.312',0.176,-,-,90.400,12.400
'13:27:28.320',0.304,-,-,89.600,12.400
'13:27:28.328',0.336,-,-,88.800,12.000
'13:27:28.336',0.208,-,-,88.000,12.000
'13:27:28.344',0.048,-,-,86.400,12.000
'13:27:28.352',0.000,-,-,84.800,12.000
'13:27:28.360',0.048,-,-,82.400,12.000
'13:27:28.368',0.032,-,-,80.800,11.600
'13:27:28.376',0.000,-,-,78.400,11.200
'13:27:28.384',-0.048,-,-,76.800,10.800
'13:27:28.392',-0.112,-,-,74.400,10.800
'13:27:28.400',-0.064,-,-,72.000,11.200
'13:27:28.408',-0.032,-,-,69.600,11.600
'13:27:28.416',-0.128,-,-,68.000,11.600
'13:27:28.424',-0.080,-,-,65.600,11.600
'13:27:28.432',-0.064,-,-,64.000,11.200
'13:27:28.440',-0.048,-,-,61.600,11.200
'13:27:28.448',-0.080,-,-,60.000,12.000
'13:27:28.456',-0.064,-,-,58.400,13.600
'13:27:28.464',-0.064,-,-,56.800,16.400
'13:27:28.472',-0.064,-,-,56.000,19.600
'13:27:28.480',-0.080,-,-,56.000,23.200
'13:27:28.488',-0.064,-,-,56.000,26.800
'13:27:28.496',-0.032,-,-,56.000,30.800
'13:27:28.504',-0.064,-,-,56.800,34.000
'13:27:28.512',-0.080,-,-,57.600,36.400
'13:27:28.520',-0.080,-,-,59.200,37.600
'13:27:28.528',-0.032,-,-,60.000,38.000
'13:27:28.536',-0.064,-,-,61.600,38.000
'13:27:28.544',-0.080,-,-,63.200,36.800
'13:27:28.552',-0.064,-,-,64.000,35.200
'13:27:28.560',-0.080,-,-,66.400,33.600
'13:27:28.568',-0.064,-,-,68.800,32.000
'13:27:28.576',-0.048,-,-,72.000,30.400
'13:27:28.584',-0.032,-,-,74.400,28.800
'13:27:28.592',-0.064,-,-,76.000,27.600
'13:27:28.600',-0.064,-,-,76.800,26.400
'13:27:28.608',-0.080,-,-,77.600,25.600
'13:27:28.616',-0.080,-,-,79.200,24.800
'13:27:28.624',-0.080,-,-,80.800,24.400
'13:27:28.632',-0.032,-,-,82.400,24.000
'13:27:28.640',-0.032,-,-,82.400,23.200
'13:27:28.648',-0.032,-,-,82.400,22.000
'13:27:28.656',-0.064,-,-,81.600,20.000
'13:27:28.664',-0.064,-,-,80.800,17.200
'13:27:28.672',-0.032,-,-,80.000,14.400
'13:27:28.680',-0.032,-,-,79.200,12.000
'13:27:28.688',-0.016,-,-,77.600,10.800
'13:27:28.696',-0.016,-,-,76.800,10.800
'13:27:28.704',-0.032,-,-,75.200,12.000
'13:27:28.712',-0.016,-,-,73.600,13.600
'13:27:28.720',-0.032,-,-,72.800,15.600
'13:27:28.728',-0.032,-,-,72.000,17.200
'13:27:28.736',-0.016,-,-,71.200,18.400
'13:27:28.744',0.000,-,-,70.400,19.200
'13:27:28.752',-0.016,-,-,69.600,20.000
'13:27:28.760',0.000,-,-,68.800,20.400
'13:27:28.768',-0.016,-,-,69.600,20.000
'13:27:28.776',-0.016,-,-,69.600,19.600
'13:27:28.784',0.000,-,-,70.400,18.800
'13:27:28.792',-0.016,-,-,71.200,17.600
'13:27:28.800',0.000,-,-,72.000,16.800
'13:27:28.808',0.000,-,-,72.800,15.600
'13:27:28.816',0.000,-,-,73.600,14.800
'13:27:28.824',0.000,-,-,74.400,14.400
'13:27:28.832',0.000,-,-,76.000,13.600
'13:27:28.840',0.000,-,-,76.800,13.200
'13:27:28.848',0.032,-,-,77.600,13.200
'13:27:28.856',0.048,-,-,78.400,13.200
'13:27:28.864',0.064,-,-,80.000,13.200
'13:27:28.872',0.064,-,-,81.600,13.600
'13:27:28.880',0.064,-,-,82.400,14.000
'13:27:28.888',0.080,-,-,83.200,14.400
'13:27:28.896',0.080,-,-,84.800,14.800
'13:27:28.904',0.064,-,-,85.600,14.800
'13:27:28.912',0.048,-,-,86.400,15.200
'13:27:28.920',0.016,-,-,88.000,15.200
'13:27:28.928',0.000,-,-,88.800,15.200
'13:27:28.936',0.000,-,-,89.600,14.800
'13:27:28.944',-0.016,-,-,90.400,14.400
'13:27:28.952',-0.032,-,-,90.400,13.600
'13:27:28.960',-0.016,-,-,90.400,13.200
'13:27:28.968',-0.032,-,-,91.200,12.800
'13:27:28.976',-0.016,-,-,91.200,13.200
'13:27:28.984',0.000,-,-,91.200,13.600
'13:27:28.992',0.048,-,-,90.400,13.600
'13:27:29.000',0.160,-,-,89.600,13.600
'13:27:29.008',0.256,-,-,88.800,13.600
'13:27:29.016',0.336,-,-,88.000,13.200
'13:27:29.024',0.208,-,-,86.400,13.600
'13:27:29.032',0.064,-,-,84.800,14.000
'13:27:29.040',0.016,-,-,83.200,14.000
'13:27:29.048',0.032,-,-,80.800,14.000
'13:27:29.056',0.032,-,-,79.200,14.000
'13:27:29.064',0.000,-,-,76.800,13.600
'13:27:29.072',-0.032,-,-,74.400,12.800
'13:27:29.080',-0.112,-,-,72.800,12.800
'13:27:29.088',-0.080,-,-,70.400,13.200
'13:27:29.096',-0.048,-,-,68.000,13.600
'13:27:29.104',-0.112,-,-,66.400,14.400
'13:27:29.112',-0.080,-,-,64.000,14.400
'13:27:29.120',-0.032,-,-,62.400,14.400
'13:27:29.128',-0.032,-,-,60.800,14.800
'13:27:29.136',-0.032,-,-,59.200,15.600
'13:27:29.144',-0.032,-,-,57.600,17.600
'13:27:29.152',-0.032,-,-,56.000,20.400
'13:27:29.160',-0.032,-,-,56.000,24.000
'13:27:29.168',-0.032,-,-,55.200,28.400
'13:27:29.176',-0.032,-,-,56.000,32.400
'13:27:29.184',-0.032,-,-,56.800,36.000
