'Elapsed time','II','III','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'181:57:37.848',-0.052,-,-,-,-0.050,-,-
'181:57:37.856',-0.078,-,-,-,-0.193,-,-
'181:57:37.864',-0.129,-,-,-,-0.218,-,-
'181:57:37.872',-0.103,-,-,-,-0.025,-,-
'181:57:37.880',-0.103,-,-,-,-0.193,-,-
'181:57:37.888',-0.129,-,-,-,0.109,-,-
'181:57:37.896',-0.129,-,-,-,0.387,-,-
'181:57:37.904',-0.078,-,-,-,0.000,-,-
'181:57:37.912',-0.026,-,-,-,-0.050,-,-
'181:57:37.920',0.000,-,-,-,0.328,-,-
'181:57:37.928',0.000,-,-,-,0.109,-,-
'181:57:37.936',0.026,-,-,-,-0.134,-,-
'181:57:37.944',0.026,-,-,-,-0.193,-,-
'181:57:37.952',0.000,-,-,-,0.218,-,-
'181:57:37.960',0.000,-,-,-,0.134,-,-
'181:57:37.968',0.052,-,-,-,0.218,-,-
'181:57:37.976',0.078,-,-,-,0.471,-,-
'181:57:37.984',0.103,-,-,-,0.496,-,-
'181:57:37.992',0.181,-,-,-,0.134,-,-
'181:57:38.000',0.284,-,-,-,0.109,-,-
'181:57:38.008',0.388,-,-,-,0.244,-,-
'181:57:38.016',0.388,-,-,-,0.412,-,-
'181:57:38.024',0.233,-,-,-,0.412,-,-
'181:57:38.032',0.103,-,-,-,0.328,-,-
'181:57:38.040',0.103,-,-,-,0.412,-,-
'181:57:38.048',0.103,-,-,-,0.160,-,-
'181:57:38.056',0.078,-,-,-,0.050,-,-
'181:57:38.064',0.052,-,-,-,0.000,-,-
'181:57:38.072',0.052,-,-,-,0.050,-,-
'181:57:38.080',0.026,-,-,-,-0.193,-,-
'181:57:38.088',0.026,-,-,-,-0.218,-,-
'181:57:38.096',0.026,-,-,-,0.000,-,-
'181:57:38.104',-0.026,-,-,-,0.160,-,-
'181:57:38.112',-0.103,-,-,-,0.218,-,-
'181:57:38.120',-0.155,-,-,-,0.025,-,-
'181:57:38.128',-0.129,-,-,-,0.000,-,-
'181:57:38.136',-0.026,-,-,-,0.000,-,-
'181:57:38.144',0.078,-,-,-,-0.303,-,-
'181:57:38.152',0.078,-,-,-,-0.353,-,-
'181:57:38.160',0.026,-,-,-,0.000,-,-
'181:57:38.168',-0.052,-,-,-,0.000,-,-
'181:57:38.176',-0.155,-,-,-,-0.050,-,-
'181:57:38.184',-0.181,-,-,-,0.160,-,-
'181:57:38.192',-0.155,-,-,-,0.303,-,-
'181:57:38.200',-0.026,-,-,-,-0.050,-,-
'181:57:38.208',0.052,-,-,-,-0.353,-,-
'181:57:38.216',0.000,-,-,-,-0.134,-,-
'181:57:38.224',-0.026,-,-,-,0.050,-,-
'181:57:38.232',0.000,-,-,-,-0.076,-,-
'181:57:38.240',0.026,-,-,-,-0.134,-,-
'181:57:38.248',0.026,-,-,-,0.303,-,-
'181:57:38.256',0.052,-,-,-,0.353,-,-
'181:57:38.264',0.052,-,-,-,0.000,-,-
'181:57:38.272',0.000,-,-,-,-0.134,-,-
'181:57:38.280',0.000,-,-,-,-0.193,-,-
'181:57:38.288',0.000,-,-,-,-0.134,-,-
'181:57:38.296',-0.026,-,-,-,0.000,-,-
'181:57:38.304',-0.078,-,-,-,0.076,-,-
'181:57:38.312',-0.103,-,-,-,0.050,-,-
'181:57:38.320',-0.078,-,-,-,-0.160,-,-
'181:57:38.328',-0.078,-,-,-,-0.303,-,-
'181:57:38.336',-0.129,-,-,-,-0.244,-,-
'181:57:38.344',-0.078,-,-,-,-0.025,-,-
'181:57:38.352',0.181,-,-,-,0.076,-,-
'181:57:38.360',0.681,-,-,-,-0.050,-,-
'181:57:38.368',0.836,-,-,-,-0.555,-,-
'181:57:38.376',0.259,-,-,-,-0.966,-,-
'181:57:38.384',-0.284,-,-,-,-0.832,-,-
'181:57:38.392',-0.362,-,-,-,-0.555,-,-
'181:57:38.400',-0.129,-,-,-,-0.412,-,-
'181:57:38.408',-0.052,-,-,-,-0.193,-,-
'181:57:38.416',-0.078,-,-,-,-0.076,-,-
'181:57:38.424',-0.103,-,-,-,-0.025,-,-
'181:57:38.432',-0.129,-,-,-,-0.050,-,-
'181:57:38.440',-0.103,-,-,-,0.076,-,-
'181:57:38.448',-0.078,-,-,-,0.050,-,-
'181:57:38.456',-0.052,-,-,-,0.218,-,-
'181:57:38.464',-0.052,-,-,-,-0.193,-,-
