'Elapsed time','I','II','III','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'38:04:07.832',0.029,-,-,-0.069,121.560,22.000
'38:04:07.840',0.000,-,-,0.000,122.280,21.600
'38:04:07.848',-0.010,-,-,0.000,121.560,21.200
'38:04:07.856',-0.010,-,-,0.000,121.560,21.200
'38:04:07.864',-0.029,-,-,0.000,120.720,21.200
'38:04:07.872',0.000,-,-,0.030,119.880,21.200
'38:04:07.880',0.038,-,-,-0.069,118.320,20.800
'38:04:07.888',0.048,-,-,-0.069,117.480,20.800
'38:04:07.896',0.058,-,-,-0.069,115.920,20.400
'38:04:07.904',0.067,-,-,-0.069,115.080,20.800
'38:04:07.912',0.048,-,-,-0.069,113.520,21.200
'38:04:07.920',0.019,-,-,-0.030,112.680,21.200
'38:04:07.928',0.029,-,-,0.000,111.960,20.400
'38:04:07.936',0.038,-,-,-0.069,110.280,18.800
'38:04:07.944',0.000,-,-,0.000,109.560,17.200
'38:04:07.952',-0.010,-,-,0.000,107.880,16.400
'38:04:07.960',0.010,-,-,0.000,105.480,16.800
'38:04:07.968',-0.019,-,-,0.000,103.080,17.600
'38:04:07.976',-0.125,-,-,0.030,100.680,19.600
'38:04:07.984',-0.183,-,-,0.218,98.280,20.000
'38:04:07.992',-0.087,-,-,0.139,95.160,19.600
'38:04:08.000',0.058,-,-,0.030,91.080,18.800
'38:04:08.008',0.240,-,-,-0.178,87.960,18.400
'38:04:08.016',0.327,-,-,-0.475,84.720,18.000
'38:04:08.024',0.202,-,-,-0.475,81.480,18.000
'38:04:08.032',0.010,-,-,-0.069,78.360,18.800
'38:04:08.040',-0.038,-,-,0.069,75.960,20.800
'38:04:08.048',0.029,-,-,0.000,73.560,22.400
'38:04:08.056',0.087,-,-,-0.109,71.880,21.600
'38:04:08.064',0.087,-,-,-0.069,71.160,17.600
'38:04:08.072',0.077,-,-,-0.069,71.880,12.400
'38:04:08.080',0.067,-,-,-0.069,74.280,10.000
'38:04:08.088',0.058,-,-,-0.069,78.360,12.400
'38:04:08.096',0.029,-,-,-0.030,83.880,20.800
'38:04:08.104',0.000,-,-,0.000,90.360,32.800
'38:04:08.112',-0.010,-,-,0.000,96.720,44.000
'38:04:08.120',0.038,-,-,0.000,102.360,49.600
'38:04:08.128',0.067,-,-,-0.069,107.160,48.400
'38:04:08.136',0.058,-,-,-0.069,110.280,42.400
'38:04:08.144',0.048,-,-,-0.069,111.960,36.000
'38:04:08.152',0.048,-,-,-0.069,113.520,30.800
'38:04:08.160',0.058,-,-,-0.030,113.520,29.600
'38:04:08.168',0.058,-,-,-0.069,113.520,32.000
'38:04:08.176',0.058,-,-,-0.030,113.520,36.400
'38:04:08.184',0.087,-,-,-0.069,112.680,40.800
'38:04:08.192',0.125,-,-,-0.139,112.680,43.200
'38:04:08.200',0.115,-,-,-0.109,113.520,42.800
'38:04:08.208',0.058,-,-,-0.069,115.080,39.600
'38:04:08.216',0.010,-,-,-0.069,118.320,35.600
'38:04:08.224',0.000,-,-,0.000,122.280,32.800
'38:04:08.232',0.029,-,-,0.000,124.680,31.600
'38:04:08.240',0.067,-,-,-0.030,126.360,32.400
'38:04:08.248',0.096,-,-,-0.030,125.520,33.600
'38:04:08.256',0.048,-,-,-0.069,123.960,34.800
'38:04:08.264',-0.077,-,-,0.000,120.720,34.400
'38:04:08.272',-0.173,-,-,0.109,116.760,32.400
'38:04:08.280',-0.173,-,-,0.139,111.960,29.600
'38:04:08.288',-0.115,-,-,0.069,107.880,26.400
