'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'6:02:29.064',0.072,-,-1.760,-,64.000,-
'6:02:29.072',0.064,-,-1.712,-,65.600,-
'6:02:29.080',0.032,-,-1.688,-,67.200,-
'6:02:29.088',0.024,-,-1.672,-,68.000,-
'6:02:29.096',0.008,-,-1.648,-,68.000,-
'6:02:29.104',0.008,-,-1.624,-,68.000,-
'6:02:29.112',0.008,-,-1.584,-,68.000,-
'6:02:29.120',0.008,-,-1.560,-,67.200,-
'6:02:29.128',0.008,-,-1.536,-,66.400,-
'6:02:29.136',0.008,-,-1.520,-,65.600,-
'6:02:29.144',0.008,-,-1.472,-,64.000,-
'6:02:29.152',0.000,-,-1.456,-,62.400,-
'6:02:29.160',0.000,-,-1.432,-,60.800,-
'6:02:29.168',0.000,-,-1.408,-,58.400,-
'6:02:29.176',0.000,-,-1.384,-,56.800,-
'6:02:29.184',0.000,-,-1.368,-,55.200,-
'6:02:29.192',-0.008,-,-1.344,-,53.600,-
'6:02:29.200',-0.008,-,-1.320,-,52.800,-
'6:02:29.208',-0.008,-,-1.304,-,52.000,-
'6:02:29.216',-0.024,-,-1.304,-,51.200,-
'6:02:29.224',-0.024,-,-1.280,-,50.400,-
'6:02:29.232',-0.008,-,-1.256,-,50.400,-
'6:02:29.240',0.000,-,-1.232,-,49.600,-
'6:02:29.248',0.000,-,-1.216,-,48.800,-
'6:02:29.256',0.000,-,-1.192,-,48.800,-
'6:02:29.264',0.000,-,-1.192,-,48.000,-
'6:02:29.272',0.000,-,-1.168,-,48.000,-
'6:02:29.280',0.000,-,-1.152,-,47.200,-
'6:02:29.288',0.000,-,-1.152,-,47.200,-
'6:02:29.296',0.008,-,-1.128,-,47.200,-
'6:02:29.304',0.008,-,-1.104,-,47.200,-
'6:02:29.312',0.008,-,-1.080,-,47.200,-
'6:02:29.320',0.000,-,-1.080,-,47.200,-
'6:02:29.328',0.000,-,-1.064,-,47.200,-
'6:02:29.336',0.008,-,-1.040,-,47.200,-
'6:02:29.344',0.024,-,-1.040,-,46.400,-
'6:02:29.352',0.032,-,-1.016,-,46.400,-
'6:02:29.360',0.032,-,-1.000,-,46.400,-
'6:02:29.368',-0.032,-,-1.000,-,46.400,-
'6:02:29.376',-0.184,-,-0.976,-,46.400,-
'6:02:29.384',-0.296,-,-0.952,-,46.400,-
'6:02:29.392',-0.336,-,-0.952,-,46.400,-
'6:02:29.400',-0.328,-,-0.928,-,46.400,-
'6:02:29.408',-0.288,-,-0.912,-,45.600,-
'6:02:29.416',-0.192,-,-0.888,-,45.600,-
'6:02:29.424',-0.104,-,-0.864,-,45.600,-
'6:02:29.432',-0.032,-,-0.840,-,45.600,-
'6:02:29.440',0.000,-,-0.824,-,45.600,-
'6:02:29.448',0.024,-,-0.800,-,44.800,-
'6:02:29.456',0.048,-,-0.760,-,44.800,-
'6:02:29.464',0.064,-,-0.736,-,44.000,-
'6:02:29.472',0.064,-,-0.712,-,44.000,-
'6:02:29.480',0.064,-,-0.688,-,44.000,-
'6:02:29.488',0.064,-,-0.672,-,44.000,-
'6:02:29.496',0.072,-,-0.648,-,44.000,-
'6:02:29.504',0.088,-,-0.624,-,44.000,-
