'Elapsed time','II','AVR','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'44:27:45.200',-0.179,-,-,-0.189,-,-,-
'44:27:45.208',-0.142,-,-,-0.208,-,-,-
'44:27:45.216',-0.113,-,-,-0.123,-,-,-
'44:27:45.224',-0.075,-,-,-0.085,-,-,-
'44:27:45.232',-0.047,-,-,-0.028,-,-,-
'44:27:45.240',-0.028,-,-,0.000,-,-,-
'44:27:45.248',-0.028,-,-,0.009,-,-,-
'44:27:45.256',-0.028,-,-,0.000,-,-,-
'44:27:45.264',-0.009,-,-,0.000,-,-,-
'44:27:45.272',-0.009,-,-,0.009,-,-,-
'44:27:45.280',-0.009,-,-,0.000,-,-,-
'44:27:45.288',-0.028,-,-,0.009,-,-,-
'44:27:45.296',-0.028,-,-,0.000,-,-,-
'44:27:45.304',-0.028,-,-,0.000,-,-,-
'44:27:45.312',-0.028,-,-,0.000,-,-,-
'44:27:45.320',-0.028,-,-,0.000,-,-,-
'44:27:45.328',-0.028,-,-,0.000,-,-,-
'44:27:45.336',-0.047,-,-,0.000,-,-,-
'44:27:45.344',-0.047,-,-,-0.019,-,-,-
'44:27:45.352',-0.047,-,-,0.000,-,-,-
'44:27:45.360',-0.057,-,-,-0.009,-,-,-
'44:27:45.368',-0.047,-,-,-0.019,-,-,-
'44:27:45.376',-0.028,-,-,0.000,-,-,-
'44:27:45.384',-0.028,-,-,0.000,-,-,-
'44:27:45.392',-0.009,-,-,-0.009,-,-,-
'44:27:45.400',0.000,-,-,0.000,-,-,-
'44:27:45.408',0.047,-,-,0.038,-,-,-
'44:27:45.416',0.075,-,-,0.057,-,-,-
'44:27:45.424',0.094,-,-,0.085,-,-,-
'44:27:45.432',0.113,-,-,0.094,-,-,-
'44:27:45.440',0.094,-,-,0.104,-,-,-
'44:27:45.448',0.075,-,-,0.057,-,-,-
'44:27:45.456',0.075,-,-,0.047,-,-,-
'44:27:45.464',0.057,-,-,0.057,-,-,-
'44:27:45.472',0.047,-,-,0.047,-,-,-
'44:27:45.480',0.047,-,-,0.028,-,-,-
'44:27:45.488',0.028,-,-,0.019,-,-,-
'44:27:45.496',0.028,-,-,0.028,-,-,-
'44:27:45.504',0.028,-,-,0.019,-,-,-
'44:27:45.512',0.047,-,-,0.038,-,-,-
'44:27:45.520',0.057,-,-,0.057,-,-,-
'44:27:45.528',0.057,-,-,0.066,-,-,-
'44:27:45.536',0.057,-,-,0.057,-,-,-
'44:27:45.544',0.075,-,-,0.047,-,-,-
'44:27:45.552',0.075,-,-,0.057,-,-,-
'44:27:45.560',0.075,-,-,0.057,-,-,-
'44:27:45.568',0.057,-,-,0.038,-,-,-
'44:27:45.576',0.057,-,-,0.038,-,-,-
'44:27:45.584',0.057,-,-,0.038,-,-,-
'44:27:45.592',0.028,-,-,0.047,-,-,-
'44:27:45.600',0.009,-,-,0.000,-,-,-
'44:27:45.608',0.000,-,-,-0.009,-,-,-
'44:27:45.616',0.000,-,-,0.000,-,-,-
'44:27:45.624',0.000,-,-,-0.009,-,-,-
'44:27:45.632',-0.009,-,-,-0.019,-,-,-
'44:27:45.640',-0.009,-,-,-0.019,-,-,-
'44:27:45.648',0.000,-,-,-0.009,-,-,-
'44:27:45.656',0.000,-,-,-0.019,-,-,-
'44:27:45.664',-0.009,-,-,-0.009,-,-,-
'44:27:45.672',-0.009,-,-,-0.019,-,-,-
'44:27:45.680',-0.009,-,-,-0.019,-,-,-
'44:27:45.688',0.000,-,-,-0.019,-,-,-
'44:27:45.696',0.009,-,-,-0.019,-,-,-
'44:27:45.704',0.075,-,-,0.019,-,-,-
'44:27:45.712',0.160,-,-,0.085,-,-,-
'44:27:45.720',0.226,-,-,0.132,-,-,-
'44:27:45.728',0.255,-,-,0.151,-,-,-
'44:27:45.736',0.311,-,-,0.085,-,-,-
'44:27:45.744',0.321,-,-,0.142,-,-,-
'44:27:45.752',0.226,-,-,0.170,-,-,-
'44:27:45.760',0.057,-,-,-0.047,-,-,-
'44:27:45.768',-0.047,-,-,-0.113,-,-,-
'44:27:45.776',-0.142,-,-,-0.170,-,-,-
'44:27:45.784',-0.189,-,-,-0.226,-,-,-
'44:27:45.792',-0.208,-,-,-0.255,-,-,-
'44:27:45.800',-0.160,-,-,-0.198,-,-,-
'44:27:45.808',-0.113,-,-,-0.123,-,-,-
'44:27:45.816',-0.057,-,-,-0.047,-,-,-
'44:27:45.824',-0.028,-,-,0.000,-,-,-
'44:27:45.832',-0.028,-,-,0.009,-,-,-
'44:27:45.840',-0.028,-,-,0.000,-,-,-
'44:27:45.848',-0.028,-,-,0.009,-,-,-
'44:27:45.856',-0.028,-,-,0.000,-,-,-
'44:27:45.864',-0.028,-,-,0.009,-,-,-
'44:27:45.872',-0.028,-,-,0.000,-,-,-
'44:27:45.880',-0.028,-,-,0.009,-,-,-
'44:27:45.888',-0.028,-,-,0.000,-,-,-
'44:27:45.896',-0.028,-,-,0.009,-,-,-
'44:27:45.904',-0.028,-,-,0.009,-,-,-
'44:27:45.912',-0.028,-,-,0.009,-,-,-
'44:27:45.920',-0.047,-,-,0.000,-,-,-
'44:27:45.928',-0.047,-,-,-0.009,-,-,-
'44:27:45.936',-0.047,-,-,-0.009,-,-,-
'44:27:45.944',-0.047,-,-,0.000,-,-,-
'44:27:45.952',-0.057,-,-,-0.019,-,-,-
'44:27:45.960',-0.057,-,-,-0.019,-,-,-
'44:27:45.968',-0.057,-,-,-0.019,-,-,-
'44:27:45.976',-0.047,-,-,-0.019,-,-,-
'44:27:45.984',-0.009,-,-,-0.009,-,-,-
'44:27:45.992',0.000,-,-,0.009,-,-,-
'44:27:46.000',0.028,-,-,0.019,-,-,-
'44:27:46.008',0.057,-,-,0.047,-,-,-
'44:27:46.016',0.075,-,-,0.057,-,-,-
'44:27:46.024',0.094,-,-,0.085,-,-,-
'44:27:46.032',0.094,-,-,0.085,-,-,-
'44:27:46.040',0.075,-,-,0.085,-,-,-
'44:27:46.048',0.057,-,-,0.057,-,-,-
'44:27:46.056',0.047,-,-,0.038,-,-,-
'44:27:46.064',0.047,-,-,0.047,-,-,-
'44:27:46.072',0.009,-,-,0.019,-,-,-
'44:27:46.080',0.009,-,-,0.019,-,-,-
'44:27:46.088',0.000,-,-,0.009,-,-,-
'44:27:46.096',0.009,-,-,0.019,-,-,-
'44:27:46.104',0.028,-,-,0.009,-,-,-
'44:27:46.112',0.028,-,-,0.047,-,-,-
'44:27:46.120',0.028,-,-,0.038,-,-,-
'44:27:46.128',0.047,-,-,0.038,-,-,-
'44:27:46.136',0.047,-,-,0.038,-,-,-
'44:27:46.144',0.047,-,-,0.047,-,-,-
'44:27:46.152',0.028,-,-,0.038,-,-,-
'44:27:46.160',0.028,-,-,0.019,-,-,-
'44:27:46.168',0.028,-,-,0.028,-,-,-
'44:27:46.176',0.009,-,-,0.009,-,-,-
'44:27:46.184',0.000,-,-,-0.009,-,-,-
'44:27:46.192',-0.009,-,-,-0.028,-,-,-
'44:27:46.200',-0.028,-,-,-0.038,-,-,-
'44:27:46.208',-0.028,-,-,-0.038,-,-,-
'44:27:46.216',-0.047,-,-,-0.047,-,-,-
'44:27:46.224',-0.047,-,-,-0.047,-,-,-
'44:27:46.232',-0.047,-,-,-0.047,-,-,-
'44:27:46.240',-0.047,-,-,-0.038,-,-,-
'44:27:46.248',-0.047,-,-,-0.047,-,-,-
'44:27:46.256',-0.047,-,-,-0.038,-,-,-
'44:27:46.264',-0.047,-,-,-0.047,-,-,-
'44:27:46.272',-0.047,-,-,-0.047,-,-,-
'44:27:46.280',-0.028,-,-,-0.047,-,-,-
'44:27:46.288',0.000,-,-,-0.038,-,-,-
'44:27:46.296',0.057,-,-,0.019,-,-,-
'44:27:46.304',0.179,-,-,0.085,-,-,-
'44:27:46.312',0.274,-,-,0.189,-,-,-
'44:27:46.320',0.358,-,-,0.274,-,-,-
'44:27:46.328',0.425,-,-,0.255,-,-,-
'44:27:46.336',0.434,-,-,0.340,-,-,-
'44:27:46.344',0.311,-,-,0.349,-,-,-
'44:27:46.352',0.113,-,-,0.066,-,-,-
'44:27:46.360',-0.028,-,-,-0.047,-,-,-
'44:27:46.368',-0.123,-,-,-0.132,-,-,-
'44:27:46.376',-0.208,-,-,-0.208,-,-,-
'44:27:46.384',-0.226,-,-,-0.255,-,-,-
'44:27:46.392',-0.208,-,-,-0.208,-,-,-
'44:27:46.400',-0.179,-,-,-0.189,-,-,-
'44:27:46.408',-0.142,-,-,-0.113,-,-,-
'44:27:46.416',-0.113,-,-,-0.094,-,-,-
'44:27:46.424',-0.113,-,-,-0.094,-,-,-
'44:27:46.432',-0.094,-,-,-0.066,-,-,-
'44:27:46.440',-0.094,-,-,-0.066,-,-,-
'44:27:46.448',-0.094,-,-,-0.057,-,-,-
'44:27:46.456',-0.094,-,-,-0.066,-,-,-
'44:27:46.464',-0.094,-,-,-0.057,-,-,-
'44:27:46.472',-0.094,-,-,-0.066,-,-,-
'44:27:46.480',-0.094,-,-,-0.066,-,-,-
'44:27:46.488',-0.094,-,-,-0.066,-,-,-
'44:27:46.496',-0.094,-,-,-0.066,-,-,-
'44:27:46.504',-0.113,-,-,-0.085,-,-,-
'44:27:46.512',-0.113,-,-,-0.066,-,-,-
'44:27:46.520',-0.113,-,-,-0.094,-,-,-
'44:27:46.528',-0.113,-,-,-0.085,-,-,-
'44:27:46.536',-0.113,-,-,-0.094,-,-,-
'44:27:46.544',-0.113,-,-,-0.094,-,-,-
'44:27:46.552',-0.113,-,-,-0.104,-,-,-
'44:27:46.560',-0.113,-,-,-0.094,-,-,-
