'Elapsed time','II','III','AVR','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'96:20:59.552',-0.176,-,-,-,-,44.800,23.200
'96:20:59.560',-0.152,-,-,-,-,44.800,25.600
'96:20:59.568',-0.104,-,-,-,-,45.600,28.400
'96:20:59.576',-0.128,-,-,-,-,45.600,31.200
'96:20:59.584',-0.032,-,-,-,-,45.600,33.200
'96:20:59.592',0.024,-,-,-,-,45.600,34.000
'96:20:59.600',0.048,-,-,-,-,45.600,34.000
'96:20:59.608',0.048,-,-,-,-,45.600,33.200
'96:20:59.616',0.056,-,-,-,-,44.800,32.400
'96:20:59.624',0.048,-,-,-,-,44.800,31.600
'96:20:59.632',0.056,-,-,-,-,44.800,31.600
'96:20:59.640',0.048,-,-,-,-,44.800,32.800
'96:20:59.648',0.072,-,-,-,-,44.800,35.200
'96:20:59.656',0.096,-,-,-,-,46.400,38.400
'96:20:59.664',0.120,-,-,-,-,48.800,42.000
'96:20:59.672',0.096,-,-,-,-,52.000,45.200
'96:20:59.680',0.104,-,-,-,-,57.600,47.600
'96:20:59.688',0.120,-,-,-,-,63.200,49.200
'96:20:59.696',0.128,-,-,-,-,70.400,49.600
'96:20:59.704',0.120,-,-,-,-,76.800,50.000
'96:20:59.712',0.128,-,-,-,-,83.200,49.600
'96:20:59.720',0.096,-,-,-,-,88.800,48.800
'96:20:59.728',0.104,-,-,-,-,94.400,48.000
'96:20:59.736',0.096,-,-,-,-,98.400,47.200
'96:20:59.744',0.104,-,-,-,-,100.800,46.000
'96:20:59.752',0.096,-,-,-,-,102.400,44.800
'96:20:59.760',0.096,-,-,-,-,103.200,44.000
'96:20:59.768',0.072,-,-,-,-,103.200,43.200
'96:20:59.776',0.056,-,-,-,-,102.400,42.400
'96:20:59.784',0.072,-,-,-,-,101.600,42.000
'96:20:59.792',0.048,-,-,-,-,100.000,40.800
'96:20:59.800',0.032,-,-,-,-,98.400,40.000
'96:20:59.808',0.024,-,-,-,-,96.800,38.400
'96:20:59.816',0.024,-,-,-,-,95.200,36.400
'96:20:59.824',0.000,-,-,-,-,92.800,34.400
'96:20:59.832',0.008,-,-,-,-,90.400,32.400
'96:20:59.840',0.000,-,-,-,-,88.800,30.800
'96:20:59.848',0.000,-,-,-,-,86.400,30.000
'96:20:59.856',0.000,-,-,-,-,83.200,30.400
'96:20:59.864',0.000,-,-,-,-,80.800,31.600
'96:20:59.872',0.000,-,-,-,-,77.600,33.200
'96:20:59.880',-0.008,-,-,-,-,75.200,34.400
'96:20:59.888',0.000,-,-,-,-,72.000,35.200
'96:20:59.896',0.000,-,-,-,-,68.800,35.600
'96:20:59.904',0.000,-,-,-,-,66.400,35.600
'96:20:59.912',-0.008,-,-,-,-,64.000,35.200
'96:20:59.920',0.000,-,-,-,-,62.400,34.400
'96:20:59.928',-0.008,-,-,-,-,60.800,34.000
'96:20:59.936',-0.008,-,-,-,-,59.200,34.000
'96:20:59.944',-0.024,-,-,-,-,57.600,34.000
'96:20:59.952',-0.008,-,-,-,-,56.000,34.400
'96:20:59.960',-0.024,-,-,-,-,55.200,34.800
'96:20:59.968',0.000,-,-,-,-,55.200,34.400
'96:20:59.976',-0.024,-,-,-,-,55.200,34.000
'96:20:59.984',-0.008,-,-,-,-,55.200,32.800
'96:20:59.992',-0.024,-,-,-,-,55.200,31.600
'96:21:00.000',-0.008,-,-,-,-,56.000,30.000
'96:21:00.008',-0.024,-,-,-,-,56.000,28.800
'96:21:00.016',0.000,-,-,-,-,56.800,27.600
'96:21:00.024',-0.008,-,-,-,-,56.800,26.800
'96:21:00.032',0.000,-,-,-,-,56.800,26.000
'96:21:00.040',-0.008,-,-,-,-,57.600,26.000
'96:21:00.048',-0.024,-,-,-,-,57.600,25.600
'96:21:00.056',0.000,-,-,-,-,57.600,25.600
'96:21:00.064',0.000,-,-,-,-,57.600,25.600
'96:21:00.072',0.000,-,-,-,-,57.600,25.600
'96:21:00.080',0.024,-,-,-,-,56.800,25.200
