'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg'
'142:08:00.120',-,0.448,-,-,-,-,-,-,-
'142:08:00.128',-,0.241,-,-,-,-,-,-,-
'142:08:00.136',-,0.126,-,-,-,-,-,-,-
'142:08:00.144',-,0.080,-,-,-,-,-,-,-
'142:08:00.152',-,0.057,-,-,-,-,-,-,-
'142:08:00.160',-,-0.011,-,-,-,-,-,-,-
'142:08:00.168',-,-0.080,-,-,-,-,-,-,-
'142:08:00.176',-,-0.115,-,-,-,-,-,-,-
'142:08:00.184',-,-0.115,-,-,-,-,-,-,-
'142:08:00.192',-,-0.069,-,-,-,-,-,-,-
'142:08:00.200',-,-0.034,-,-,-,-,-,-,-
'142:08:00.208',-,-0.034,-,-,-,-,-,-,-
'142:08:00.216',-,-0.023,-,-,-,-,-,-,-
'142:08:00.224',-,-0.023,-,-,-,-,-,-,-
'142:08:00.232',-,-0.023,-,-,-,-,-,-,-
'142:08:00.240',-,-0.023,-,-,-,-,-,-,-
'142:08:00.248',-,-0.011,-,-,-,-,-,-,-
'142:08:00.256',-,-0.011,-,-,-,-,-,-,-
'142:08:00.264',-,-0.011,-,-,-,-,-,-,-
'142:08:00.272',-,-0.011,-,-,-,-,-,-,-
'142:08:00.280',-,-0.011,-,-,-,-,-,-,-
'142:08:00.288',-,-0.011,-,-,-,-,-,-,-
'142:08:00.296',-,0.000,-,-,-,-,-,-,-
'142:08:00.304',-,0.000,-,-,-,-,-,-,-
'142:08:00.312',-,0.000,-,-,-,-,-,-,-
'142:08:00.320',-,0.011,-,-,-,-,-,-,-
'142:08:00.328',-,0.011,-,-,-,-,-,-,-
'142:08:00.336',-,0.023,-,-,-,-,-,-,-
'142:08:00.344',-,0.034,-,-,-,-,-,-,-
'142:08:00.352',-,0.069,-,-,-,-,-,-,-
'142:08:00.360',-,0.069,-,-,-,-,-,-,-
'142:08:00.368',-,0.080,-,-,-,-,-,-,-
'142:08:00.376',-,0.080,-,-,-,-,-,-,-
'142:08:00.384',-,0.103,-,-,-,-,-,-,-
'142:08:00.392',-,0.080,-,-,-,-,-,-,-
'142:08:00.400',-,0.069,-,-,-,-,-,-,-
'142:08:00.408',-,0.069,-,-,-,-,-,-,-
'142:08:00.416',-,0.034,-,-,-,-,-,-,-
'142:08:00.424',-,0.023,-,-,-,-,-,-,-
'142:08:00.432',-,0.011,-,-,-,-,-,-,-
'142:08:00.440',-,0.000,-,-,-,-,-,-,-
'142:08:00.448',-,-0.011,-,-,-,-,-,-,-
'142:08:00.456',-,-0.011,-,-,-,-,-,-,-
'142:08:00.464',-,-0.011,-,-,-,-,-,-,-
'142:08:00.472',-,-0.023,-,-,-,-,-,-,-
'142:08:00.480',-,-0.023,-,-,-,-,-,-,-
'142:08:00.488',-,-0.023,-,-,-,-,-,-,-
'142:08:00.496',-,-0.023,-,-,-,-,-,-,-
'142:08:00.504',-,-0.023,-,-,-,-,-,-,-
'142:08:00.512',-,-0.023,-,-,-,-,-,-,-
'142:08:00.520',-,-0.023,-,-,-,-,-,-,-
'142:08:00.528',-,-0.023,-,-,-,-,-,-,-
'142:08:00.536',-,-0.023,-,-,-,-,-,-,-
'142:08:00.544',-,-0.023,-,-,-,-,-,-,-
'142:08:00.552',-,-0.023,-,-,-,-,-,-,-
'142:08:00.560',-,-0.034,-,-,-,-,-,-,-
'142:08:00.568',-,-0.034,-,-,-,-,-,-,-
'142:08:00.576',-,-0.034,-,-,-,-,-,-,-
'142:08:00.584',-,-0.023,-,-,-,-,-,-,-
'142:08:00.592',-,-0.023,-,-,-,-,-,-,-
'142:08:00.600',-,-0.023,-,-,-,-,-,-,-
'142:08:00.608',-,-0.034,-,-,-,-,-,-,-
'142:08:00.616',-,-0.034,-,-,-,-,-,-,-
'142:08:00.624',-,-0.023,-,-,-,-,-,-,-
'142:08:00.632',-,-0.023,-,-,-,-,-,-,-
'142:08:00.640',-,-0.023,-,-,-,-,-,-,-
'142:08:00.648',-,-0.023,-,-,-,-,-,-,-
'142:08:00.656',-,-0.023,-,-,-,-,-,-,-
'142:08:00.664',-,-0.023,-,-,-,-,-,-,-
'142:08:00.672',-,-0.023,-,-,-,-,-,-,-
'142:08:00.680',-,-0.011,-,-,-,-,-,-,-
'142:08:00.688',-,-0.023,-,-,-,-,-,-,-
'142:08:00.696',-,-0.011,-,-,-,-,-,-,-
'142:08:00.704',-,-0.011,-,-,-,-,-,-,-
'142:08:00.712',-,-0.011,-,-,-,-,-,-,-
'142:08:00.720',-,-0.011,-,-,-,-,-,-,-
'142:08:00.728',-,-0.011,-,-,-,-,-,-,-
'142:08:00.736',-,-0.011,-,-,-,-,-,-,-
'142:08:00.744',-,-0.011,-,-,-,-,-,-,-
'142:08:00.752',-,-0.011,-,-,-,-,-,-,-
'142:08:00.760',-,-0.011,-,-,-,-,-,-,-
'142:08:00.768',-,-0.011,-,-,-,-,-,-,-
'142:08:00.776',-,0.000,-,-,-,-,-,-,-
'142:08:00.784',-,-0.011,-,-,-,-,-,-,-
'142:08:00.792',-,0.000,-,-,-,-,-,-,-
'142:08:00.800',-,-0.011,-,-,-,-,-,-,-
'142:08:00.808',-,0.000,-,-,-,-,-,-,-
'142:08:00.816',-,0.000,-,-,-,-,-,-,-
'142:08:00.824',-,0.000,-,-,-,-,-,-,-
'142:08:00.832',-,0.000,-,-,-,-,-,-,-
'142:08:00.840',-,0.000,-,-,-,-,-,-,-
'142:08:00.848',-,-0.011,-,-,-,-,-,-,-
'142:08:00.856',-,0.000,-,-,-,-,-,-,-
'142:08:00.864',-,0.000,-,-,-,-,-,-,-
'142:08:00.872',-,0.000,-,-,-,-,-,-,-
'142:08:00.880',-,0.000,-,-,-,-,-,-,-
'142:08:00.888',-,0.000,-,-,-,-,-,-,-
'142:08:00.896',-,0.000,-,-,-,-,-,-,-
'142:08:00.904',-,0.000,-,-,-,-,-,-,-
'142:08:00.912',-,0.000,-,-,-,-,-,-,-
'142:08:00.920',-,0.000,-,-,-,-,-,-,-
'142:08:00.928',-,0.000,-,-,-,-,-,-,-
'142:08:00.936',-,0.000,-,-,-,-,-,-,-
'142:08:00.944',-,0.000,-,-,-,-,-,-,-
'142:08:00.952',-,0.011,-,-,-,-,-,-,-
'142:08:00.960',-,0.011,-,-,-,-,-,-,-
'142:08:00.968',-,0.023,-,-,-,-,-,-,-
'142:08:00.976',-,0.023,-,-,-,-,-,-,-
'142:08:00.984',-,0.034,-,-,-,-,-,-,-
'142:08:00.992',-,0.023,-,-,-,-,-,-,-
'142:08:01.000',-,0.023,-,-,-,-,-,-,-
'142:08:01.008',-,0.011,-,-,-,-,-,-,-
'142:08:01.016',-,0.011,-,-,-,-,-,-,-
'142:08:01.024',-,0.000,-,-,-,-,-,-,-
'142:08:01.032',-,0.000,-,-,-,-,-,-,-
'142:08:01.040',-,0.000,-,-,-,-,-,-,-
'142:08:01.048',-,0.000,-,-,-,-,-,-,-
'142:08:01.056',-,-0.011,-,-,-,-,-,-,-
'142:08:01.064',-,-0.011,-,-,-,-,-,-,-
'142:08:01.072',-,-0.011,-,-,-,-,-,-,-
'142:08:01.080',-,-0.023,-,-,-,-,-,-,-
'142:08:01.088',-,-0.023,-,-,-,-,-,-,-
'142:08:01.096',-,-0.023,-,-,-,-,-,-,-
'142:08:01.104',-,-0.011,-,-,-,-,-,-,-
'142:08:01.112',-,-0.011,-,-,-,-,-,-,-
'142:08:01.120',-,-0.011,-,-,-,-,-,-,-
'142:08:01.128',-,0.000,-,-,-,-,-,-,-
'142:08:01.136',-,0.000,-,-,-,-,-,-,-
'142:08:01.144',-,0.011,-,-,-,-,-,-,-
'142:08:01.152',-,0.103,-,-,-,-,-,-,-
'142:08:01.160',-,0.287,-,-,-,-,-,-,-
'142:08:01.168',-,0.437,-,-,-,-,-,-,-
'142:08:01.176',-,0.448,-,-,-,-,-,-,-
'142:08:01.184',-,0.241,-,-,-,-,-,-,-
'142:08:01.192',-,0.115,-,-,-,-,-,-,-
'142:08:01.200',-,0.069,-,-,-,-,-,-,-
'142:08:01.208',-,0.034,-,-,-,-,-,-,-
'142:08:01.216',-,-0.023,-,-,-,-,-,-,-
'142:08:01.224',-,-0.080,-,-,-,-,-,-,-
'142:08:01.232',-,-0.115,-,-,-,-,-,-,-
'142:08:01.240',-,-0.103,-,-,-,-,-,-,-
'142:08:01.248',-,-0.069,-,-,-,-,-,-,-
'142:08:01.256',-,-0.057,-,-,-,-,-,-,-
'142:08:01.264',-,-0.034,-,-,-,-,-,-,-
'142:08:01.272',-,-0.023,-,-,-,-,-,-,-
'142:08:01.280',-,-0.023,-,-,-,-,-,-,-
'142:08:01.288',-,-0.023,-,-,-,-,-,-,-
'142:08:01.296',-,-0.011,-,-,-,-,-,-,-
'142:08:01.304',-,-0.011,-,-,-,-,-,-,-
'142:08:01.312',-,-0.011,-,-,-,-,-,-,-
'142:08:01.320',-,-0.011,-,-,-,-,-,-,-
'142:08:01.328',-,0.000,-,-,-,-,-,-,-
'142:08:01.336',-,0.000,-,-,-,-,-,-,-
'142:08:01.344',-,0.000,-,-,-,-,-,-,-
'142:08:01.352',-,0.000,-,-,-,-,-,-,-
'142:08:01.360',-,0.000,-,-,-,-,-,-,-
'142:08:01.368',-,0.011,-,-,-,-,-,-,-
'142:08:01.376',-,0.011,-,-,-,-,-,-,-
'142:08:01.384',-,0.023,-,-,-,-,-,-,-
'142:08:01.392',-,0.034,-,-,-,-,-,-,-
'142:08:01.400',-,0.057,-,-,-,-,-,-,-
