'Elapsed time','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'38:45.048',0.008,-0.016,63.200,37.000
'38:45.056',0.000,-0.016,60.800,37.200
'38:45.064',0.059,-0.016,59.200,37.200
'38:45.072',0.092,-0.032,56.800,37.400
'38:45.080',0.034,-0.016,56.000,37.400
'38:45.088',0.067,-0.016,54.400,37.600
'38:45.096',0.008,-0.008,53.600,37.600
'38:45.104',0.067,-0.016,52.800,37.800
'38:45.112',0.160,-0.040,52.800,37.800
'38:45.120',0.143,-0.040,54.400,37.800
'38:45.128',0.084,-0.040,56.800,37.600
'38:45.136',0.109,-0.016,60.800,37.600
'38:45.144',0.092,-0.008,64.800,37.800
'38:45.152',0.143,-0.016,67.200,37.800
'38:45.160',0.126,0.000,69.600,37.800
'38:45.168',0.109,0.008,70.400,37.600
'38:45.176',0.202,0.000,71.200,37.600
'38:45.184',0.151,0.008,72.800,37.600
'38:45.192',0.126,0.016,73.600,37.400
'38:45.200',0.227,0.000,74.400,37.000
'38:45.208',0.160,-0.008,74.400,36.800
'38:45.216',0.176,0.016,75.200,36.400
'38:45.224',0.143,0.000,76.000,36.200
'38:45.232',0.042,0.024,77.600,36.000
'38:45.240',0.143,0.008,79.200,35.600
'38:45.248',0.067,0.000,80.800,35.200
'38:45.256',0.101,-0.008,82.400,34.800
'38:45.264',0.025,0.008,83.200,34.600
'38:45.272',0.092,0.000,83.200,34.600
'38:45.280',0.101,-0.008,82.400,34.600
'38:45.288',0.025,-0.016,81.600,34.600
'38:45.296',-0.017,-0.008,80.800,34.200
'38:45.304',0.008,-0.016,79.200,33.600
'38:45.312',-0.017,0.032,76.800,33.200
'38:45.320',0.067,-0.008,74.400,32.800
'38:45.328',0.025,0.008,72.000,32.400
'38:45.336',-0.042,0.016,69.600,31.800
'38:45.344',0.092,-0.008,68.000,31.400
'38:45.352',0.126,-0.032,67.200,31.400
'38:45.360',-0.034,0.000,67.200,31.400
'38:45.368',-0.042,0.016,67.200,31.200
'38:45.376',0.042,0.000,67.200,30.800
'38:45.384',0.034,-0.016,66.400,30.400
'38:45.392',0.000,0.000,67.200,30.000
'38:45.400',0.025,0.008,68.000,29.600
'38:45.408',-0.017,-0.008,71.200,29.400
'38:45.416',0.101,-0.016,75.200,29.400
'38:45.424',0.034,-0.008,80.000,29.400
'38:45.432',-0.059,0.016,86.400,29.400
'38:45.440',0.092,-0.008,92.000,29.400
'38:45.448',0.025,-0.040,96.800,29.400
'38:45.456',0.067,-0.040,100.000,29.600
'38:45.464',-0.050,0.016,103.200,29.600
'38:45.472',0.084,0.032,105.600,29.800
'38:45.480',0.034,0.032,108.000,30.000
'38:45.488',0.000,0.008,110.400,30.000
'38:45.496',0.101,0.000,112.000,30.400
'38:45.504',0.151,-0.008,112.800,30.800
'38:45.512',0.067,0.008,113.600,31.200
'38:45.520',0.126,-0.008,113.600,31.800
'38:45.528',0.092,-0.040,112.800,32.200
'38:45.536',0.000,-0.032,112.000,32.600
'38:45.544',0.109,-0.056,110.400,32.600
'38:45.552',0.000,-0.016,108.800,32.800
'38:45.560',0.050,-0.016,107.200,33.000
'38:45.568',0.092,-0.008,105.600,33.200
'38:45.576',0.017,-0.032,103.200,33.400
'38:45.584',0.050,-0.040,101.600,33.600
'38:45.592',-0.076,-0.008,99.200,33.800
'38:45.600',0.025,-0.016,97.600,33.800
'38:45.608',-0.017,0.008,96.000,34.200
'38:45.616',0.034,0.000,93.600,34.800
'38:45.624',0.042,-0.016,92.800,35.200
'38:45.632',-0.017,0.000,91.200,35.800
'38:45.640',0.042,0.000,89.600,36.200
'38:45.648',0.008,-0.008,88.000,36.600
'38:45.656',-0.008,0.000,86.400,37.200
'38:45.664',0.050,-0.008,85.600,37.600
'38:45.672',0.008,0.000,84.000,38.000
'38:45.680',-0.017,0.000,83.200,38.200
'38:45.688',0.059,-0.016,83.200,38.400
'38:45.696',0.000,0.000,82.400,38.600
'38:45.704',0.042,0.000,82.400,38.400
'38:45.712',0.050,0.000,82.400,38.400
'38:45.720',-0.042,0.048,82.400,38.200
'38:45.728',-0.118,0.104,81.600,38.000
'38:45.736',0.050,0.128,81.600,37.800
'38:45.744',0.345,0.032,80.800,37.600
'38:45.752',0.605,-0.096,80.000,37.600
'38:45.760',0.420,-0.008,79.200,37.600
'38:45.768',0.176,0.048,77.600,37.400
'38:45.776',-0.050,-0.072,75.200,37.200
'38:45.784',0.092,-0.120,72.800,36.800
'38:45.792',0.126,-0.128,70.400,36.600
'38:45.800',0.034,-0.096,68.000,36.200
'38:45.808',0.168,-0.064,66.400,36.000
'38:45.816',0.101,-0.040,64.000,35.800
'38:45.824',0.084,-0.040,62.400,35.800
'38:45.832',0.067,-0.032,60.800,36.000
'38:45.840',0.101,-0.056,58.400,36.200
'38:45.848',0.034,-0.032,56.800,36.600
'38:45.856',0.092,-0.016,56.000,36.600
'38:45.864',0.042,-0.016,54.400,36.600
'38:45.872',0.025,-0.008,52.800,36.000
'38:45.880',0.059,-0.016,52.000,35.200
'38:45.888',0.118,-0.016,51.200,33.800
'38:45.896',0.034,-0.040,50.400,32.400
'38:45.904',0.050,-0.008,50.400,31.000
'38:45.912',0.034,0.000,51.200,29.400
'38:45.920',0.101,-0.016,52.800,28.200
'38:45.928',0.067,-0.016,55.200,27.000
'38:45.936',0.160,-0.016,58.400,25.800
'38:45.944',0.143,-0.040,61.600,24.800
'38:45.952',0.176,-0.056,64.800,24.000
'38:45.960',0.160,-0.056,66.400,23.400
'38:45.968',0.202,-0.040,68.000,22.800
'38:45.976',0.185,-0.016,68.800,22.400
'38:45.984',0.218,-0.056,69.600,22.000
'38:45.992',0.235,-0.016,69.600,21.400
'38:46.000',0.092,0.016,70.400,20.800
'38:46.008',0.067,0.000,70.400,20.000
'38:46.016',0.261,-0.032,70.400,19.000
'38:46.024',0.143,0.000,71.200,17.800
'38:46.032',0.126,0.000,72.000,16.400
'38:46.040',0.210,-0.008,72.000,15.000
'38:46.048',0.092,0.024,72.000,13.200
'38:46.056',0.034,0.008,72.000,11.400
'38:46.064',0.025,0.000,71.200,9.600
'38:46.072',-0.008,0.008,70.400,7.400
'38:46.080',0.008,0.032,69.600,5.400
'38:46.088',-0.193,0.064,68.800,3.400
'38:46.096',0.034,0.032,67.200,1.600
'38:46.104',-0.067,0.024,65.600,0.200
'38:46.112',-0.218,0.072,63.200,-0.800
'38:46.120',0.067,0.008,60.800,-1.200
'38:46.128',0.084,-0.016,58.400,-1.000
'38:46.136',-0.109,0.024,56.800,0.000
'38:46.144',0.084,0.000,55.200,1.600
'38:46.152',0.118,-0.016,54.400,4.000
'38:46.160',-0.076,0.008,55.200,7.200
'38:46.168',0.050,0.000,55.200,11.000
'38:46.176',0.244,0.008,56.000,15.200
'38:46.184',-0.076,-0.032,56.800,19.800
'38:46.192',-0.151,0.048,58.400,24.600
'38:46.200',0.210,-0.040,60.800,30.000
'38:46.208',0.235,-0.056,64.800,35.400
'38:46.216',-0.017,-0.056,70.400,41.000
'38:46.224',-0.277,0.064,78.400,45.000
'38:46.232',0.034,0.048,88.000,45.000
'38:46.240',0.176,-0.016,96.800,45.000
'38:46.248',-0.076,0.016,104.800,45.000
'38:46.256',0.067,0.000,111.200,45.000
'38:46.264',-0.092,0.080,117.600,45.000
'38:46.272',0.092,0.016,122.400,45.000
'38:46.280',0.084,-0.016,127.200,45.000
'38:46.288',0.311,-0.016,130.400,45.000
'38:46.296',-0.059,0.032,133.600,45.000
'38:46.304',-0.210,0.072,136.800,45.000
'38:46.312',0.034,-0.032,139.200,45.000
'38:46.320',0.269,-0.120,141.600,45.000
'38:46.328',-0.008,-0.040,143.200,45.000
'38:46.336',-0.109,0.000,144.000,45.000
'38:46.344',0.059,-0.016,143.200,45.000
'38:46.352',-0.151,0.024,142.400,45.000
'38:46.360',-0.034,-0.008,141.600,45.000
'38:46.368',-0.017,0.048,140.000,45.000
'38:46.376',-0.202,-0.016,138.400,45.000
'38:46.384',-0.034,-0.032,136.800,45.000
'38:46.392',-0.101,0.016,136.000,45.000
'38:46.400',0.118,-0.072,134.400,45.000
'38:46.408',-0.218,-0.080,133.600,45.000
'38:46.416',0.084,0.064,132.800,45.000
'38:46.424',-0.244,0.160,132.800,45.000
'38:46.432',0.235,-0.032,133.600,45.000
'38:46.440',-0.118,-0.512,135.200,45.000
'38:46.448',0.067,-0.912,136.800,45.000
'38:46.456',0.235,-,139.200,45.000
'38:46.464',0.126,-0.928,142.400,45.000
'38:46.472',0.361,-0.824,145.600,45.000
'38:46.480',0.059,-0.680,148.000,45.000
'38:46.488',-0.185,-0.480,149.600,45.000
