'Elapsed time','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'95:47:07.840',-1.014,-,0.100,112.800
'95:47:07.848',-1.042,-,0.050,118.400
'95:47:07.856',-1.014,-,0.050,125.600
'95:47:07.864',-1.042,-,0.000,135.200
'95:47:07.872',-1.069,-,0.000,147.200
'95:47:07.880',-1.042,-,0.000,160.800
'95:47:07.888',-1.042,-,0.000,175.200
'95:47:07.896',-1.069,-,0.000,189.600
'95:47:07.904',-1.014,-,0.000,201.600
'95:47:07.912',-0.972,-,0.000,211.200
'95:47:07.920',-0.917,-,0.000,216.800
'95:47:07.928',-0.917,-,0.000,220.800
'95:47:07.936',-0.889,-,0.050,220.800
'95:47:07.944',-0.875,-,0.050,218.400
'95:47:07.952',-0.875,-,0.100,216.000
'95:47:07.960',-0.889,-,0.100,212.000
'95:47:07.968',-0.917,-,0.100,208.800
'95:47:07.976',-0.972,-,0.050,204.800
'95:47:07.984',-1.000,-,0.050,201.600
'95:47:07.992',-1.014,-,0.050,196.800
'95:47:08.000',-1.042,-,0.000,192.800
'95:47:08.008',-1.042,-,0.000,189.600
'95:47:08.016',-1.042,-,0.000,184.800
'95:47:08.024',-1.097,-,0.000,180.000
'95:47:08.032',-1.097,-,0.000,173.600
'95:47:08.040',-1.042,-,0.000,166.400
'95:47:08.048',-1.042,-,0.000,159.200
'95:47:08.056',-1.014,-,0.000,152.000
'95:47:08.064',-1.014,-,0.050,146.400
'95:47:08.072',-1.000,-,0.050,140.000
'95:47:08.080',-0.972,-,0.100,135.200
'95:47:08.088',-0.972,-,0.100,132.000
'95:47:08.096',-0.972,-,0.100,129.600
'95:47:08.104',-0.944,-,0.050,128.000
'95:47:08.112',-0.972,-,0.050,127.200
'95:47:08.120',-0.944,-,0.000,127.200
'95:47:08.128',-0.944,-,0.000,128.000
'95:47:08.136',-0.917,-,0.000,128.000
'95:47:08.144',-0.944,-,0.000,128.000
'95:47:08.152',-0.944,-,0.000,128.000
'95:47:08.160',-0.972,-,0.000,128.000
'95:47:08.168',-0.917,-,0.000,127.200
'95:47:08.176',-0.917,-,0.000,127.200
'95:47:08.184',-0.875,-,0.000,125.600
'95:47:08.192',-0.875,-,0.000,124.800
'95:47:08.200',-0.875,-,0.000,123.200
'95:47:08.208',-0.847,-,0.050,122.400
'95:47:08.216',-0.819,-,0.050,120.800
'95:47:08.224',-0.819,-,0.050,120.000
'95:47:08.232',-0.764,-,0.050,118.400
'95:47:08.240',-0.764,-,0.050,117.600
'95:47:08.248',-0.764,-,0.050,116.000
'95:47:08.256',-0.750,-,0.000,113.600
'95:47:08.264',-0.764,-,0.000,112.800
'95:47:08.272',-0.750,-,0.000,111.200
'95:47:08.280',-0.722,-,0.000,110.400
'95:47:08.288',-0.722,-,0.000,110.400
'95:47:08.296',-0.722,-,0.000,108.800
'95:47:08.304',-0.694,-,0.000,108.000
'95:47:08.312',-0.667,-,0.000,106.400
'95:47:08.320',-0.639,-,0.050,106.400
'95:47:08.328',-0.625,-,0.050,105.600
'95:47:08.336',-0.444,-,0.200,104.000
'95:47:08.344',0.000,-,0.263,104.000
'95:47:08.352',0.444,-,-0.050,103.200
'95:47:08.360',0.514,-,-0.312,103.200
'95:47:08.368',-0.014,-,-0.675,101.600
'95:47:08.376',-0.167,-,-0.675,101.600
'95:47:08.384',-0.264,-,-0.362,101.600
'95:47:08.392',-0.347,-,-0.150,101.600
'95:47:08.400',-0.375,-,-0.050,100.800
'95:47:08.408',-0.347,-,0.000,100.800
'95:47:08.416',-0.319,-,0.000,100.800
'95:47:08.424',-0.319,-,0.000,100.800
'95:47:08.432',-0.292,-,0.000,99.200
'95:47:08.440',-0.264,-,0.050,99.200
'95:47:08.448',-0.250,-,0.000,100.800
'95:47:08.456',-0.222,-,0.050,101.600
'95:47:08.464',-0.167,-,0.050,105.600
'95:47:08.472',-0.167,-,0.050,112.800
'95:47:08.480',-0.139,-,0.100,122.400
'95:47:08.488',-0.125,-,0.100,136.800
'95:47:08.496',-0.125,-,0.050,152.000
'95:47:08.504',-0.097,-,0.050,171.200
'95:47:08.512',-0.042,-,0.000,189.600
'95:47:08.520',-0.042,-,0.050,206.400
'95:47:08.528',-0.014,-,0.000,220.800
'95:47:08.536',0.000,-,0.000,230.400
'95:47:08.544',0.000,-,0.050,235.200
'95:47:08.552',0.014,-,0.050,236.000
'95:47:08.560',0.042,-,0.050,235.200
'95:47:08.568',0.097,-,0.050,232.800
'95:47:08.576',0.125,-,0.050,230.400
'95:47:08.584',0.139,-,0.050,226.400
'95:47:08.592',0.139,-,0.100,224.000
'95:47:08.600',0.139,-,0.050,221.600
'95:47:08.608',0.097,-,0.100,218.400
'95:47:08.616',0.069,-,0.050,216.000
'95:47:08.624',0.069,-,0.050,213.600
'95:47:08.632',0.042,-,0.000,212.000
'95:47:08.640',0.042,-,0.000,209.600
'95:47:08.648',0.042,-,0.000,207.200
'95:47:08.656',0.014,-,0.000,204.800
'95:47:08.664',0.000,-,0.000,201.600
'95:47:08.672',0.014,-,0.000,197.600
'95:47:08.680',0.014,-,0.000,192.800
'95:47:08.688',0.014,-,0.000,188.000
'95:47:08.696',0.042,-,0.000,180.800
'95:47:08.704',0.042,-,0.000,173.600
'95:47:08.712',0.042,-,0.000,166.400
'95:47:08.720',0.069,-,0.000,158.400
'95:47:08.728',0.042,-,0.050,151.200
'95:47:08.736',0.097,-,0.100,144.800
'95:47:08.744',0.097,-,0.050,140.000
'95:47:08.752',0.097,-,0.050,136.800
'95:47:08.760',0.097,-,0.050,134.400
'95:47:08.768',0.125,-,0.050,132.800
'95:47:08.776',0.097,-,0.000,132.000
'95:47:08.784',0.097,-,0.000,132.000
'95:47:08.792',0.097,-,0.000,132.000
'95:47:08.800',0.097,-,0.000,132.000
'95:47:08.808',0.069,-,0.000,132.000
'95:47:08.816',0.097,-,0.000,132.000
'95:47:08.824',0.097,-,0.000,130.400
'95:47:08.832',0.097,-,0.000,130.400
'95:47:08.840',0.097,-,0.000,129.600
'95:47:08.848',0.125,-,0.000,128.000
'95:47:08.856',0.125,-,0.000,127.200
'95:47:08.864',0.139,-,0.050,125.600
'95:47:08.872',0.139,-,0.000,125.600
'95:47:08.880',0.139,-,0.000,124.800
