'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'47:22:41.696',-0.016,-,-,0.016,-,-
'47:22:41.704',-0.016,-,-,0.016,-,-
'47:22:41.712',-0.016,-,-,0.016,-,-
'47:22:41.720',-0.016,-,-,0.008,-,-
'47:22:41.728',-0.016,-,-,0.008,-,-
'47:22:41.736',-0.016,-,-,0.008,-,-
'47:22:41.744',-0.016,-,-,0.008,-,-
'47:22:41.752',-0.024,-,-,0.008,-,-
'47:22:41.760',-0.024,-,-,0.008,-,-
'47:22:41.768',-0.024,-,-,0.008,-,-
'47:22:41.776',-0.016,-,-,0.008,-,-
'47:22:41.784',-0.016,-,-,0.008,-,-
'47:22:41.792',-0.016,-,-,0.008,-,-
'47:22:41.800',-0.024,-,-,0.008,-,-
'47:22:41.808',-0.024,-,-,0.008,-,-
'47:22:41.816',-0.016,-,-,0.008,-,-
'47:22:41.824',-0.016,-,-,0.008,-,-
'47:22:41.832',-0.016,-,-,0.008,-,-
'47:22:41.840',-0.016,-,-,0.008,-,-
'47:22:41.848',-0.008,-,-,0.016,-,-
'47:22:41.856',0.000,-,-,0.024,-,-
'47:22:41.864',0.008,-,-,0.040,-,-
'47:22:41.872',0.024,-,-,0.056,-,-
'47:22:41.880',0.040,-,-,0.064,-,-
'47:22:41.888',0.056,-,-,0.072,-,-
'47:22:41.896',0.080,-,-,0.080,-,-
'47:22:41.904',0.088,-,-,0.088,-,-
'47:22:41.912',0.096,-,-,0.080,-,-
'47:22:41.920',0.056,-,-,0.056,-,-
'47:22:41.928',0.040,-,-,0.040,-,-
'47:22:41.936',0.016,-,-,0.016,-,-
'47:22:41.944',-0.008,-,-,0.000,-,-
'47:22:41.952',-0.032,-,-,-0.008,-,-
'47:22:41.960',-0.056,-,-,-0.016,-,-
'47:22:41.968',-0.072,-,-,-0.024,-,-
'47:22:41.976',-0.080,-,-,-0.024,-,-
'47:22:41.984',-0.080,-,-,-0.032,-,-
'47:22:41.992',-0.088,-,-,-0.032,-,-
'47:22:42.000',-0.088,-,-,-0.040,-,-
'47:22:42.008',-0.088,-,-,-0.040,-,-
'47:22:42.016',-0.088,-,-,-0.032,-,-
'47:22:42.024',-0.088,-,-,-0.032,-,-
'47:22:42.032',-0.088,-,-,-0.032,-,-
'47:22:42.040',-0.080,-,-,-0.024,-,-
'47:22:42.048',-0.080,-,-,-0.024,-,-
'47:22:42.056',-0.072,-,-,-0.024,-,-
'47:22:42.064',-0.040,-,-,-0.040,-,-
'47:22:42.072',0.064,-,-,-0.056,-,-
'47:22:42.080',0.288,-,-,-0.064,-,-
'47:22:42.088',0.584,-,-,-0.008,-,-
'47:22:42.096',0.744,-,-,0.144,-,-
'47:22:42.104',0.640,-,-,0.288,-,-
'47:22:42.112',0.440,-,-,0.344,-,-
'47:22:42.120',0.264,-,-,0.304,-,-
'47:22:42.128',0.104,-,-,0.200,-,-
'47:22:42.136',-0.024,-,-,0.096,-,-
'47:22:42.144',-0.120,-,-,0.008,-,-
'47:22:42.152',-0.160,-,-,-0.032,-,-
'47:22:42.160',-0.160,-,-,-0.032,-,-
'47:22:42.168',-0.160,-,-,-0.024,-,-
'47:22:42.176',-0.160,-,-,-0.024,-,-
'47:22:42.184',-0.144,-,-,-0.024,-,-
'47:22:42.192',-0.144,-,-,-0.024,-,-
'47:22:42.200',-0.136,-,-,-0.024,-,-
'47:22:42.208',-0.136,-,-,-0.016,-,-
'47:22:42.216',-0.128,-,-,-0.016,-,-
'47:22:42.224',-0.128,-,-,-0.008,-,-
'47:22:42.232',-0.120,-,-,-0.008,-,-
'47:22:42.240',-0.120,-,-,-0.008,-,-
'47:22:42.248',-0.120,-,-,-0.008,-,-
'47:22:42.256',-0.120,-,-,-0.008,-,-
'47:22:42.264',-0.120,-,-,-0.008,-,-
'47:22:42.272',-0.120,-,-,-0.008,-,-
'47:22:42.280',-0.120,-,-,-0.008,-,-
'47:22:42.288',-0.120,-,-,0.000,-,-
'47:22:42.296',-0.120,-,-,-0.008,-,-
'47:22:42.304',-0.120,-,-,-0.008,-,-
'47:22:42.312',-0.112,-,-,0.000,-,-
'47:22:42.320',-0.112,-,-,0.000,-,-
'47:22:42.328',-0.112,-,-,-0.008,-,-
'47:22:42.336',-0.112,-,-,-0.008,-,-
'47:22:42.344',-0.104,-,-,-0.008,-,-
'47:22:42.352',-0.088,-,-,0.000,-,-
'47:22:42.360',-0.072,-,-,0.000,-,-
'47:22:42.368',-0.056,-,-,0.000,-,-
'47:22:42.376',-0.040,-,-,0.008,-,-
'47:22:42.384',-0.024,-,-,0.008,-,-
'47:22:42.392',-0.008,-,-,0.016,-,-
'47:22:42.400',0.008,-,-,0.032,-,-
'47:22:42.408',0.008,-,-,0.032,-,-
'47:22:42.416',0.008,-,-,0.032,-,-
'47:22:42.424',0.008,-,-,0.032,-,-
'47:22:42.432',0.000,-,-,0.032,-,-
'47:22:42.440',0.008,-,-,0.032,-,-
'47:22:42.448',0.008,-,-,0.040,-,-
'47:22:42.456',0.008,-,-,0.040,-,-
'47:22:42.464',0.008,-,-,0.048,-,-
'47:22:42.472',0.008,-,-,0.048,-,-
'47:22:42.480',0.008,-,-,0.040,-,-
'47:22:42.488',0.008,-,-,0.040,-,-
'47:22:42.496',0.008,-,-,0.048,-,-
'47:22:42.504',0.008,-,-,0.048,-,-
'47:22:42.512',0.008,-,-,0.048,-,-
'47:22:42.520',0.016,-,-,0.048,-,-
'47:22:42.528',0.016,-,-,0.056,-,-
'47:22:42.536',0.016,-,-,0.056,-,-
'47:22:42.544',0.016,-,-,0.056,-,-
'47:22:42.552',0.024,-,-,0.056,-,-
'47:22:42.560',0.024,-,-,0.064,-,-
'47:22:42.568',0.024,-,-,0.064,-,-
'47:22:42.576',0.024,-,-,0.064,-,-
'47:22:42.584',0.032,-,-,0.064,-,-
'47:22:42.592',0.032,-,-,0.064,-,-
'47:22:42.600',0.032,-,-,0.064,-,-
'47:22:42.608',0.032,-,-,0.064,-,-
'47:22:42.616',0.032,-,-,0.064,-,-
'47:22:42.624',0.032,-,-,0.064,-,-
'47:22:42.632',0.032,-,-,0.064,-,-
'47:22:42.640',0.024,-,-,0.056,-,-
'47:22:42.648',0.032,-,-,0.064,-,-
'47:22:42.656',0.032,-,-,0.064,-,-
'47:22:42.664',0.024,-,-,0.064,-,-
'47:22:42.672',0.024,-,-,0.064,-,-
'47:22:42.680',0.032,-,-,0.064,-,-
'47:22:42.688',0.040,-,-,0.072,-,-
'47:22:42.696',0.056,-,-,0.080,-,-
'47:22:42.704',0.072,-,-,0.096,-,-
'47:22:42.712',0.080,-,-,0.104,-,-
'47:22:42.720',0.088,-,-,0.112,-,-
'47:22:42.728',0.104,-,-,0.120,-,-
'47:22:42.736',0.128,-,-,0.128,-,-
'47:22:42.744',0.136,-,-,0.128,-,-
'47:22:42.752',0.112,-,-,0.112,-,-
'47:22:42.760',0.088,-,-,0.088,-,-
'47:22:42.768',0.064,-,-,0.064,-,-
'47:22:42.776',0.040,-,-,0.040,-,-
'47:22:42.784',0.008,-,-,0.024,-,-
'47:22:42.792',-0.016,-,-,0.016,-,-
'47:22:42.800',-0.024,-,-,0.008,-,-
'47:22:42.808',-0.032,-,-,0.008,-,-
'47:22:42.816',-0.032,-,-,0.008,-,-
'47:22:42.824',-0.040,-,-,0.008,-,-
'47:22:42.832',-0.040,-,-,0.008,-,-
'47:22:42.840',-0.048,-,-,0.008,-,-
'47:22:42.848',-0.056,-,-,0.008,-,-
'47:22:42.856',-0.072,-,-,0.000,-,-
'47:22:42.864',-0.064,-,-,-0.056,-,-
'47:22:42.872',-0.024,-,-,-0.160,-,-
'47:22:42.880',0.008,-,-,-0.288,-,-
'47:22:42.888',0.024,-,-,-0.360,-,-
