'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'14:50:09.416',0.000,-0.066,-,-,-,-,66.400
'14:50:09.424',0.000,-0.058,-,-,-,-,66.400
'14:50:09.432',0.000,-0.058,-,-,-,-,65.600
'14:50:09.440',0.016,-0.058,-,-,-,-,65.600
'14:50:09.448',0.000,-0.058,-,-,-,-,65.600
'14:50:09.456',0.016,-0.050,-,-,-,-,65.600
'14:50:09.464',0.000,-0.050,-,-,-,-,64.800
'14:50:09.472',0.016,-0.041,-,-,-,-,64.800
'14:50:09.480',0.008,-0.033,-,-,-,-,64.000
'14:50:09.488',0.016,-0.025,-,-,-,-,64.000
'14:50:09.496',0.024,-0.025,-,-,-,-,64.000
'14:50:09.504',0.008,-0.025,-,-,-,-,63.200
'14:50:09.512',0.016,-0.017,-,-,-,-,63.200
'14:50:09.520',0.008,-0.025,-,-,-,-,63.200
'14:50:09.528',0.016,-0.008,-,-,-,-,62.400
'14:50:09.536',0.008,-0.017,-,-,-,-,62.400
'14:50:09.544',0.032,0.000,-,-,-,-,62.400
'14:50:09.552',0.048,-0.017,-,-,-,-,62.400
'14:50:09.560',0.056,-0.066,-,-,-,-,61.600
'14:50:09.568',0.080,-0.116,-,-,-,-,61.600
'14:50:09.576',0.088,-0.165,-,-,-,-,61.600
'14:50:09.584',0.064,-0.215,-,-,-,-,61.600
'14:50:09.592',0.080,-0.223,-,-,-,-,60.800
'14:50:09.600',0.064,-0.190,-,-,-,-,60.800
'14:50:09.608',0.104,-0.182,-,-,-,-,60.800
'14:50:09.616',0.104,-0.190,-,-,-,-,60.000
'14:50:09.624',0.120,-0.140,-,-,-,-,60.000
'14:50:09.632',0.080,-0.116,-,-,-,-,60.000
'14:50:09.640',0.088,-0.033,-,-,-,-,59.200
'14:50:09.648',0.064,0.017,-,-,-,-,59.200
'14:50:09.656',0.048,0.066,-,-,-,-,59.200
'14:50:09.664',0.016,0.116,-,-,-,-,59.200
'14:50:09.672',0.000,0.132,-,-,-,-,59.200
'14:50:09.680',-0.016,0.116,-,-,-,-,59.200
'14:50:09.688',-0.008,0.099,-,-,-,-,60.000
'14:50:09.696',-0.024,0.099,-,-,-,-,62.400
'14:50:09.704',-0.016,0.099,-,-,-,-,66.400
'14:50:09.712',-0.024,0.099,-,-,-,-,72.800
'14:50:09.720',-0.032,0.099,-,-,-,-,81.600
'14:50:09.728',-0.024,0.116,-,-,-,-,88.800
'14:50:09.736',-0.032,0.124,-,-,-,-,93.600
'14:50:09.744',-0.040,0.132,-,-,-,-,95.200
'14:50:09.752',-0.048,0.140,-,-,-,-,95.200
'14:50:09.760',-0.040,0.140,-,-,-,-,94.400
'14:50:09.768',-0.064,0.132,-,-,-,-,93.600
'14:50:09.776',-0.056,0.132,-,-,-,-,91.200
'14:50:09.784',-0.072,0.124,-,-,-,-,88.800
'14:50:09.792',-0.072,0.116,-,-,-,-,86.400
'14:50:09.800',-0.072,0.099,-,-,-,-,84.000
'14:50:09.808',-0.072,0.074,-,-,-,-,81.600
'14:50:09.816',-0.064,0.058,-,-,-,-,79.200
'14:50:09.824',-0.048,0.041,-,-,-,-,76.000
'14:50:09.832',-0.040,0.017,-,-,-,-,73.600
'14:50:09.840',-0.024,0.000,-,-,-,-,72.000
'14:50:09.848',-0.024,-0.017,-,-,-,-,72.000
'14:50:09.856',-0.008,-0.033,-,-,-,-,72.000
'14:50:09.864',-0.016,-0.050,-,-,-,-,72.800
'14:50:09.872',0.000,-0.058,-,-,-,-,73.600
'14:50:09.880',0.000,-0.058,-,-,-,-,72.800
'14:50:09.888',0.008,-0.066,-,-,-,-,72.000
'14:50:09.896',0.000,-0.074,-,-,-,-,70.400
'14:50:09.904',0.000,-0.074,-,-,-,-,69.600
'14:50:09.912',0.008,-0.066,-,-,-,-,68.800
'14:50:09.920',0.000,-0.091,-,-,-,-,68.000
'14:50:09.928',0.000,-0.074,-,-,-,-,67.200
'14:50:09.936',0.000,-0.066,-,-,-,-,67.200
'14:50:09.944',0.008,-0.074,-,-,-,-,67.200
'14:50:09.952',0.000,-0.066,-,-,-,-,67.200
'14:50:09.960',0.000,-0.066,-,-,-,-,66.400
'14:50:09.968',0.000,-0.066,-,-,-,-,66.400
'14:50:09.976',0.000,-0.066,-,-,-,-,65.600
'14:50:09.984',0.008,-0.066,-,-,-,-,65.600
'14:50:09.992',0.016,-0.058,-,-,-,-,65.600
'14:50:10.000',0.008,-0.058,-,-,-,-,64.800
'14:50:10.008',0.016,-0.050,-,-,-,-,64.800
'14:50:10.016',0.008,-0.058,-,-,-,-,64.000
'14:50:10.024',0.016,-0.050,-,-,-,-,64.000
'14:50:10.032',0.000,-0.041,-,-,-,-,64.000
'14:50:10.040',0.008,-0.050,-,-,-,-,63.200
'14:50:10.048',0.016,-0.041,-,-,-,-,63.200
'14:50:10.056',0.000,-0.033,-,-,-,-,63.200
'14:50:10.064',0.016,-0.025,-,-,-,-,63.200
'14:50:10.072',0.032,-0.017,-,-,-,-,62.400
'14:50:10.080',0.024,-0.050,-,-,-,-,62.400
'14:50:10.088',0.056,-0.099,-,-,-,-,62.400
'14:50:10.096',0.064,-0.140,-,-,-,-,62.400
'14:50:10.104',0.080,-0.198,-,-,-,-,62.400
'14:50:10.112',0.064,-0.223,-,-,-,-,61.600
'14:50:10.120',0.056,-0.256,-,-,-,-,61.600
'14:50:10.128',0.064,-0.223,-,-,-,-,61.600
'14:50:10.136',0.088,-0.215,-,-,-,-,60.800
'14:50:10.144',0.088,-0.207,-,-,-,-,60.800
'14:50:10.152',0.104,-0.157,-,-,-,-,60.800
'14:50:10.160',0.064,-0.140,-,-,-,-,60.000
'14:50:10.168',0.088,-0.066,-,-,-,-,60.000
'14:50:10.176',0.064,0.008,-,-,-,-,60.000
'14:50:10.184',0.040,0.050,-,-,-,-,60.000
'14:50:10.192',0.016,0.099,-,-,-,-,60.000
'14:50:10.200',-0.008,0.124,-,-,-,-,60.000
'14:50:10.208',0.000,0.116,-,-,-,-,60.000
'14:50:10.216',-0.016,0.099,-,-,-,-,60.000
'14:50:10.224',-0.008,0.091,-,-,-,-,61.600
'14:50:10.232',-0.024,0.074,-,-,-,-,65.600
'14:50:10.240',-0.016,0.091,-,-,-,-,72.000
'14:50:10.248',-0.032,0.091,-,-,-,-,80.000
'14:50:10.256',-0.024,0.099,-,-,-,-,88.800
'14:50:10.264',-0.040,0.116,-,-,-,-,93.600
'14:50:10.272',-0.032,0.124,-,-,-,-,96.000
'14:50:10.280',-0.048,0.132,-,-,-,-,96.000
'14:50:10.288',-0.048,0.132,-,-,-,-,95.200
'14:50:10.296',-0.064,0.132,-,-,-,-,94.400
'14:50:10.304',-0.064,0.124,-,-,-,-,92.000
'14:50:10.312',-0.072,0.116,-,-,-,-,89.600
'14:50:10.320',-0.072,0.116,-,-,-,-,87.200
'14:50:10.328',-0.064,0.091,-,-,-,-,84.800
'14:50:10.336',-0.072,0.066,-,-,-,-,82.400
'14:50:10.344',-0.064,0.050,-,-,-,-,79.200
'14:50:10.352',-0.056,0.041,-,-,-,-,76.800
'14:50:10.360',-0.048,0.017,-,-,-,-,74.400
'14:50:10.368',-0.040,0.000,-,-,-,-,72.800
'14:50:10.376',-0.032,-0.017,-,-,-,-,72.000
'14:50:10.384',-0.024,-0.041,-,-,-,-,72.800
'14:50:10.392',-0.016,-0.058,-,-,-,-,73.600
'14:50:10.400',-0.008,-0.058,-,-,-,-,73.600
'14:50:10.408',0.000,-0.058,-,-,-,-,73.600
'14:50:10.416',0.000,-0.066,-,-,-,-,72.000
'14:50:10.424',0.000,-0.074,-,-,-,-,70.400
'14:50:10.432',0.000,-0.091,-,-,-,-,69.600
'14:50:10.440',-0.008,-0.074,-,-,-,-,68.800
'14:50:10.448',0.000,-0.091,-,-,-,-,68.000
'14:50:10.456',0.000,-0.091,-,-,-,-,68.000
'14:50:10.464',-0.016,-0.074,-,-,-,-,67.200
'14:50:10.472',0.000,-0.066,-,-,-,-,67.200
'14:50:10.480',-0.008,-0.058,-,-,-,-,67.200
'14:50:10.488',0.000,-0.074,-,-,-,-,66.400
'14:50:10.496',-0.008,-0.066,-,-,-,-,66.400
'14:50:10.504',0.000,-0.058,-,-,-,-,65.600
'14:50:10.512',0.000,-0.058,-,-,-,-,65.600
'14:50:10.520',0.000,-0.058,-,-,-,-,65.600
'14:50:10.528',0.000,-0.050,-,-,-,-,64.800
'14:50:10.536',0.008,-0.058,-,-,-,-,64.800
'14:50:10.544',0.000,-0.041,-,-,-,-,64.000
'14:50:10.552',0.000,-0.041,-,-,-,-,64.000
'14:50:10.560',0.000,-0.033,-,-,-,-,64.000
'14:50:10.568',0.000,-0.025,-,-,-,-,63.200
'14:50:10.576',0.000,-0.041,-,-,-,-,63.200
'14:50:10.584',0.008,-0.017,-,-,-,-,62.400
'14:50:10.592',0.008,-0.008,-,-,-,-,62.400
'14:50:10.600',0.000,0.000,-,-,-,-,62.400
'14:50:10.608',0.024,-0.017,-,-,-,-,62.400
'14:50:10.616',0.016,-0.066,-,-,-,-,61.600
'14:50:10.624',0.064,-0.116,-,-,-,-,61.600
'14:50:10.632',0.064,-0.165,-,-,-,-,61.600
'14:50:10.640',0.056,-0.207,-,-,-,-,61.600
'14:50:10.648',0.048,-0.223,-,-,-,-,61.600
'14:50:10.656',0.064,-0.198,-,-,-,-,60.800
'14:50:10.664',0.080,-0.190,-,-,-,-,60.800
'14:50:10.672',0.088,-0.182,-,-,-,-,60.000
'14:50:10.680',0.104,-0.140,-,-,-,-,60.000
'14:50:10.688',0.064,-0.116,-,-,-,-,60.000
'14:50:10.696',0.080,-0.050,-,-,-,-,59.200
'14:50:10.704',0.088,0.017,-,-,-,-,59.200
'14:50:10.712',0.032,0.058,-,-,-,-,59.200
'14:50:10.720',0.016,0.124,-,-,-,-,59.200
'14:50:10.728',-0.016,0.140,-,-,-,-,59.200
'14:50:10.736',-0.008,0.149,-,-,-,-,59.200
'14:50:10.744',-0.024,0.124,-,-,-,-,59.200
'14:50:10.752',-0.016,0.116,-,-,-,-,60.800
'14:50:10.760',-0.024,0.116,-,-,-,-,64.000
'14:50:10.768',-0.032,0.116,-,-,-,-,69.600
'14:50:10.776',-0.024,0.124,-,-,-,-,77.600
'14:50:10.784',-0.040,0.132,-,-,-,-,85.600
'14:50:10.792',-0.032,0.140,-,-,-,-,91.200
'14:50:10.800',-0.056,0.149,-,-,-,-,94.400
'14:50:10.808',-0.048,0.157,-,-,-,-,94.400
'14:50:10.816',-0.064,0.149,-,-,-,-,94.400
'14:50:10.824',-0.072,0.157,-,-,-,-,92.800
'14:50:10.832',-0.072,0.149,-,-,-,-,91.200
'14:50:10.840',-0.072,0.140,-,-,-,-,88.800
'14:50:10.848',-0.088,0.132,-,-,-,-,86.400
'14:50:10.856',-0.072,0.140,-,-,-,-,84.000
'14:50:10.864',-0.088,0.099,-,-,-,-,81.600
'14:50:10.872',-0.072,0.091,-,-,-,-,78.400
'14:50:10.880',-0.072,0.066,-,-,-,-,76.000
'14:50:10.888',-0.056,0.050,-,-,-,-,73.600
'14:50:10.896',-0.048,0.025,-,-,-,-,72.000
'14:50:10.904',-0.040,0.008,-,-,-,-,71.200
'14:50:10.912',-0.032,0.000,-,-,-,-,72.000
'14:50:10.920',-0.016,-0.017,-,-,-,-,72.000
'14:50:10.928',-0.016,-0.017,-,-,-,-,72.800
'14:50:10.936',-0.008,-0.033,-,-,-,-,72.000
'14:50:10.944',0.000,-0.025,-,-,-,-,71.200
'14:50:10.952',-0.016,-0.050,-,-,-,-,69.600
'14:50:10.960',0.000,-0.050,-,-,-,-,68.800
'14:50:10.968',-0.016,-0.058,-,-,-,-,68.000
'14:50:10.976',-0.008,-0.050,-,-,-,-,67.200
'14:50:10.984',0.000,-0.058,-,-,-,-,66.400
'14:50:10.992',-0.008,-0.050,-,-,-,-,66.400
'14:50:11.000',-0.016,-0.058,-,-,-,-,66.400
'14:50:11.008',-0.008,-0.050,-,-,-,-,66.400
'14:50:11.016',-0.016,-0.050,-,-,-,-,65.600
'14:50:11.024',0.000,-0.041,-,-,-,-,65.600
'14:50:11.032',-0.008,-0.041,-,-,-,-,64.800
'14:50:11.040',0.000,-0.033,-,-,-,-,64.800
'14:50:11.048',-0.008,-0.050,-,-,-,-,64.800
'14:50:11.056',0.000,-0.033,-,-,-,-,64.000
'14:50:11.064',-0.008,-0.033,-,-,-,-,64.000
'14:50:11.072',0.000,-0.025,-,-,-,-,64.000
'14:50:11.080',0.000,-0.025,-,-,-,-,63.200
'14:50:11.088',0.000,-0.017,-,-,-,-,63.200
'14:50:11.096',0.000,-0.017,-,-,-,-,63.200
'14:50:11.104',0.000,-0.017,-,-,-,-,62.400
'14:50:11.112',0.000,-0.008,-,-,-,-,62.400
'14:50:11.120',0.000,-0.008,-,-,-,-,62.400
'14:50:11.128',0.000,0.000,-,-,-,-,61.600
'14:50:11.136',0.032,-0.008,-,-,-,-,61.600
'14:50:11.144',0.032,-0.050,-,-,-,-,61.600
'14:50:11.152',0.056,-0.116,-,-,-,-,60.800
'14:50:11.160',0.064,-0.149,-,-,-,-,60.800
'14:50:11.168',0.048,-0.198,-,-,-,-,60.800
'14:50:11.176',0.056,-0.215,-,-,-,-,60.800
'14:50:11.184',0.048,-0.198,-,-,-,-,60.800
'14:50:11.192',0.088,-0.182,-,-,-,-,60.000
'14:50:11.200',0.080,-0.182,-,-,-,-,60.000
'14:50:11.208',0.104,-0.140,-,-,-,-,59.200
'14:50:11.216',0.064,-0.116,-,-,-,-,59.200
'14:50:11.224',0.080,-0.058,-,-,-,-,59.200
'14:50:11.232',0.064,0.017,-,-,-,-,59.200
'14:50:11.240',0.040,0.058,-,-,-,-,58.400
'14:50:11.248',0.008,0.116,-,-,-,-,58.400
'14:50:11.256',-0.016,0.140,-,-,-,-,58.400
'14:50:11.264',-0.032,0.132,-,-,-,-,58.400
'14:50:11.272',-0.024,0.124,-,-,-,-,59.200
'14:50:11.280',-0.032,0.116,-,-,-,-,60.800
'14:50:11.288',-0.032,0.116,-,-,-,-,63.200
'14:50:11.296',-0.048,0.116,-,-,-,-,68.800
'14:50:11.304',-0.040,0.116,-,-,-,-,76.800
'14:50:11.312',-0.048,0.132,-,-,-,-,84.800
'14:50:11.320',-0.048,0.132,-,-,-,-,91.200
'14:50:11.328',-0.056,0.149,-,-,-,-,93.600
'14:50:11.336',-0.064,0.157,-,-,-,-,94.400
'14:50:11.344',-0.072,0.165,-,-,-,-,93.600
'14:50:11.352',-0.072,0.149,-,-,-,-,92.000
'14:50:11.360',-0.088,0.157,-,-,-,-,90.400
'14:50:11.368',-0.088,0.140,-,-,-,-,88.000
'14:50:11.376',-0.088,0.132,-,-,-,-,85.600
'14:50:11.384',-0.096,0.132,-,-,-,-,83.200
'14:50:11.392',-0.088,0.116,-,-,-,-,81.600
'14:50:11.400',-0.088,0.099,-,-,-,-,78.400
'14:50:11.408',-0.072,0.074,-,-,-,-,76.000
'14:50:11.416',-0.072,0.050,-,-,-,-,73.600
'14:50:11.424',-0.056,0.033,-,-,-,-,72.000
'14:50:11.432',-0.040,0.008,-,-,-,-,71.200
'14:50:11.440',-0.032,0.000,-,-,-,-,71.200
'14:50:11.448',-0.024,-0.017,-,-,-,-,72.000
'14:50:11.456',-0.016,-0.025,-,-,-,-,72.000
'14:50:11.464',-0.008,-0.033,-,-,-,-,72.000
'14:50:11.472',0.000,-0.041,-,-,-,-,70.400
'14:50:11.480',-0.008,-0.058,-,-,-,-,69.600
'14:50:11.488',0.000,-0.058,-,-,-,-,68.800
'14:50:11.496',-0.016,-0.050,-,-,-,-,68.000
'14:50:11.504',-0.008,-0.058,-,-,-,-,67.200
'14:50:11.512',-0.016,-0.058,-,-,-,-,66.400
'14:50:11.520',-0.008,-0.058,-,-,-,-,66.400
