'Elapsed time','I','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'47:49:03.448',-,-0.120,-,40.800,35.600
'47:49:03.456',-,-0.096,-,40.800,36.400
'47:49:03.464',-,-0.096,-,40.800,37.200
'47:49:03.472',-,-0.096,-,40.800,38.000
'47:49:03.480',-,-0.080,-,41.600,38.800
'47:49:03.488',-,-0.080,-,43.200,39.200
'47:49:03.496',-,-0.080,-,46.400,39.600
'47:49:03.504',-,-0.080,-,52.000,39.200
'47:49:03.512',-,-0.080,-,60.000,38.000
'47:49:03.520',-,-0.080,-,70.400,37.200
'47:49:03.528',-,-0.080,-,82.400,36.800
'47:49:03.536',-,-0.056,-,94.400,37.200
'47:49:03.544',-,-0.056,-,104.800,38.800
'47:49:03.552',-,-0.056,-,112.800,40.800
'47:49:03.560',-,-0.056,-,118.400,43.600
'47:49:03.568',-,-0.080,-,121.600,46.800
'47:49:03.576',-,-0.096,-,122.400,50.000
'47:49:03.584',-,-0.120,-,122.400,54.000
'47:49:03.592',-,-0.136,-,120.000,57.200
'47:49:03.600',-,-0.160,-,116.800,60.400
'47:49:03.608',-,-0.136,-,113.600,62.400
'47:49:03.616',-,-0.136,-,110.400,64.000
'47:49:03.624',-,-0.096,-,106.400,64.800
'47:49:03.632',-,-0.080,-,102.400,64.800
'47:49:03.640',-,-0.056,-,98.400,64.000
'47:49:03.648',-,-0.040,-,94.400,62.400
'47:49:03.656',-,-0.016,-,90.400,60.400
'47:49:03.664',-,0.000,-,85.600,57.200
'47:49:03.672',-,0.000,-,80.800,54.400
'47:49:03.680',-,0.000,-,76.800,51.600
'47:49:03.688',-,0.000,-,72.000,49.600
'47:49:03.696',-,0.016,-,67.200,47.200
'47:49:03.704',-,0.016,-,62.400,44.800
'47:49:03.712',-,0.016,-,58.400,42.800
'47:49:03.720',-,0.016,-,54.400,41.200
'47:49:03.728',-,0.040,-,51.200,39.600
'47:49:03.736',-,0.080,-,48.800,38.800
'47:49:03.744',-,0.160,-,46.400,38.800
