'Elapsed time','II','III','AVL','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'23:49:00.776',-,-,-,-,-,0.290,109.200
'23:49:00.784',-,-,-,-,-,0.339,114.000
'23:49:00.792',-,-,-,-,-,0.290,117.600
'23:49:00.800',-,-,-,-,-,0.226,120.000
'23:49:00.808',-,-,-,-,-,0.339,121.200
'23:49:00.816',-,-,-,-,-,0.468,121.200
'23:49:00.824',-,-,-,-,-,0.468,122.400
'23:49:00.832',-,-,-,-,-,0.516,122.400
'23:49:00.840',-,-,-,-,-,0.468,122.400
'23:49:00.848',-,-,-,-,-,0.468,122.400
'23:49:00.856',-,-,-,-,-,0.339,123.600
'23:49:00.864',-,-,-,-,-,0.290,123.600
'23:49:00.872',-,-,-,-,-,0.339,123.600
'23:49:00.880',-,-,-,-,-,0.226,123.600
'23:49:00.888',-,-,-,-,-,0.113,123.600
'23:49:00.896',-,-,-,-,-,0.048,123.600
'23:49:00.904',-,-,-,-,-,0.000,123.600
'23:49:00.912',-,-,-,-,-,0.000,123.600
'23:49:00.920',-,-,-,-,-,-0.048,124.800
'23:49:00.928',-,-,-,-,-,-0.113,124.800
'23:49:00.936',-,-,-,-,-,0.000,124.800
'23:49:00.944',-,-,-,-,-,0.000,124.800
'23:49:00.952',-,-,-,-,-,0.000,123.600
'23:49:00.960',-,-,-,-,-,0.000,122.400
'23:49:00.968',-,-,-,-,-,0.113,120.000
'23:49:00.976',-,-,-,-,-,0.000,117.600
'23:49:00.984',-,-,-,-,-,-0.048,115.200
'23:49:00.992',-,-,-,-,-,0.048,112.800
'23:49:01.000',-,-,-,-,-,0.000,110.400
'23:49:01.008',-,-,-,-,-,0.113,109.200
'23:49:01.016',-,-,-,-,-,0.000,108.000
'23:49:01.024',-,-,-,-,-,-0.113,108.000
'23:49:01.032',-,-,-,-,-,-0.161,108.000
'23:49:01.040',-,-,-,-,-,0.000,109.200
'23:49:01.048',-,-,-,-,-,-0.226,109.200
'23:49:01.056',-,-,-,-,-,0.000,110.400
'23:49:01.064',-,-,-,-,-,-0.048,111.600
'23:49:01.072',-,-,-,-,-,-0.161,112.800
'23:49:01.080',-,-,-,-,-,-0.161,112.800
'23:49:01.088',-,-,-,-,-,0.000,112.800
'23:49:01.096',-,-,-,-,-,0.000,112.800
'23:49:01.104',-,-,-,-,-,-0.113,111.600
'23:49:01.112',-,-,-,-,-,0.000,111.600
'23:49:01.120',-,-,-,-,-,-0.468,110.400
'23:49:01.128',-,-,-,-,-,-1.161,110.400
'23:49:01.136',-,-,-,-,-,-1.871,109.200
'23:49:01.144',-,-,-,-,-,-2.048,108.000
'23:49:01.152',-,-,-,-,-,-1.516,106.800
'23:49:01.160',-,-,-,-,-,-1.290,105.600
'23:49:01.168',-,-,-,-,-,-0.758,104.400
'23:49:01.176',-,-,-,-,-,-0.290,103.200
'23:49:01.184',-,-,-,-,-,0.000,102.000
'23:49:01.192',-,-,-,-,-,0.161,100.800
'23:49:01.200',-,-,-,-,-,0.113,99.600
'23:49:01.208',-,-,-,-,-,0.290,98.400
'23:49:01.216',-,-,-,-,-,0.226,97.200
'23:49:01.224',-,-,-,-,-,0.226,97.200
'23:49:01.232',-,-,-,-,-,0.161,97.200
'23:49:01.240',-,-,-,-,-,0.226,97.200
'23:49:01.248',-,-,-,-,-,0.226,97.200
'23:49:01.256',-,-,-,-,-,0.161,98.400
'23:49:01.264',-,-,-,-,-,0.290,100.800
'23:49:01.272',-,-,-,-,-,0.226,103.200
'23:49:01.280',-,-,-,-,-,0.339,108.000
'23:49:01.288',-,-,-,-,-,0.226,111.600
'23:49:01.296',-,-,-,-,-,0.339,114.000
'23:49:01.304',-,-,-,-,-,0.290,116.400
'23:49:01.312',-,-,-,-,-,0.468,117.600
'23:49:01.320',-,-,-,-,-,0.403,118.800
'23:49:01.328',-,-,-,-,-,0.468,118.800
'23:49:01.336',-,-,-,-,-,0.468,120.000
'23:49:01.344',-,-,-,-,-,0.468,120.000
'23:49:01.352',-,-,-,-,-,0.339,120.000
'23:49:01.360',-,-,-,-,-,0.290,121.200
'23:49:01.368',-,-,-,-,-,0.403,121.200
'23:49:01.376',-,-,-,-,-,0.226,121.200
'23:49:01.384',-,-,-,-,-,0.113,121.200
'23:49:01.392',-,-,-,-,-,0.113,121.200
'23:49:01.400',-,-,-,-,-,0.000,122.400
'23:49:01.408',-,-,-,-,-,-0.048,122.400
'23:49:01.416',-,-,-,-,-,0.000,122.400
'23:49:01.424',-,-,-,-,-,-0.048,121.200
'23:49:01.432',-,-,-,-,-,0.000,121.200
'23:49:01.440',-,-,-,-,-,-0.048,121.200
'23:49:01.448',-,-,-,-,-,0.000,120.000
'23:49:01.456',-,-,-,-,-,0.000,117.600
'23:49:01.464',-,-,-,-,-,-0.048,115.200
'23:49:01.472',-,-,-,-,-,0.048,111.600
'23:49:01.480',-,-,-,-,-,0.000,109.200
'23:49:01.488',-,-,-,-,-,0.048,106.800
'23:49:01.496',-,-,-,-,-,0.000,105.600
'23:49:01.504',-,-,-,-,-,0.000,104.400
'23:49:01.512',-,-,-,-,-,-0.048,104.400
'23:49:01.520',-,-,-,-,-,-0.226,104.400
'23:49:01.528',-,-,-,-,-,-0.113,104.400
'23:49:01.536',-,-,-,-,-,-0.048,105.600
'23:49:01.544',-,-,-,-,-,-0.113,105.600
'23:49:01.552',-,-,-,-,-,-0.161,106.800
'23:49:01.560',-,-,-,-,-,-0.048,106.800
'23:49:01.568',-,-,-,-,-,-0.113,106.800
'23:49:01.576',-,-,-,-,-,-0.113,106.800
'23:49:01.584',-,-,-,-,-,-0.048,106.800
'23:49:01.592',-,-,-,-,-,-0.161,105.600
'23:49:01.600',-,-,-,-,-,-0.113,104.400
'23:49:01.608',-,-,-,-,-,-0.048,103.200
'23:49:01.616',-,-,-,-,-,-0.403,103.200
'23:49:01.624',-,-,-,-,-,-1.161,102.000
'23:49:01.632',-,-,-,-,-,-1.984,100.800
'23:49:01.640',-,-,-,-,-,-2.161,100.800
'23:49:01.648',-,-,-,-,-,-1.694,99.600
'23:49:01.656',-,-,-,-,-,-1.290,98.400
'23:49:01.664',-,-,-,-,-,-0.823,98.400
'23:49:01.672',-,-,-,-,-,-0.290,96.000
'23:49:01.680',-,-,-,-,-,0.113,94.800
'23:49:01.688',-,-,-,-,-,0.113,93.600
'23:49:01.696',-,-,-,-,-,0.226,92.400
'23:49:01.704',-,-,-,-,-,0.161,92.400
'23:49:01.712',-,-,-,-,-,0.226,91.200
'23:49:01.720',-,-,-,-,-,0.113,91.200
'23:49:01.728',-,-,-,-,-,0.226,90.000
'23:49:01.736',-,-,-,-,-,0.113,90.000
'23:49:01.744',-,-,-,-,-,0.226,91.200
'23:49:01.752',-,-,-,-,-,0.226,91.200
'23:49:01.760',-,-,-,-,-,0.161,92.400
'23:49:01.768',-,-,-,-,-,0.113,96.000
'23:49:01.776',-,-,-,-,-,0.339,99.600
'23:49:01.784',-,-,-,-,-,0.339,103.200
'23:49:01.792',-,-,-,-,-,0.339,108.000
'23:49:01.800',-,-,-,-,-,0.339,110.400
'23:49:01.808',-,-,-,-,-,0.290,112.800
'23:49:01.816',-,-,-,-,-,0.468,114.000
'23:49:01.824',-,-,-,-,-,0.403,114.000
'23:49:01.832',-,-,-,-,-,0.645,115.200
'23:49:01.840',-,-,-,-,-,0.468,115.200
'23:49:01.848',-,-,-,-,-,0.403,116.400
'23:49:01.856',-,-,-,-,-,0.339,116.400
'23:49:01.864',-,-,-,-,-,0.290,116.400
'23:49:01.872',-,-,-,-,-,0.339,116.400
'23:49:01.880',-,-,-,-,-,0.113,117.600
'23:49:01.888',-,-,-,-,-,0.000,117.600
'23:49:01.896',-,-,-,-,-,0.048,118.800
'23:49:01.904',-,-,-,-,-,0.000,118.800
'23:49:01.912',-,-,-,-,-,0.000,118.800
'23:49:01.920',-,-,-,-,-,-0.161,118.800
'23:49:01.928',-,-,-,-,-,0.000,118.800
'23:49:01.936',-,-,-,-,-,0.000,118.800
'23:49:01.944',-,-,-,-,-,0.048,118.800
'23:49:01.952',-,-,-,-,-,-0.048,118.800
'23:49:01.960',-,-,-,-,-,0.113,117.600
'23:49:01.968',-,-,-,-,-,0.000,115.200
'23:49:01.976',-,-,-,-,-,0.113,111.600
'23:49:01.984',-,-,-,-,-,0.000,109.200
'23:49:01.992',-,-,-,-,-,0.113,108.000
'23:49:02.000',-,-,-,-,-,-0.113,106.800
'23:49:02.008',-,-,-,-,-,0.048,105.600
'23:49:02.016',-,-,-,-,-,-0.113,106.800
'23:49:02.024',-,-,-,-,-,0.000,106.800
'23:49:02.032',-,-,-,-,-,-0.113,108.000
'23:49:02.040',-,-,-,-,-,0.000,109.200
'23:49:02.048',-,-,-,-,-,-0.113,110.400
'23:49:02.056',-,-,-,-,-,-0.048,110.400
'23:49:02.064',-,-,-,-,-,-0.048,110.400
'23:49:02.072',-,-,-,-,-,-0.113,110.400
'23:49:02.080',-,-,-,-,-,-0.161,109.200
'23:49:02.088',-,-,-,-,-,-0.113,109.200
'23:49:02.096',-,-,-,-,-,-0.161,110.400
'23:49:02.104',-,-,-,-,-,0.000,110.400
'23:49:02.112',-,-,-,-,-,0.048,110.400
'23:49:02.120',-,-,-,-,-,-0.823,110.400
'23:49:02.128',-,-,-,-,-,-1.468,109.200
'23:49:02.136',-,-,-,-,-,-2.048,108.000
'23:49:02.144',-,-,-,-,-,-2.113,108.000
'23:49:02.152',-,-,-,-,-,-1.339,106.800
'23:49:02.160',-,-,-,-,-,-1.048,105.600
'23:49:02.168',-,-,-,-,-,-0.516,105.600
'23:49:02.176',-,-,-,-,-,-0.048,104.400
'23:49:02.184',-,-,-,-,-,0.000,102.000
'23:49:02.192',-,-,-,-,-,0.226,100.800
'23:49:02.200',-,-,-,-,-,0.290,99.600
'23:49:02.208',-,-,-,-,-,0.161,98.400
'23:49:02.216',-,-,-,-,-,0.226,98.400
'23:49:02.224',-,-,-,-,-,0.339,97.200
'23:49:02.232',-,-,-,-,-,0.113,97.200
'23:49:02.240',-,-,-,-,-,0.113,96.000
'23:49:02.248',-,-,-,-,-,0.339,97.200
'23:49:02.256',-,-,-,-,-,0.226,98.400
'23:49:02.264',-,-,-,-,-,0.113,100.800
'23:49:02.272',-,-,-,-,-,0.339,105.600
'23:49:02.280',-,-,-,-,-,0.290,110.400
'23:49:02.288',-,-,-,-,-,0.339,115.200
'23:49:02.296',-,-,-,-,-,0.226,118.800
'23:49:02.304',-,-,-,-,-,0.468,121.200
'23:49:02.312',-,-,-,-,-,0.516,122.400
'23:49:02.320',-,-,-,-,-,0.468,123.600
'23:49:02.328',-,-,-,-,-,0.516,124.800
'23:49:02.336',-,-,-,-,-,0.403,126.000
'23:49:02.344',-,-,-,-,-,0.516,126.000
'23:49:02.352',-,-,-,-,-,0.339,127.200
'23:49:02.360',-,-,-,-,-,0.468,127.200
'23:49:02.368',-,-,-,-,-,0.339,127.200
'23:49:02.376',-,-,-,-,-,0.161,127.200
'23:49:02.384',-,-,-,-,-,0.226,128.400
'23:49:02.392',-,-,-,-,-,0.000,128.400
'23:49:02.400',-,-,-,-,-,0.048,128.400
'23:49:02.408',-,-,-,-,-,0.000,128.400
'23:49:02.416',-,-,-,-,-,0.048,128.400
'23:49:02.424',-,-,-,-,-,0.000,128.400
'23:49:02.432',-,-,-,-,-,0.000,128.400
'23:49:02.440',-,-,-,-,-,0.000,127.200
'23:49:02.448',-,-,-,-,-,0.000,126.000
'23:49:02.456',-,-,-,-,-,-0.048,123.600
'23:49:02.464',-,-,-,-,-,0.113,120.000
'23:49:02.472',-,-,-,-,-,0.048,117.600
'23:49:02.480',-,-,-,-,-,0.113,114.000
'23:49:02.488',-,-,-,-,-,0.000,111.600
'23:49:02.496',-,-,-,-,-,0.113,110.400
'23:49:02.504',-,-,-,-,-,0.000,109.200
'23:49:02.512',-,-,-,-,-,-0.113,109.200
'23:49:02.520',-,-,-,-,-,0.000,109.200
'23:49:02.528',-,-,-,-,-,0.000,109.200
'23:49:02.536',-,-,-,-,-,-0.113,110.400
'23:49:02.544',-,-,-,-,-,0.000,111.600
'23:49:02.552',-,-,-,-,-,-0.048,111.600
'23:49:02.560',-,-,-,-,-,-0.161,111.600
'23:49:02.568',-,-,-,-,-,-0.113,111.600
'23:49:02.576',-,-,-,-,-,-0.048,111.600
'23:49:02.584',-,-,-,-,-,-0.113,112.800
'23:49:02.592',-,-,-,-,-,0.000,112.800
'23:49:02.600',-,-,-,-,-,-0.161,112.800
'23:49:02.608',-,-,-,-,-,-0.048,112.800
'23:49:02.616',-,-,-,-,-,-0.871,111.600
'23:49:02.624',-,-,-,-,-,-1.516,111.600
'23:49:02.632',-,-,-,-,-,-1.823,111.600
'23:49:02.640',-,-,-,-,-,-1.516,110.400
'23:49:02.648',-,-,-,-,-,-1.226,110.400
'23:49:02.656',-,-,-,-,-,-0.935,109.200
'23:49:02.664',-,-,-,-,-,-0.290,106.800
'23:49:02.672',-,-,-,-,-,0.000,105.600
'23:49:02.680',-,-,-,-,-,0.048,104.400
'23:49:02.688',-,-,-,-,-,0.000,103.200
'23:49:02.696',-,-,-,-,-,0.339,102.000
'23:49:02.704',-,-,-,-,-,0.113,100.800
'23:49:02.712',-,-,-,-,-,0.339,99.600
'23:49:02.720',-,-,-,-,-,0.113,99.600
'23:49:02.728',-,-,-,-,-,0.290,98.400
'23:49:02.736',-,-,-,-,-,0.226,98.400
'23:49:02.744',-,-,-,-,-,0.113,98.400
'23:49:02.752',-,-,-,-,-,0.339,100.800
'23:49:02.760',-,-,-,-,-,0.403,103.200
'23:49:02.768',-,-,-,-,-,0.339,106.800
'23:49:02.776',-,-,-,-,-,0.339,112.800
'23:49:02.784',-,-,-,-,-,0.226,118.800
'23:49:02.792',-,-,-,-,-,0.339,126.000
'23:49:02.800',-,-,-,-,-,0.581,130.800
'23:49:02.808',-,-,-,-,-,0.339,134.400
'23:49:02.816',-,-,-,-,-,0.403,136.800
'23:49:02.824',-,-,-,-,-,0.468,138.000
'23:49:02.832',-,-,-,-,-,0.339,138.000
'23:49:02.840',-,-,-,-,-,0.516,138.000
'23:49:02.848',-,-,-,-,-,0.339,139.200
'23:49:02.856',-,-,-,-,-,0.581,139.200
'23:49:02.864',-,-,-,-,-,0.161,139.200
'23:49:02.872',-,-,-,-,-,0.290,139.200
'23:49:02.880',-,-,-,-,-,0.226,139.200
'23:49:02.888',-,-,-,-,-,0.113,140.400
'23:49:02.896',-,-,-,-,-,-0.113,140.400
'23:49:02.904',-,-,-,-,-,0.048,140.400
'23:49:02.912',-,-,-,-,-,-0.048,139.200
'23:49:02.920',-,-,-,-,-,-0.113,139.200
'23:49:02.928',-,-,-,-,-,0.000,138.000
'23:49:02.936',-,-,-,-,-,-0.048,135.600
'23:49:02.944',-,-,-,-,-,0.226,132.000
'23:49:02.952',-,-,-,-,-,0.000,128.400
'23:49:02.960',-,-,-,-,-,-0.113,124.800
'23:49:02.968',-,-,-,-,-,0.000,120.000
'23:49:02.976',-,-,-,-,-,0.000,116.400
'23:49:02.984',-,-,-,-,-,0.000,114.000
'23:49:02.992',-,-,-,-,-,0.113,112.800
'23:49:03.000',-,-,-,-,-,-0.113,110.400
'23:49:03.008',-,-,-,-,-,0.113,110.400
'23:49:03.016',-,-,-,-,-,0.468,109.200
'23:49:03.024',-,-,-,-,-,0.339,109.200
'23:49:03.032',-,-,-,-,-,0.113,109.200
'23:49:03.040',-,-,-,-,-,-0.403,110.400
'23:49:03.048',-,-,-,-,-,-0.290,110.400
'23:49:03.056',-,-,-,-,-,-0.516,111.600
'23:49:03.064',-,-,-,-,-,-0.403,112.800
'23:49:03.072',-,-,-,-,-,-0.290,112.800
'23:49:03.080',-,-,-,-,-,-0.339,112.800
'23:49:03.088',-,-,-,-,-,-0.161,112.800
'23:49:03.096',-,-,-,-,-,-0.113,111.600
'23:49:03.104',-,-,-,-,-,-0.403,110.400
'23:49:03.112',-,-,-,-,-,-0.984,110.400
'23:49:03.120',-,-,-,-,-,-1.758,109.200
'23:49:03.128',-,-,-,-,-,-1.871,109.200
'23:49:03.136',-,-,-,-,-,-1.403,108.000
'23:49:03.144',-,-,-,-,-,-1.113,106.800
'23:49:03.152',-,-,-,-,-,-0.935,105.600
'23:49:03.160',-,-,-,-,-,-0.403,103.200
'23:49:03.168',-,-,-,-,-,0.000,102.000
'23:49:03.176',-,-,-,-,-,-0.048,102.000
'23:49:03.184',-,-,-,-,-,0.113,100.800
'23:49:03.192',-,-,-,-,-,0.161,100.800
'23:49:03.200',-,-,-,-,-,0.113,99.600
'23:49:03.208',-,-,-,-,-,0.161,98.400
'23:49:03.216',-,-,-,-,-,0.113,97.200
'23:49:03.224',-,-,-,-,-,0.226,97.200
'23:49:03.232',-,-,-,-,-,0.161,97.200
'23:49:03.240',-,-,-,-,-,0.113,97.200
'23:49:03.248',-,-,-,-,-,0.226,99.600
'23:49:03.256',-,-,-,-,-,0.161,103.200
'23:49:03.264',-,-,-,-,-,0.226,106.800
'23:49:03.272',-,-,-,-,-,0.161,112.800
