CustID,CustomerName,SSN,Address,City,County,State,Zip,Country,CustomerType,IncomeCategory,NAIC,NumberOfAccounts
20130100001,MERRILL MEISENBURG,688297361,6649 N Blue Gum St,Schaumburg,Cook,IL,60173,US,I,A,423920,5
20130100002,SHANTI ROBB,789219943,4 B Blue Ridge Blvd,Sacramento,Sacramento,CA,95827,US,I,G,621111,7
20130100003,SCOT CLEMENT,985406053,8 W Cerritos Ave #54,Campbell,Santa Clara,CA,95008,US,I,S,522293,2
20130100004,HARRIET BLYTH,543516468,639 Main St,Waipahu,Honolulu,HI,96797,US,I,B,621991,1
20130100005,DI CRISTINA J & SON,359462084,34 Center St,Brooklyn,Kings,NY,11204,US,C,A,515120,9
20130100006,AMERICAN ARTS & GRAPHICS,760027983,3 Mcauley Dr,Springfield,Greene,MO,65803,US,C,Q,423920,15
20130100007,TREENA LARVE,198816592,7 Eads St,El Paso,El Paso,TX,79925,US,I,E,322130,1
20130100008,GUSTAVO HALWOOD,846274720,7 W Jackson Blvd,Somerville,Somerset,NJ,8876,US,I,C,515120,2
20130100009,JUERGEN FITSCHEN,181213075,5 Boston Ave #88,Flushing,Queens,NY,11355,US,I,A,322211,4
20130100010,SAMPLER,792882440,228 Runamuck Pl #2808,Armada,Macomb,MI,48005,US,C,Z,423930,11
20130100011,CORNELIUS CLACK,414841990,2371 Jerrold Ave,Pittsfield,Berkshire,MA,1201,US,I,F,621112,9
20130100012,SUN BENEAR,227780570,37275 St  Rt 17m M,San Bruno,San Mateo,CA,94066,US,I,R1,212234,8
20130100013,JACKSON SHIELDS YEISER,848576084,25 E 75th St #69,Escondido,San Diego,CA,92025,US,C,R1,111910,1
20130100014,JOESPH FATCHETT,594555462,98 Connecticut Ave Nw,Lompoc,Santa Barbara,CA,93436,US,I,D,522293,12
20130100015,CARL WASHINGTON,930005879,56 E Morehead St,Baltimore,Baltimore City,MD,21217,US,I,S,423920,3
20130100016,DINO YONEOKA,497786088,73 State Road 434 E,Brooklyn,Kings,NY,11232,US,I,R1,621210,6
20130100017,VITA FISCH,670222824,69734 E Carrillo St,Mc Cook,Red Willow,NE,69001,US,I,A,522293,4
20130100018,FLOYD PEACH,615481001,322 New Horizon Blvd,Syracuse,Onondaga,NY,13205,US,I,Q,515120,5
20130100019,VLADIMIR GOLUBKOV,122283656,1 State Route 27,Newark,Essex,NJ,7102,US,I,W,423940,1
20130100020,CHUNG MELLIERE,494289561,394 Manchester Blvd,Bakersfield,Kern,CA,93307,US,I,D,212399,1
20130100021,BERNIE MADOFF,796162987,6 S 33rd St,Las Cruces,Dona Ana,NM,88001,US,I,Q,621991,1
20130100022,"MOSKOWITZ, BARRY S",183203428,6 Greenleaf Ave,Minneapolis,Hennepin,MN,55439,US,C,V,322212,3
20130100023,CLARISA CHAVAYDA,281761296,618 W Yakima Ave,Emeryville,Alameda,CA,94608,US,I,Q,213112,10
20130100024,MARYANN ROYSTER,330676596,74 S Westgate St,Erie,Erie,PA,16501,US,I,A,423990,4
20130100025,EDER ASSOCS CONSLTNG ENGRS PC,291149948,3273 State St,Dayton,Montgomery,OH,45439,US,C,C,621310,1
20130100026,MARVIN MIVSHEK,815007860,1 Central Ave,Woodbridge,Middlesex,NJ,7095,US,I,V,213115,6
20130100027,MARISOL DOWLER,699332746,86 Nw 66th St #8673,Brooklyn,Kings,NY,11232,US,I,R1,515120,17
20130100028,"LEDECKY, DAVID ESQ",246835900,2 Cedar Ave #84,Hammond,Lake,IN,46320,US,C,G,423920,11
20130100029,HEIDY SUITOR,156167927,90991 Thorburn Ave,Houston,Harris,TX,77042,US,I,S,111910,1
