'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'25:33.768',-,-,-,-,-,-,0.296,0.088,91.200,-
'25:33.776',-,-,-,-,-,-,0.336,0.160,91.200,-
'25:33.784',-,-,-,-,-,-,0.400,0.184,92.400,-
'25:33.792',-,-,-,-,-,-,0.424,0.232,91.200,-
'25:33.800',-,-,-,-,-,-,0.464,0.248,90.000,-
'25:33.808',-,-,-,-,-,-,0.504,0.296,88.800,-
'25:33.816',-,-,-,-,-,-,0.528,0.344,87.600,-
'25:33.824',-,-,-,-,-,-,0.552,0.368,86.400,-
'25:33.832',-,-,-,-,-,-,0.552,0.344,84.000,-
'25:33.840',-,-,-,-,-,-,0.552,0.368,80.400,-
'25:33.848',-,-,-,-,-,-,0.552,0.416,78.000,-
'25:33.856',-,-,-,-,-,-,0.528,0.440,75.600,-
'25:33.864',-,-,-,-,-,-,0.504,0.392,73.200,-
'25:33.872',-,-,-,-,-,-,0.464,0.392,72.000,-
'25:33.880',-,-,-,-,-,-,0.424,0.344,70.800,-
'25:33.888',-,-,-,-,-,-,0.360,0.296,70.800,-
'25:33.896',-,-,-,-,-,-,0.296,0.248,69.600,-
'25:33.904',-,-,-,-,-,-,0.232,0.232,69.600,-
'25:33.912',-,-,-,-,-,-,0.144,0.136,68.400,-
'25:33.920',-,-,-,-,-,-,0.104,0.064,68.400,-
'25:33.928',-,-,-,-,-,-,0.056,0.040,68.400,-
'25:33.936',-,-,-,-,-,-,0.016,0.000,68.400,-
'25:33.944',-,-,-,-,-,-,-0.016,-0.040,67.200,-
'25:33.952',-,-,-,-,-,-,-0.016,-0.016,67.200,-
'25:33.960',-,-,-,-,-,-,-0.040,-0.016,66.000,-
'25:33.968',-,-,-,-,-,-,-0.056,-0.088,66.000,-
'25:33.976',-,-,-,-,-,-,-0.080,-0.112,66.000,-
'25:33.984',-,-,-,-,-,-,-0.080,-0.088,66.000,-
'25:33.992',-,-,-,-,-,-,-0.080,-0.088,64.800,-
'25:34.000',-,-,-,-,-,-,-0.104,-0.112,64.800,-
'25:34.008',-,-,-,-,-,-,-0.104,-0.112,64.800,-
'25:34.016',-,-,-,-,-,-,-0.120,-0.112,63.600,-
'25:34.024',-,-,-,-,-,-,-0.120,-0.136,63.600,-
'25:34.032',-,-,-,-,-,-,-0.120,-0.160,63.600,-
'25:34.040',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:34.048',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:34.056',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:34.064',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:34.072',-,-,-,-,-,-,-0.104,-0.136,62.400,-
'25:34.080',-,-,-,-,-,-,-0.104,-0.112,61.200,-
'25:34.088',-,-,-,-,-,-,-0.120,-0.112,61.200,-
'25:34.096',-,-,-,-,-,-,-0.104,-0.112,61.200,-
'25:34.104',-,-,-,-,-,-,-0.104,-0.112,61.200,-
'25:34.112',-,-,-,-,-,-,-0.104,-0.112,60.000,-
'25:34.120',-,-,-,-,-,-,-0.104,-0.112,60.000,-
'25:34.128',-,-,-,-,-,-,-0.104,-0.112,60.000,-
'25:34.136',-,-,-,-,-,-,-0.104,-0.112,60.000,-
'25:34.144',-,-,-,-,-,-,-0.104,-0.136,60.000,-
'25:34.152',-,-,-,-,-,-,-0.104,-0.112,58.800,-
'25:34.160',-,-,-,-,-,-,-0.080,-0.088,58.800,-
'25:34.168',-,-,-,-,-,-,-0.080,-0.112,58.800,-
'25:34.176',-,-,-,-,-,-,-0.056,-0.088,58.800,-
'25:34.184',-,-,-,-,-,-,-0.056,-0.040,58.800,-
'25:34.192',-,-,-,-,-,-,-0.056,-0.040,57.600,-
'25:34.200',-,-,-,-,-,-,-0.080,-0.064,57.600,-
'25:34.208',-,-,-,-,-,-,-0.104,-0.112,57.600,-
'25:34.216',-,-,-,-,-,-,-0.104,-0.136,57.600,-
'25:34.224',-,-,-,-,-,-,-0.104,-0.112,57.600,-
'25:34.232',-,-,-,-,-,-,-0.120,-0.136,57.600,-
'25:34.240',-,-,-,-,-,-,-0.120,-0.112,57.600,-
'25:34.248',-,-,-,-,-,-,-0.104,-0.136,57.600,-
'25:34.256',-,-,-,-,-,-,-0.104,-0.112,57.600,-
'25:34.264',-,-,-,-,-,-,-0.080,-0.112,57.600,-
'25:34.272',-,-,-,-,-,-,-0.104,-0.112,57.600,-
'25:34.280',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'25:34.288',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'25:34.296',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'25:34.304',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'25:34.312',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'25:34.320',-,-,-,-,-,-,-0.104,-0.136,56.400,-
'25:34.328',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'25:34.336',-,-,-,-,-,-,-0.056,-0.112,55.200,-
'25:34.344',-,-,-,-,-,-,0.016,-0.112,55.200,-
'25:34.352',-,-,-,-,-,-,0.040,0.040,55.200,-
'25:34.360',-,-,-,-,-,-,-0.056,0.040,54.000,-
'25:34.368',-,-,-,-,-,-,-0.312,-0.160,54.000,-
'25:34.376',-,-,-,-,-,-,-0.552,-0.464,52.800,-
'25:34.384',-,-,-,-,-,-,-0.616,-0.760,52.800,-
'25:34.392',-,-,-,-,-,-,-0.464,-0.552,52.800,-
'25:34.400',-,-,-,-,-,-,-0.360,-0.416,51.600,-
'25:34.408',-,-,-,-,-,-,-0.296,-0.344,51.600,-
'25:34.416',-,-,-,-,-,-,-0.232,-0.248,52.800,-
'25:34.424',-,-,-,-,-,-,-0.184,-0.208,52.800,-
'25:34.432',-,-,-,-,-,-,-0.168,-0.160,54.000,-
'25:34.440',-,-,-,-,-,-,-0.168,-0.160,56.400,-
'25:34.448',-,-,-,-,-,-,-0.144,-0.160,61.200,-
'25:34.456',-,-,-,-,-,-,-0.120,-0.136,68.400,-
'25:34.464',-,-,-,-,-,-,-0.104,-0.112,76.800,-
'25:34.472',-,-,-,-,-,-,-0.080,-0.088,84.000,-
'25:34.480',-,-,-,-,-,-,-0.080,-0.064,88.800,-
'25:34.488',-,-,-,-,-,-,-0.080,-0.064,91.200,-
'25:34.496',-,-,-,-,-,-,-0.056,-0.088,93.600,-
'25:34.504',-,-,-,-,-,-,-0.056,-0.040,96.000,-
'25:34.512',-,-,-,-,-,-,-0.040,-0.040,97.200,-
'25:34.520',-,-,-,-,-,-,-0.040,-0.040,98.400,-
'25:34.528',-,-,-,-,-,-,0.000,0.000,98.400,-
'25:34.536',-,-,-,-,-,-,0.016,0.000,98.400,-
'25:34.544',-,-,-,-,-,-,0.040,0.016,99.600,-
'25:34.552',-,-,-,-,-,-,0.080,0.040,99.600,-
'25:34.560',-,-,-,-,-,-,0.168,0.136,99.600,-
'25:34.568',-,-,-,-,-,-,0.248,0.184,99.600,-
'25:34.576',-,-,-,-,-,-,0.312,0.296,98.400,-
'25:34.584',-,-,-,-,-,-,0.400,0.344,97.200,-
'25:34.592',-,-,-,-,-,-,0.464,0.440,96.000,-
'25:34.600',-,-,-,-,-,-,0.504,0.488,96.000,-
'25:34.608',-,-,-,-,-,-,0.528,0.528,94.800,-
'25:34.616',-,-,-,-,-,-,0.528,0.528,93.600,-
'25:34.624',-,-,-,-,-,-,0.504,0.504,92.400,-
'25:34.632',-,-,-,-,-,-,0.424,0.440,90.000,-
'25:34.640',-,-,-,-,-,-,0.336,0.344,88.800,-
'25:34.648',-,-,-,-,-,-,0.232,0.248,86.400,-
'25:34.656',-,-,-,-,-,-,0.168,0.184,82.800,-
'25:34.664',-,-,-,-,-,-,0.104,0.112,80.400,-
'25:34.672',-,-,-,-,-,-,0.056,0.040,78.000,-
'25:34.680',-,-,-,-,-,-,0.016,0.000,76.800,-
'25:34.688',-,-,-,-,-,-,0.000,0.000,76.800,-
'25:34.696',-,-,-,-,-,-,-0.016,-0.016,76.800,-
'25:34.704',-,-,-,-,-,-,-0.040,-0.040,75.600,-
'25:34.712',-,-,-,-,-,-,-0.056,-0.040,74.400,-
'25:34.720',-,-,-,-,-,-,-0.080,-0.088,74.400,-
'25:34.728',-,-,-,-,-,-,-0.080,-0.112,74.400,-
'25:34.736',-,-,-,-,-,-,-0.080,-0.088,73.200,-
'25:34.744',-,-,-,-,-,-,-0.080,-0.112,73.200,-
