'Elapsed time','I','AVF','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'34:11:40.152',-0.032,-,-,52.000
'34:11:40.160',-0.032,-,-,52.000
'34:11:40.168',-0.040,-,-,52.000
'34:11:40.176',-0.040,-,-,52.000
'34:11:40.184',-0.048,-,-,52.000
'34:11:40.192',-0.048,-,-,51.200
'34:11:40.200',-0.056,-,-,51.200
'34:11:40.208',-0.056,-,-,51.200
'34:11:40.216',-0.056,-,-,51.200
'34:11:40.224',-0.064,-,-,51.200
'34:11:40.232',-0.064,-,-,51.200
'34:11:40.240',-0.064,-,-,51.200
'34:11:40.248',-0.056,-,-,50.400
'34:11:40.256',-0.048,-,-,50.400
'34:11:40.264',-0.048,-,-,50.400
'34:11:40.272',-0.040,-,-,50.400
'34:11:40.280',-0.024,-,-,50.400
'34:11:40.288',0.056,-,-,49.600
'34:11:40.296',0.184,-,-,49.600
'34:11:40.304',0.320,-,-,49.600
'34:11:40.312',0.400,-,-,49.600
'34:11:40.320',0.416,-,-,49.600
'34:11:40.328',0.392,-,-,49.600
'34:11:40.336',0.288,-,-,48.800
'34:11:40.344',0.128,-,-,48.800
'34:11:40.352',0.016,-,-,48.800
'34:11:40.360',-0.040,-,-,48.800
'34:11:40.368',-0.056,-,-,48.800
'34:11:40.376',-0.040,-,-,48.000
'34:11:40.384',-0.040,-,-,48.000
'34:11:40.392',-0.040,-,-,48.000
'34:11:40.400',-0.048,-,-,48.000
'34:11:40.408',-0.056,-,-,47.200
'34:11:40.416',-0.056,-,-,47.200
'34:11:40.424',-0.056,-,-,47.200
'34:11:40.432',-0.048,-,-,47.200
'34:11:40.440',-0.040,-,-,47.200
'34:11:40.448',-0.024,-,-,47.200
'34:11:40.456',-0.016,-,-,47.200
'34:11:40.464',-0.008,-,-,48.000
'34:11:40.472',-0.008,-,-,48.800
'34:11:40.480',0.000,-,-,50.400
'34:11:40.488',0.008,-,-,52.800
'34:11:40.496',0.024,-,-,56.800
'34:11:40.504',0.032,-,-,60.800
'34:11:40.512',0.048,-,-,66.400
'34:11:40.520',0.056,-,-,71.200
'34:11:40.528',0.064,-,-,77.600
'34:11:40.536',0.072,-,-,83.200
'34:11:40.544',0.080,-,-,88.800
'34:11:40.552',0.088,-,-,93.600
'34:11:40.560',0.088,-,-,98.400
'34:11:40.568',0.088,-,-,102.400
'34:11:40.576',0.072,-,-,105.600
'34:11:40.584',0.064,-,-,108.000
'34:11:40.592',0.056,-,-,109.600
'34:11:40.600',0.056,-,-,109.600
'34:11:40.608',0.048,-,-,109.600
'34:11:40.616',0.040,-,-,108.800
'34:11:40.624',0.032,-,-,108.000
'34:11:40.632',0.024,-,-,106.400
'34:11:40.640',0.016,-,-,104.800
'34:11:40.648',0.000,-,-,102.400
'34:11:40.656',-0.008,-,-,100.000
'34:11:40.664',-0.024,-,-,97.600
'34:11:40.672',-0.032,-,-,95.200
'34:11:40.680',-0.032,-,-,92.800
'34:11:40.688',-0.024,-,-,89.600
'34:11:40.696',-0.024,-,-,86.400
'34:11:40.704',-0.032,-,-,83.200
'34:11:40.712',-0.032,-,-,80.000
'34:11:40.720',-0.032,-,-,76.800
'34:11:40.728',-0.032,-,-,73.600
'34:11:40.736',-0.032,-,-,70.400
'34:11:40.744',-0.032,-,-,68.000
'34:11:40.752',-0.040,-,-,66.400
'34:11:40.760',-0.040,-,-,64.800
'34:11:40.768',-0.048,-,-,63.200
'34:11:40.776',-0.048,-,-,62.400
'34:11:40.784',-0.040,-,-,61.600
'34:11:40.792',-0.040,-,-,61.600
'34:11:40.800',-0.032,-,-,61.600
'34:11:40.808',-0.032,-,-,62.400
'34:11:40.816',-0.032,-,-,62.400
'34:11:40.824',-0.024,-,-,63.200
'34:11:40.832',-0.032,-,-,63.200
'34:11:40.840',-0.040,-,-,64.000
'34:11:40.848',-0.048,-,-,64.800
'34:11:40.856',-0.040,-,-,65.600
'34:11:40.864',-0.040,-,-,65.600
'34:11:40.872',-0.040,-,-,65.600
'34:11:40.880',-0.040,-,-,65.600
'34:11:40.888',-0.040,-,-,65.600
'34:11:40.896',-0.040,-,-,65.600
'34:11:40.904',-0.040,-,-,65.600
'34:11:40.912',-0.040,-,-,64.800
'34:11:40.920',-0.040,-,-,64.800
'34:11:40.928',-0.048,-,-,64.000
'34:11:40.936',-0.056,-,-,63.200
'34:11:40.944',-0.064,-,-,62.400
'34:11:40.952',-0.072,-,-,62.400
'34:11:40.960',-0.064,-,-,61.600
'34:11:40.968',-0.056,-,-,60.800
'34:11:40.976',-0.056,-,-,60.000
'34:11:40.984',-0.056,-,-,59.200
'34:11:40.992',-0.056,-,-,58.400
'34:11:41.000',-0.048,-,-,58.400
'34:11:41.008',-0.056,-,-,57.600
'34:11:41.016',-0.056,-,-,56.800
'34:11:41.024',-0.056,-,-,56.800
'34:11:41.032',-0.048,-,-,56.000
'34:11:41.040',-0.048,-,-,55.200
'34:11:41.048',-0.040,-,-,55.200
'34:11:41.056',-0.040,-,-,54.400
'34:11:41.064',-0.040,-,-,54.400
'34:11:41.072',-0.024,-,-,53.600
'34:11:41.080',0.056,-,-,53.600
'34:11:41.088',0.184,-,-,53.600
'34:11:41.096',0.320,-,-,53.600
'34:11:41.104',0.408,-,-,52.800
'34:11:41.112',0.432,-,-,52.800
'34:11:41.120',0.400,-,-,52.800
'34:11:41.128',0.296,-,-,52.800
'34:11:41.136',0.144,-,-,52.800
'34:11:41.144',0.008,-,-,52.000
'34:11:41.152',-0.064,-,-,52.000
'34:11:41.160',-0.088,-,-,52.000
'34:11:41.168',-0.072,-,-,52.000
'34:11:41.176',-0.064,-,-,52.000
'34:11:41.184',-0.056,-,-,51.200
'34:11:41.192',-0.048,-,-,51.200
'34:11:41.200',-0.048,-,-,51.200
'34:11:41.208',-0.048,-,-,51.200
'34:11:41.216',-0.040,-,-,50.400
'34:11:41.224',-0.040,-,-,50.400
'34:11:41.232',-0.032,-,-,50.400
'34:11:41.240',-0.016,-,-,50.400
'34:11:41.248',-0.016,-,-,51.200
'34:11:41.256',-0.008,-,-,51.200
'34:11:41.264',-0.008,-,-,52.800
'34:11:41.272',0.000,-,-,54.400
'34:11:41.280',0.000,-,-,56.800
'34:11:41.288',0.000,-,-,60.000
'34:11:41.296',0.000,-,-,64.800
'34:11:41.304',0.000,-,-,69.600
'34:11:41.312',0.008,-,-,75.200
'34:11:41.320',0.008,-,-,80.800
'34:11:41.328',0.016,-,-,86.400
'34:11:41.336',0.032,-,-,91.200
'34:11:41.344',0.040,-,-,96.000
'34:11:41.352',0.056,-,-,100.800
'34:11:41.360',0.064,-,-,104.800
'34:11:41.368',0.072,-,-,108.000
'34:11:41.376',0.072,-,-,109.600
'34:11:41.384',0.064,-,-,111.200
'34:11:41.392',0.064,-,-,112.000
'34:11:41.400',0.064,-,-,112.000
'34:11:41.408',0.056,-,-,111.200
'34:11:41.416',0.048,-,-,110.400
'34:11:41.424',0.032,-,-,108.800
'34:11:41.432',0.016,-,-,107.200
'34:11:41.440',0.000,-,-,105.600
'34:11:41.448',-0.016,-,-,103.200
'34:11:41.456',-0.032,-,-,101.600
'34:11:41.464',-0.040,-,-,99.200
'34:11:41.472',-0.056,-,-,96.000
'34:11:41.480',-0.064,-,-,93.600
'34:11:41.488',-0.064,-,-,90.400
'34:11:41.496',-0.072,-,-,87.200
'34:11:41.504',-0.072,-,-,84.000
'34:11:41.512',-0.056,-,-,80.000
'34:11:41.520',-0.048,-,-,76.800
'34:11:41.528',-0.040,-,-,73.600
'34:11:41.536',-0.032,-,-,71.200
'34:11:41.544',-0.032,-,-,68.800
'34:11:41.552',-0.032,-,-,67.200
'34:11:41.560',-0.032,-,-,65.600
'34:11:41.568',-0.032,-,-,64.000
'34:11:41.576',-0.032,-,-,63.200
'34:11:41.584',-0.032,-,-,63.200
'34:11:41.592',-0.032,-,-,63.200
'34:11:41.600',-0.040,-,-,63.200
'34:11:41.608',-0.040,-,-,63.200
'34:11:41.616',-0.048,-,-,64.000
'34:11:41.624',-0.056,-,-,64.800
'34:11:41.632',-0.064,-,-,65.600
'34:11:41.640',-0.064,-,-,66.400
'34:11:41.648',-0.064,-,-,66.400
'34:11:41.656',-0.064,-,-,67.200
'34:11:41.664',-0.072,-,-,67.200
'34:11:41.672',-0.080,-,-,67.200
'34:11:41.680',-0.072,-,-,67.200
'34:11:41.688',-0.064,-,-,67.200
'34:11:41.696',-0.056,-,-,67.200
'34:11:41.704',-0.056,-,-,66.400
'34:11:41.712',-0.056,-,-,65.600
'34:11:41.720',-0.048,-,-,65.600
'34:11:41.728',-0.048,-,-,64.800
'34:11:41.736',-0.040,-,-,64.000
'34:11:41.744',-0.040,-,-,63.200
'34:11:41.752',-0.048,-,-,62.400
'34:11:41.760',-0.048,-,-,61.600
'34:11:41.768',-0.048,-,-,60.800
'34:11:41.776',-0.048,-,-,60.000
'34:11:41.784',-0.056,-,-,60.000
'34:11:41.792',-0.056,-,-,59.200
'34:11:41.800',-0.048,-,-,58.400
'34:11:41.808',-0.040,-,-,57.600
'34:11:41.816',-0.048,-,-,56.800
'34:11:41.824',-0.040,-,-,56.800
'34:11:41.832',-0.040,-,-,56.000
'34:11:41.840',-0.048,-,-,56.000
'34:11:41.848',-0.056,-,-,55.200
'34:11:41.856',-0.016,-,-,55.200
'34:11:41.864',0.088,-,-,54.400
'34:11:41.872',0.240,-,-,54.400
'34:11:41.880',0.368,-,-,53.600
'34:11:41.888',0.424,-,-,53.600
'34:11:41.896',0.424,-,-,53.600
'34:11:41.904',0.360,-,-,52.800
'34:11:41.912',0.248,-,-,52.800
'34:11:41.920',0.104,-,-,52.800
'34:11:41.928',0.000,-,-,52.800
'34:11:41.936',-0.056,-,-,52.000
'34:11:41.944',-0.064,-,-,52.000
'34:11:41.952',-0.048,-,-,52.000
'34:11:41.960',-0.040,-,-,52.000
'34:11:41.968',-0.040,-,-,52.000
