'Elapsed time','II','AVR','AVL','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'58:43:31.456',-0.009,-,-,-,55.200
'58:43:31.464',-0.027,-,-,-,55.200
'58:43:31.472',-0.045,-,-,-,55.200
'58:43:31.480',-0.045,-,-,-,54.400
'58:43:31.488',-0.045,-,-,-,54.400
'58:43:31.496',-0.045,-,-,-,53.600
'58:43:31.504',-0.054,-,-,-,53.600
'58:43:31.512',-0.107,-,-,-,53.600
'58:43:31.520',-0.196,-,-,-,53.600
'58:43:31.528',-0.223,-,-,-,52.800
'58:43:31.536',0.009,-,-,-,52.800
'58:43:31.544',0.366,-,-,-,52.800
'58:43:31.552',0.473,-,-,-,52.000
'58:43:31.560',0.411,-,-,-,52.000
'58:43:31.568',0.241,-,-,-,51.200
'58:43:31.576',0.054,-,-,-,51.200
'58:43:31.584',0.000,-,-,-,50.400
'58:43:31.592',-0.027,-,-,-,50.400
'58:43:31.600',-0.071,-,-,-,49.600
'58:43:31.608',-0.089,-,-,-,49.600
'58:43:31.616',-0.089,-,-,-,48.800
'58:43:31.624',-0.089,-,-,-,48.800
'58:43:31.632',-0.089,-,-,-,48.000
'58:43:31.640',-0.089,-,-,-,48.000
'58:43:31.648',-0.089,-,-,-,47.200
'58:43:31.656',-0.089,-,-,-,47.200
'58:43:31.664',-0.071,-,-,-,47.200
'58:43:31.672',-0.071,-,-,-,48.000
'58:43:31.680',-0.071,-,-,-,49.600
'58:43:31.688',-0.071,-,-,-,52.000
'58:43:31.696',-0.054,-,-,-,55.200
'58:43:31.704',-0.071,-,-,-,60.000
'58:43:31.712',-0.045,-,-,-,64.000
'58:43:31.720',-0.027,-,-,-,68.800
'58:43:31.728',-0.045,-,-,-,72.800
'58:43:31.736',0.000,-,-,-,77.600
'58:43:31.744',0.000,-,-,-,80.800
'58:43:31.752',0.000,-,-,-,84.800
'58:43:31.760',0.000,-,-,-,88.000
'58:43:31.768',0.000,-,-,-,89.600
'58:43:31.776',0.000,-,-,-,91.200
'58:43:31.784',0.000,-,-,-,92.800
'58:43:31.792',-0.027,-,-,-,92.800
'58:43:31.800',-0.027,-,-,-,92.800
'58:43:31.808',-0.045,-,-,-,92.800
'58:43:31.816',-0.045,-,-,-,92.000
'58:43:31.824',-0.071,-,-,-,91.200
'58:43:31.832',-0.071,-,-,-,89.600
'58:43:31.840',-0.089,-,-,-,88.000
'58:43:31.848',-0.071,-,-,-,86.400
'58:43:31.856',-0.089,-,-,-,84.800
'58:43:31.864',-0.107,-,-,-,83.200
'58:43:31.872',-0.089,-,-,-,81.600
'58:43:31.880',-0.089,-,-,-,79.200
'58:43:31.888',-0.107,-,-,-,76.800
'58:43:31.896',-0.107,-,-,-,74.400
'58:43:31.904',-0.107,-,-,-,72.000
'58:43:31.912',-0.107,-,-,-,69.600
'58:43:31.920',-0.089,-,-,-,67.200
'58:43:31.928',-0.089,-,-,-,64.800
'58:43:31.936',-0.089,-,-,-,63.200
'58:43:31.944',-0.089,-,-,-,61.600
'58:43:31.952',-0.089,-,-,-,60.800
'58:43:31.960',-0.089,-,-,-,59.200
'58:43:31.968',-0.089,-,-,-,58.400
'58:43:31.976',-0.089,-,-,-,58.400
'58:43:31.984',-0.089,-,-,-,57.600
'58:43:31.992',-0.071,-,-,-,57.600
'58:43:32.000',-0.089,-,-,-,56.800
'58:43:32.008',-0.089,-,-,-,56.800
'58:43:32.016',-0.071,-,-,-,56.800
'58:43:32.024',-0.071,-,-,-,56.800
'58:43:32.032',-0.054,-,-,-,56.000
'58:43:32.040',-0.071,-,-,-,56.000
'58:43:32.048',-0.045,-,-,-,56.000
'58:43:32.056',-0.027,-,-,-,56.000
'58:43:32.064',-0.027,-,-,-,56.000
'58:43:32.072',-0.027,-,-,-,56.000
'58:43:32.080',-0.045,-,-,-,55.200
'58:43:32.088',-0.045,-,-,-,55.200
'58:43:32.096',-0.054,-,-,-,55.200
'58:43:32.104',-0.071,-,-,-,55.200
'58:43:32.112',-0.071,-,-,-,54.400
'58:43:32.120',-0.089,-,-,-,54.400
'58:43:32.128',-0.089,-,-,-,54.400
'58:43:32.136',-0.089,-,-,-,54.400
'58:43:32.144',-0.089,-,-,-,54.400
