'Elapsed time','I','II','III','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'33:17:43.544',-,-0.020,-,-,-0.040,-,-
'33:17:43.552',-,-0.020,-,-,-0.040,-,-
'33:17:43.560',-,0.000,-,-,-0.060,-,-
'33:17:43.568',-,0.020,-,-,-0.040,-,-
'33:17:43.576',-,0.020,-,-,-0.040,-,-
'33:17:43.584',-,0.000,-,-,-0.040,-,-
'33:17:43.592',-,0.040,-,-,-0.040,-,-
'33:17:43.600',-,0.060,-,-,-0.040,-,-
'33:17:43.608',-,0.080,-,-,-0.040,-,-
'33:17:43.616',-,0.080,-,-,-0.040,-,-
'33:17:43.624',-,0.060,-,-,-0.020,-,-
'33:17:43.632',-,0.080,-,-,-0.040,-,-
'33:17:43.640',-,0.080,-,-,0.000,-,-
'33:17:43.648',-,0.080,-,-,0.000,-,-
'33:17:43.656',-,0.080,-,-,0.000,-,-
'33:17:43.664',-,0.060,-,-,0.000,-,-
'33:17:43.672',-,0.040,-,-,0.020,-,-
'33:17:43.680',-,0.020,-,-,0.020,-,-
'33:17:43.688',-,0.020,-,-,0.000,-,-
'33:17:43.696',-,0.040,-,-,0.000,-,-
'33:17:43.704',-,-0.040,-,-,0.000,-,-
'33:17:43.712',-,-0.040,-,-,0.000,-,-
'33:17:43.720',-,-0.040,-,-,-0.020,-,-
'33:17:43.728',-,-0.060,-,-,0.000,-,-
'33:17:43.736',-,-0.040,-,-,0.000,-,-
'33:17:43.744',-,-0.060,-,-,-0.020,-,-
'33:17:43.752',-,-0.060,-,-,-0.020,-,-
'33:17:43.760',-,-0.060,-,-,0.000,-,-
'33:17:43.768',-,-0.080,-,-,-0.020,-,-
'33:17:43.776',-,-0.100,-,-,-0.040,-,-
'33:17:43.784',-,-0.060,-,-,-0.020,-,-
'33:17:43.792',-,-0.100,-,-,-0.040,-,-
'33:17:43.800',-,-0.060,-,-,-0.020,-,-
