'Elapsed time','I','II','AVR','AVL','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'6:40.192',-0.096,0.175,-,-,-,83.200,44.880
'6:40.200',-0.096,0.150,-,-,-,82.400,44.880
'6:40.208',-0.096,0.150,-,-,-,80.800,44.880
'6:40.216',-0.078,0.175,-,-,-,80.000,44.880
'6:40.224',-0.078,0.150,-,-,-,80.000,44.880
'6:40.232',-0.070,0.125,-,-,-,80.000,44.880
'6:40.240',-0.078,0.100,-,-,-,80.000,44.880
'6:40.248',-0.070,0.100,-,-,-,80.800,44.880
'6:40.256',-0.052,0.125,-,-,-,82.400,44.880
'6:40.264',-0.052,0.125,-,-,-,83.200,44.880
'6:40.272',-0.043,0.125,-,-,-,84.800,44.880
'6:40.280',-0.035,0.100,-,-,-,86.400,44.880
'6:40.288',-0.035,0.075,-,-,-,88.000,44.880
'6:40.296',-0.035,0.050,-,-,-,88.800,44.880
'6:40.304',-0.035,0.050,-,-,-,90.400,44.880
'6:40.312',-0.052,0.050,-,-,-,92.800,44.880
'6:40.320',-0.078,0.000,-,-,-,94.400,44.880
'6:40.328',-0.096,-0.025,-,-,-,96.000,44.880
'6:40.336',-0.096,-0.025,-,-,-,98.400,44.880
'6:40.344',-0.096,-0.025,-,-,-,99.200,44.880
'6:40.352',-0.104,-0.050,-,-,-,100.800,44.880
'6:40.360',-0.104,-0.050,-,-,-,100.800,44.880
'6:40.368',-0.104,-0.025,-,-,-,100.800,44.880
'6:40.376',-0.104,-0.050,-,-,-,100.000,44.880
'6:40.384',-0.113,-0.100,-,-,-,98.400,44.880
'6:40.392',-0.139,-0.125,-,-,-,96.000,44.880
'6:40.400',-0.174,-0.100,-,-,-,93.600,44.880
'6:40.408',-0.200,-0.025,-,-,-,90.400,44.880
'6:40.416',-0.174,0.050,-,-,-,87.200,44.880
'6:40.424',-0.113,0.075,-,-,-,83.200,44.880
'6:40.432',-0.043,0.000,-,-,-,80.000,44.880
'6:40.440',-0.017,-0.100,-,-,-,76.800,44.880
'6:40.448',-0.078,-0.175,-,-,-,73.600,44.880
'6:40.456',-0.104,-0.250,-,-,-,70.400,44.880
'6:40.464',-0.096,-0.250,-,-,-,68.000,44.880
'6:40.472',-0.070,-0.250,-,-,-,65.600,44.880
'6:40.480',-0.078,-0.275,-,-,-,63.200,44.880
'6:40.488',-0.096,-0.300,-,-,-,62.400,44.880
'6:40.496',-0.104,-0.300,-,-,-,61.600,44.880
'6:40.504',-0.113,-0.325,-,-,-,60.800,44.880
'6:40.512',-0.113,-0.325,-,-,-,60.000,44.880
'6:40.520',-0.130,-0.325,-,-,-,60.000,44.880
'6:40.528',-0.139,-0.300,-,-,-,60.800,44.880
'6:40.536',-0.130,-0.275,-,-,-,62.400,44.880
'6:40.544',-0.113,-0.250,-,-,-,64.000,44.880
'6:40.552',-0.078,-0.225,-,-,-,66.400,44.880
'6:40.560',-0.078,-0.175,-,-,-,68.800,44.880
'6:40.568',-0.096,-0.150,-,-,-,71.200,44.880
'6:40.576',-0.096,-0.125,-,-,-,72.800,44.880
'6:40.584',-0.096,-0.100,-,-,-,75.200,44.880
'6:40.592',-0.096,-0.075,-,-,-,76.000,44.880
'6:40.600',-0.096,-0.050,-,-,-,77.600,44.880
'6:40.608',-0.104,0.000,-,-,-,77.600,44.880
'6:40.616',-0.104,0.025,-,-,-,78.400,44.880
'6:40.624',-0.104,0.050,-,-,-,78.400,44.880
'6:40.632',-0.104,0.050,-,-,-,78.400,44.880
'6:40.640',-0.104,0.075,-,-,-,78.400,44.880
'6:40.648',-0.104,0.075,-,-,-,78.400,44.880
'6:40.656',-0.096,0.075,-,-,-,77.600,44.880
'6:40.664',-0.078,0.075,-,-,-,76.800,44.880
'6:40.672',-0.078,0.075,-,-,-,75.200,44.880
'6:40.680',-0.096,0.050,-,-,-,74.400,44.880
'6:40.688',-0.096,0.050,-,-,-,73.600,44.880
'6:40.696',-0.078,0.075,-,-,-,71.200,44.880
'6:40.704',-0.070,0.100,-,-,-,69.600,44.880
'6:40.712',-0.070,0.075,-,-,-,69.600,44.880
'6:40.720',-0.070,0.050,-,-,-,70.400,44.880
'6:40.728',-0.078,0.050,-,-,-,72.800,44.880
'6:40.736',-0.070,0.075,-,-,-,76.800,44.880
'6:40.744',-0.043,0.125,-,-,-,80.000,44.880
'6:40.752',-0.035,0.150,-,-,-,83.200,44.880
'6:40.760',-0.043,0.150,-,-,-,86.400,44.880
'6:40.768',-0.052,0.125,-,-,-,89.600,44.880
'6:40.776',-0.052,0.125,-,-,-,93.600,44.880
'6:40.784',-0.052,0.100,-,-,-,96.800,44.880
'6:40.792',-0.052,0.050,-,-,-,99.200,44.880
'6:40.800',-0.052,0.025,-,-,-,100.800,44.880
'6:40.808',-0.052,0.000,-,-,-,101.600,44.880
'6:40.816',-0.052,0.000,-,-,-,102.400,44.880
'6:40.824',-0.078,-0.025,-,-,-,104.000,44.880
'6:40.832',-0.078,0.000,-,-,-,104.000,44.880
'6:40.840',-0.078,0.025,-,-,-,101.600,44.880
'6:40.848',-0.096,0.025,-,-,-,97.600,44.880
'6:40.856',-0.113,0.025,-,-,-,92.800,44.880
'6:40.864',-0.139,0.050,-,-,-,88.800,44.880
'6:40.872',-0.174,0.125,-,-,-,85.600,44.880
'6:40.880',-0.226,0.150,-,-,-,81.600,44.880
'6:40.888',-0.252,0.175,-,-,-,76.800,44.880
'6:40.896',-0.200,0.150,-,-,-,72.000,44.880
'6:40.904',-0.104,0.100,-,-,-,68.000,44.880
'6:40.912',-0.017,0.050,-,-,-,64.800,44.880
'6:40.920',0.009,0.025,-,-,-,63.200,44.880
'6:40.928',0.009,0.000,-,-,-,63.200,44.880
'6:40.936',0.009,-0.025,-,-,-,64.000,44.880
'6:40.944',0.017,-0.025,-,-,-,65.600,44.880
'6:40.952',0.035,-0.025,-,-,-,68.000,44.880
'6:40.960',0.009,-0.025,-,-,-,68.800,44.880
'6:40.968',0.009,-0.025,-,-,-,68.800,44.880
'6:40.976',0.009,0.000,-,-,-,67.200,44.880
'6:40.984',0.009,0.000,-,-,-,65.600,44.880
'6:40.992',0.017,0.025,-,-,-,64.800,44.880
'6:41.000',0.035,0.025,-,-,-,64.800,44.880
'6:41.008',0.043,0.025,-,-,-,64.800,44.880
'6:41.016',0.052,0.050,-,-,-,64.000,44.880
'6:41.024',0.070,0.075,-,-,-,63.200,44.880
'6:41.032',0.078,0.075,-,-,-,63.200,44.880
'6:41.040',0.070,0.075,-,-,-,64.800,44.880
'6:41.048',0.070,0.100,-,-,-,66.400,44.880
'6:41.056',0.078,0.125,-,-,-,68.800,44.880
'6:41.064',0.070,0.150,-,-,-,71.200,44.880
'6:41.072',0.052,0.150,-,-,-,73.600,44.880
'6:41.080',0.043,0.150,-,-,-,75.200,44.880
'6:41.088',0.035,0.150,-,-,-,76.800,44.880
'6:41.096',0.017,0.150,-,-,-,77.600,44.880
'6:41.104',0.017,0.175,-,-,-,79.200,44.880
'6:41.112',0.035,0.175,-,-,-,80.000,44.880
'6:41.120',0.017,0.150,-,-,-,81.600,44.880
'6:41.128',0.000,0.125,-,-,-,80.800,44.880
'6:41.136',0.009,0.100,-,-,-,80.000,44.880
'6:41.144',0.009,0.075,-,-,-,79.200,44.880
'6:41.152',0.000,0.050,-,-,-,79.200,44.880
'6:41.160',0.000,0.050,-,-,-,80.000,44.880
'6:41.168',-0.009,0.050,-,-,-,81.600,44.880
'6:41.176',-0.009,0.075,-,-,-,82.400,44.880
'6:41.184',0.000,0.075,-,-,-,84.000,44.880
'6:41.192',0.000,0.100,-,-,-,88.000,44.880
'6:41.200',0.000,0.150,-,-,-,92.000,44.880
'6:41.208',0.017,0.175,-,-,-,93.600,44.880
'6:41.216',0.052,0.200,-,-,-,92.800,44.880
'6:41.224',0.078,0.250,-,-,-,92.000,44.880
'6:41.232',0.078,0.250,-,-,-,92.000,44.880
'6:41.240',0.078,0.275,-,-,-,92.000,44.880
'6:41.248',0.078,0.250,-,-,-,92.000,44.880
'6:41.256',0.070,0.225,-,-,-,92.000,44.880
'6:41.264',0.043,0.200,-,-,-,92.800,44.880
'6:41.272',0.017,0.150,-,-,-,93.600,44.880
'6:41.280',0.009,0.100,-,-,-,95.200,44.880
'6:41.288',-0.009,0.050,-,-,-,96.000,44.880
'6:41.296',-0.009,0.025,-,-,-,96.000,44.880
'6:41.304',-0.017,0.000,-,-,-,92.800,44.880
'6:41.312',-0.035,-0.025,-,-,-,87.200,44.880
'6:41.320',-0.043,-0.025,-,-,-,78.400,44.880
'6:41.328',-0.052,-0.025,-,-,-,68.800,44.880
'6:41.336',-0.070,-0.050,-,-,-,57.600,44.880
'6:41.344',-0.078,-0.050,-,-,-,48.000,44.880
'6:41.352',-0.096,0.000,-,-,-,41.600,44.880
'6:41.360',-0.130,0.100,-,-,-,39.200,44.880
'6:41.368',-0.139,0.200,-,-,-,41.600,44.880
'6:41.376',-0.070,0.250,-,-,-,48.000,44.880
'6:41.384',0.009,0.200,-,-,-,56.800,44.880
'6:41.392',0.035,0.100,-,-,-,64.800,44.880
'6:41.400',0.009,0.025,-,-,-,72.800,44.880
'6:41.408',-0.009,-0.025,-,-,-,80.000,44.880
'6:41.416',-0.009,-0.050,-,-,-,85.600,44.880
'6:41.424',-0.009,-0.050,-,-,-,87.200,44.880
'6:41.432',-0.017,-0.075,-,-,-,87.200,44.880
'6:41.440',-0.035,-0.050,-,-,-,85.600,44.880
'6:41.448',-0.035,-0.050,-,-,-,83.200,44.880
'6:41.456',-0.035,-0.075,-,-,-,80.800,44.880
'6:41.464',-0.043,-0.075,-,-,-,77.600,44.880
'6:41.472',-0.043,-0.050,-,-,-,75.200,44.880
'6:41.480',-0.052,-0.050,-,-,-,73.600,44.880
'6:41.488',-0.043,-0.050,-,-,-,73.600,44.880
'6:41.496',-0.035,-0.025,-,-,-,74.400,44.880
'6:41.504',-0.043,-0.025,-,-,-,75.200,44.880
'6:41.512',-0.043,-0.025,-,-,-,76.000,44.880
'6:41.520',-0.052,-0.025,-,-,-,77.600,44.880
'6:41.528',-0.078,-0.025,-,-,-,79.200,44.880
'6:41.536',-0.104,-0.025,-,-,-,80.800,44.880
'6:41.544',-0.113,0.000,-,-,-,82.400,44.880
'6:41.552',-0.113,0.000,-,-,-,82.400,44.880
'6:41.560',-0.113,0.025,-,-,-,81.600,44.880
'6:41.568',-0.113,0.025,-,-,-,80.000,44.880
'6:41.576',-0.130,0.050,-,-,-,79.200,44.880
'6:41.584',-0.130,0.075,-,-,-,78.400,44.880
'6:41.592',-0.104,0.100,-,-,-,78.400,44.880
'6:41.600',-0.096,0.100,-,-,-,77.600,44.880
'6:41.608',-0.096,0.100,-,-,-,75.200,44.880
'6:41.616',-0.096,0.075,-,-,-,73.600,44.880
'6:41.624',-0.096,0.075,-,-,-,71.200,44.880
'6:41.632',-0.096,0.050,-,-,-,69.600,44.880
'6:41.640',-0.096,0.050,-,-,-,68.800,44.880
'6:41.648',-0.096,0.025,-,-,-,68.000,44.880
'6:41.656',-0.078,0.025,-,-,-,67.200,44.880
'6:41.664',-0.078,0.025,-,-,-,67.200,44.880
'6:41.672',-0.070,0.025,-,-,-,67.200,44.880
'6:41.680',-0.043,0.050,-,-,-,68.000,44.880
'6:41.688',-0.035,0.075,-,-,-,69.600,44.880
'6:41.696',-0.017,0.100,-,-,-,71.200,44.880
'6:41.704',-0.009,0.125,-,-,-,73.600,44.880
'6:41.712',-0.017,0.125,-,-,-,76.800,44.880
'6:41.720',-0.035,0.125,-,-,-,79.200,44.880
'6:41.728',-0.035,0.125,-,-,-,82.400,44.880
'6:41.736',-0.043,0.100,-,-,-,85.600,44.880
'6:41.744',-0.052,0.075,-,-,-,88.800,44.880
'6:41.752',-0.070,0.050,-,-,-,91.200,44.880
'6:41.760',-0.078,0.025,-,-,-,93.600,44.880
'6:41.768',-0.070,0.000,-,-,-,96.000,44.880
'6:41.776',-0.078,0.000,-,-,-,98.400,44.880
'6:41.784',-0.070,0.000,-,-,-,100.000,44.880
'6:41.792',-0.070,0.000,-,-,-,100.800,44.880
'6:41.800',-0.052,-0.025,-,-,-,100.800,44.880
'6:41.808',-0.052,0.000,-,-,-,100.000,44.880
'6:41.816',-0.052,0.000,-,-,-,97.600,44.880
'6:41.824',-0.078,0.000,-,-,-,94.400,44.880
'6:41.832',-0.130,0.050,-,-,-,90.400,44.880
'6:41.840',-0.139,0.150,-,-,-,86.400,44.880
