'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'14:27:04.432',0.125,-,-,0.085,71.200
'14:27:04.440',0.125,-,-,0.127,70.400
'14:27:04.448',0.125,-,-,0.028,70.400
'14:27:04.456',0.097,-,-,0.028,69.600
'14:27:04.464',0.069,-,-,0.028,69.600
'14:27:04.472',0.069,-,-,0.042,68.800
'14:27:04.480',0.083,-,-,0.014,68.800
'14:27:04.488',0.083,-,-,0.014,68.800
'14:27:04.496',0.083,-,-,0.000,69.600
'14:27:04.504',0.083,-,-,0.014,72.800
'14:27:04.512',0.069,-,-,0.000,77.600
'14:27:04.520',0.056,-,-,0.000,84.000
'14:27:04.528',0.042,-,-,0.000,91.200
'14:27:04.536',0.028,-,-,0.042,99.200
'14:27:04.544',0.028,-,-,-0.028,104.800
'14:27:04.552',0.028,-,-,-0.070,108.800
'14:27:04.560',0.028,-,-,-0.085,110.400
'14:27:04.568',0.028,-,-,-0.056,110.400
'14:27:04.576',0.014,-,-,-0.070,108.800
'14:27:04.584',0.028,-,-,-0.070,107.200
'14:27:04.592',0.042,-,-,-0.056,105.600
'14:27:04.600',0.069,-,-,-0.070,104.000
'14:27:04.608',0.083,-,-,-0.028,103.200
'14:27:04.616',0.125,-,-,-0.056,102.400
'14:27:04.624',0.139,-,-,-0.014,101.600
'14:27:04.632',0.167,-,-,0.028,100.000
'14:27:04.640',0.194,-,-,0.014,98.400
'14:27:04.648',0.208,-,-,0.028,96.000
'14:27:04.656',0.208,-,-,0.056,93.600
'14:27:04.664',0.236,-,-,0.056,90.400
'14:27:04.672',0.250,-,-,0.113,87.200
'14:27:04.680',0.250,-,-,0.085,84.000
'14:27:04.688',0.250,-,-,0.113,81.600
'14:27:04.696',0.236,-,-,0.070,80.000
'14:27:04.704',0.250,-,-,0.127,79.200
'14:27:04.712',0.264,-,-,0.169,78.400
'14:27:04.720',0.250,-,-,0.127,78.400
'14:27:04.728',0.250,-,-,0.127,78.400
'14:27:04.736',0.236,-,-,0.169,78.400
'14:27:04.744',0.208,-,-,0.197,78.400
'14:27:04.752',0.208,-,-,0.155,77.600
'14:27:04.760',0.208,-,-,0.127,77.600
'14:27:04.768',0.236,-,-,0.197,76.800
'14:27:04.776',0.208,-,-,0.085,76.000
'14:27:04.784',0.194,-,-,0.141,75.200
'14:27:04.792',0.181,-,-,0.155,74.400
'14:27:04.800',0.194,-,-,0.127,73.600
'14:27:04.808',0.194,-,-,0.141,73.600
'14:27:04.816',0.181,-,-,0.127,72.800
'14:27:04.824',0.181,-,-,0.169,72.000
'14:27:04.832',0.167,-,-,0.141,72.000
'14:27:04.840',0.153,-,-,0.113,71.200
'14:27:04.848',0.139,-,-,0.085,70.400
'14:27:04.856',0.125,-,-,0.085,70.400
'14:27:04.864',0.125,-,-,0.085,69.600
'14:27:04.872',0.125,-,-,0.056,69.600
'14:27:04.880',0.097,-,-,0.056,68.800
'14:27:04.888',0.083,-,-,0.070,68.000
'14:27:04.896',0.125,-,-,0.113,68.000
'14:27:04.904',0.139,-,-,0.085,67.200
'14:27:04.912',0.125,-,-,0.056,67.200
'14:27:04.920',0.097,-,-,0.042,66.400
'14:27:04.928',0.083,-,-,0.028,66.400
'14:27:04.936',0.069,-,-,0.056,66.400
'14:27:04.944',0.083,-,-,0.056,65.600
'14:27:04.952',0.083,-,-,0.056,65.600
'14:27:04.960',0.083,-,-,0.056,65.600
'14:27:04.968',0.083,-,-,0.070,65.600
'14:27:04.976',0.083,-,-,0.056,65.600
'14:27:04.984',0.069,-,-,0.085,64.800
'14:27:04.992',0.069,-,-,0.042,64.800
'14:27:05.000',0.069,-,-,0.085,64.800
'14:27:05.008',0.083,-,-,0.141,64.800
'14:27:05.016',0.083,-,-,0.000,64.000
'14:27:05.024',0.069,-,-,-0.014,64.000
'14:27:05.032',0.069,-,-,0.028,64.000
'14:27:05.040',0.069,-,-,0.014,64.000
'14:27:05.048',0.069,-,-,0.028,63.200
'14:27:05.056',0.069,-,-,0.000,63.200
'14:27:05.064',0.069,-,-,0.000,63.200
'14:27:05.072',0.083,-,-,0.014,63.200
'14:27:05.080',0.097,-,-,0.042,63.200
'14:27:05.088',0.139,-,-,0.000,63.200
'14:27:05.096',0.181,-,-,0.042,63.200
'14:27:05.104',0.250,-,-,0.085,62.400
'14:27:05.112',0.403,-,-,0.155,62.400
'14:27:05.120',0.653,-,-,0.380,62.400
'14:27:05.128',0.833,-,-,0.493,62.400
'14:27:05.136',0.833,-,-,0.225,61.600
'14:27:05.144',0.472,-,-,-0.183,61.600
'14:27:05.152',0.278,-,-,-0.254,60.800
'14:27:05.160',0.153,-,-,-0.183,60.800
'14:27:05.168',0.097,-,-,-0.141,60.000
'14:27:05.176',0.097,-,-,0.000,60.000
'14:27:05.184',0.125,-,-,-0.014,60.000
'14:27:05.192',0.125,-,-,0.028,59.200
'14:27:05.200',0.097,-,-,-0.014,59.200
'14:27:05.208',0.125,-,-,-0.070,59.200
'14:27:05.216',0.097,-,-,-0.028,59.200
'14:27:05.224',0.083,-,-,-0.028,59.200
'14:27:05.232',0.083,-,-,0.000,61.600
'14:27:05.240',0.125,-,-,-0.028,66.400
'14:27:05.248',0.153,-,-,-0.028,75.200
'14:27:05.256',0.167,-,-,-0.070,85.600
'14:27:05.264',0.181,-,-,-0.028,96.800
'14:27:05.272',0.181,-,-,-0.028,106.400
'14:27:05.280',0.167,-,-,-0.070,112.800
'14:27:05.288',0.181,-,-,-0.042,116.000
'14:27:05.296',0.194,-,-,-0.028,116.800
'14:27:05.304',0.208,-,-,-0.070,115.200
'14:27:05.312',0.236,-,-,-0.042,113.600
'14:27:05.320',0.250,-,-,-0.028,112.000
'14:27:05.328',0.250,-,-,-0.113,110.400
'14:27:05.336',0.250,-,-,-0.127,109.600
'14:27:05.344',0.264,-,-,-0.028,108.800
'14:27:05.352',0.264,-,-,-0.070,108.000
'14:27:05.360',0.264,-,-,-0.113,107.200
'14:27:05.368',0.264,-,-,-0.141,105.600
'14:27:05.376',0.278,-,-,-0.169,104.800
'14:27:05.384',0.292,-,-,-0.070,103.200
'14:27:05.392',0.292,-,-,-0.070,100.800
'14:27:05.400',0.292,-,-,-0.070,99.200
'14:27:05.408',0.292,-,-,-0.014,97.600
'14:27:05.416',0.292,-,-,0.000,95.200
'14:27:05.424',0.306,-,-,-0.014,92.800
'14:27:05.432',0.319,-,-,0.000,91.200
'14:27:05.440',0.319,-,-,0.000,88.800
'14:27:05.448',0.347,-,-,0.127,86.400
'14:27:05.456',0.361,-,-,0.056,84.800
'14:27:05.464',0.375,-,-,0.042,83.200
'14:27:05.472',0.375,-,-,0.155,83.200
'14:27:05.480',0.361,-,-,0.085,83.200
'14:27:05.488',0.319,-,-,0.127,83.200
'14:27:05.496',0.319,-,-,0.085,84.000
'14:27:05.504',0.319,-,-,0.169,84.000
'14:27:05.512',0.319,-,-,0.127,84.000
'14:27:05.520',0.319,-,-,0.113,83.200
'14:27:05.528',0.319,-,-,0.183,82.400
'14:27:05.536',0.319,-,-,0.197,81.600
'14:27:05.544',0.306,-,-,0.070,80.800
'14:27:05.552',0.292,-,-,0.113,80.000
'14:27:05.560',0.292,-,-,0.085,79.200
'14:27:05.568',0.278,-,-,0.113,78.400
'14:27:05.576',0.278,-,-,0.070,77.600
'14:27:05.584',0.278,-,-,0.085,76.800
'14:27:05.592',0.319,-,-,0.056,76.000
'14:27:05.600',0.431,-,-,0.225,76.000
'14:27:05.608',0.639,-,-,0.465,75.200
'14:27:05.616',0.750,-,-,0.507,74.400
'14:27:05.624',0.625,-,-,-0.113,74.400
'14:27:05.632',0.389,-,-,-0.310,73.600
'14:27:05.640',0.264,-,-,-0.282,72.800
'14:27:05.648',0.264,-,-,-0.127,72.800
'14:27:05.656',0.292,-,-,0.028,72.000
'14:27:05.664',0.319,-,-,0.141,72.000
'14:27:05.672',0.319,-,-,0.155,71.200
'14:27:05.680',0.347,-,-,0.169,71.200
'14:27:05.688',0.347,-,-,0.070,71.200
'14:27:05.696',0.319,-,-,0.127,70.400
'14:27:05.704',0.306,-,-,0.113,70.400
'14:27:05.712',0.306,-,-,0.085,69.600
'14:27:05.720',0.306,-,-,0.113,69.600
'14:27:05.728',0.306,-,-,0.056,71.200
'14:27:05.736',0.292,-,-,0.028,73.600
'14:27:05.744',0.278,-,-,0.085,78.400
'14:27:05.752',0.264,-,-,0.042,85.600
'14:27:05.760',0.250,-,-,0.028,93.600
'14:27:05.768',0.250,-,-,0.042,101.600
'14:27:05.776',0.236,-,-,0.028,108.000
'14:27:05.784',0.250,-,-,-0.014,112.800
'14:27:05.792',0.250,-,-,-0.056,114.400
'14:27:05.800',0.250,-,-,0.000,113.600
'14:27:05.808',0.250,-,-,-0.056,112.800
'14:27:05.816',0.250,-,-,0.028,111.200
'14:27:05.824',0.264,-,-,-0.028,109.600
'14:27:05.832',0.278,-,-,-0.070,108.000
'14:27:05.840',0.278,-,-,-0.028,107.200
'14:27:05.848',0.306,-,-,-0.014,106.400
'14:27:05.856',0.347,-,-,-0.042,105.600
'14:27:05.864',0.375,-,-,0.000,104.800
'14:27:05.872',0.403,-,-,0.042,103.200
'14:27:05.880',0.431,-,-,0.070,101.600
'14:27:05.888',0.458,-,-,0.113,99.200
'14:27:05.896',0.472,-,-,0.127,96.800
'14:27:05.904',0.486,-,-,0.169,94.400
'14:27:05.912',0.500,-,-,0.155,91.200
'14:27:05.920',0.514,-,-,0.141,88.000
'14:27:05.928',0.528,-,-,0.197,85.600
'14:27:05.936',0.542,-,-,0.197,84.000
'14:27:05.944',0.542,-,-,0.268,82.400
'14:27:05.952',0.569,-,-,0.268,82.400
'14:27:05.960',0.639,-,-,0.254,81.600
'14:27:05.968',0.847,-,-,0.423,81.600
'14:27:05.976',1.042,-,-,0.606,81.600
'14:27:05.984',1.069,-,-,0.620,81.600
'14:27:05.992',0.653,-,-,-0.070,80.800
'14:27:06.000',0.403,-,-,-0.169,80.800
'14:27:06.008',0.306,-,-,-0.070,80.000
'14:27:06.016',0.292,-,-,0.028,79.200
'14:27:06.024',0.306,-,-,0.113,78.400
'14:27:06.032',0.306,-,-,0.127,77.600
'14:27:06.040',0.306,-,-,0.155,76.800
'14:27:06.048',0.292,-,-,0.127,76.800
