'Elapsed time','I','II','III','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'34:43:46.576',-,0.064,-,-,-0.024,-,73.920,-
'34:43:46.584',-,0.064,-,-,-0.016,-,72.960,-
'34:43:46.592',-,0.136,-,-,-0.040,-,72.960,-
'34:43:46.600',-,0.200,-,-,-0.080,-,73.920,-
'34:43:46.608',-,0.240,-,-,-0.112,-,73.920,-
'34:43:46.616',-,0.272,-,-,-0.136,-,76.320,-
'34:43:46.624',-,0.272,-,-,-0.136,-,77.760,-
'34:43:46.632',-,0.240,-,-,-0.128,-,78.720,-
'34:43:46.640',-,0.168,-,-,-0.096,-,80.160,-
'34:43:46.648',-,0.096,-,-,-0.064,-,81.120,-
'34:43:46.656',-,0.032,-,-,-0.040,-,82.560,-
'34:43:46.664',-,0.000,-,-,-0.024,-,82.560,-
'34:43:46.672',-,0.000,-,-,-0.016,-,82.560,-
'34:43:46.680',-,0.000,-,-,-0.016,-,82.560,-
'34:43:46.688',-,0.000,-,-,-0.016,-,82.560,-
'34:43:46.696',-,0.000,-,-,-0.016,-,82.560,-
'34:43:46.704',-,0.000,-,-,-0.016,-,82.560,-
'34:43:46.712',-,0.000,-,-,-0.016,-,82.560,-
'34:43:46.720',-,-0.032,-,-,0.000,-,82.560,-
'34:43:46.728',-,0.000,-,-,-0.016,-,81.120,-
'34:43:46.736',-,0.000,-,-,-0.016,-,81.120,-
'34:43:46.744',-,0.000,-,-,-0.016,-,81.120,-
'34:43:46.752',-,0.000,-,-,-0.016,-,81.120,-
'34:43:46.760',-,0.000,-,-,-0.016,-,80.160,-
'34:43:46.768',-,0.000,-,-,-0.008,-,80.160,-
'34:43:46.776',-,0.000,-,-,-0.024,-,80.160,-
'34:43:46.784',-,0.000,-,-,-0.016,-,78.720,-
'34:43:46.792',-,0.064,-,-,-0.040,-,78.720,-
'34:43:46.800',-,0.200,-,-,-0.072,-,78.720,-
'34:43:46.808',-,0.304,-,-,-0.096,-,77.760,-
'34:43:46.816',-,0.272,-,-,-0.096,-,77.760,-
'34:43:46.824',-,0.200,-,-,-0.144,-,77.760,-
'34:43:46.832',-,0.200,-,-,-0.168,-,76.320,-
'34:43:46.840',-,0.200,-,-,-0.160,-,76.320,-
'34:43:46.848',-,0.272,-,-,-0.168,-,76.320,-
'34:43:46.856',-,0.240,-,-,-0.176,-,76.320,-
'34:43:46.864',-,0.064,-,-,-0.144,-,76.320,-
'34:43:46.872',-,-0.064,-,-,-0.112,-,76.320,-
'34:43:46.880',-,-0.304,-,-,-0.040,-,77.760,-
'34:43:46.888',-,-0.544,-,-,0.016,-,77.760,-
'34:43:46.896',-,-0.584,-,-,0.048,-,77.760,-
'34:43:46.904',-,-0.616,-,-,0.080,-,77.760,-
'34:43:46.912',-,-0.376,-,-,0.072,-,78.720,-
'34:43:46.920',-,-0.272,-,-,0.064,-,78.720,-
'34:43:46.928',-,-0.064,-,-,0.032,-,78.720,-
'34:43:46.936',-,-0.064,-,-,0.024,-,78.720,-
'34:43:46.944',-,-0.032,-,-,0.032,-,78.720,-
'34:43:46.952',-,0.000,-,-,0.016,-,78.720,-
'34:43:46.960',-,0.000,-,-,0.032,-,78.720,-
'34:43:46.968',-,0.000,-,-,0.032,-,78.720,-
'34:43:46.976',-,0.000,-,-,0.016,-,80.160,-
'34:43:46.984',-,0.000,-,-,0.032,-,81.120,-
'34:43:46.992',-,0.000,-,-,0.032,-,83.520,-
'34:43:47.000',-,0.000,-,-,0.024,-,85.920,-
'34:43:47.008',-,0.000,-,-,0.048,-,89.760,-
'34:43:47.016',-,-0.064,-,-,0.072,-,94.560,-
'34:43:47.024',-,0.000,-,-,0.048,-,99.360,-
'34:43:47.032',-,-0.032,-,-,0.072,-,104.160,-
'34:43:47.040',-,0.032,-,-,0.032,-,108.960,-
'34:43:47.048',-,-0.032,-,-,0.080,-,112.320,-
'34:43:47.056',-,-0.096,-,-,0.112,-,116.160,-
'34:43:47.064',-,0.096,-,-,0.032,-,119.520,-
'34:43:47.072',-,0.136,-,-,0.016,-,121.920,-
'34:43:47.080',-,0.136,-,-,0.024,-,123.360,-
'34:43:47.088',-,0.136,-,-,0.032,-,124.320,-
'34:43:47.096',-,0.096,-,-,0.016,-,124.320,-
'34:43:47.104',-,0.064,-,-,0.024,-,124.320,-
'34:43:47.112',-,0.168,-,-,-0.008,-,124.320,-
'34:43:47.120',-,0.168,-,-,-0.016,-,123.360,-
'34:43:47.128',-,0.200,-,-,-0.032,-,120.960,-
'34:43:47.136',-,0.096,-,-,0.000,-,119.520,-
'34:43:47.144',-,0.064,-,-,-0.008,-,117.120,-
'34:43:47.152',-,0.168,-,-,-0.024,-,114.720,-
'34:43:47.160',-,0.136,-,-,-0.016,-,112.320,-
'34:43:47.168',-,0.240,-,-,-0.064,-,109.920,-
'34:43:47.176',-,0.168,-,-,-0.080,-,106.560,-
'34:43:47.184',-,0.304,-,-,-0.144,-,104.160,-
'34:43:47.192',-,0.376,-,-,-0.168,-,101.760,-
'34:43:47.200',-,0.200,-,-,-0.112,-,99.360,-
'34:43:47.208',-,0.000,-,-,-0.064,-,97.920,-
'34:43:47.216',-,0.136,-,-,-0.080,-,97.920,-
'34:43:47.224',-,0.168,-,-,-0.096,-,97.920,-
'34:43:47.232',-,0.000,-,-,-0.016,-,99.360,-
'34:43:47.240',-,0.032,-,-,-0.032,-,100.320,-
'34:43:47.248',-,0.064,-,-,-0.016,-,102.720,-
'34:43:47.256',-,-0.064,-,-,0.000,-,104.160,-
'34:43:47.264',-,0.000,-,-,0.008,-,105.120,-
'34:43:47.272',-,0.000,-,-,-0.016,-,106.560,-
'34:43:47.280',-,-0.096,-,-,0.016,-,107.520,-
'34:43:47.288',-,-0.168,-,-,0.032,-,107.520,-
'34:43:47.296',-,-0.096,-,-,0.032,-,107.520,-
'34:43:47.304',-,0.032,-,-,-0.024,-,107.520,-
