'Elapsed time','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'13:51:32.352',-0.128,-,-,85.600,30.800
'13:51:32.360',-0.112,-,-,87.200,29.200
'13:51:32.368',-0.112,-,-,88.000,27.200
'13:51:32.376',-0.080,-,-,88.000,25.600
'13:51:32.384',-0.080,-,-,88.800,23.600
'13:51:32.392',-0.048,-,-,88.800,22.000
'13:51:32.400',-0.032,-,-,89.600,20.000
'13:51:32.408',-0.016,-,-,90.400,18.000
'13:51:32.416',0.000,-,-,90.400,16.800
'13:51:32.424',-0.016,-,-,88.800,16.400
'13:51:32.432',-0.032,-,-,88.000,16.800
'13:51:32.440',-0.016,-,-,87.200,17.600
'13:51:32.448',-0.016,-,-,85.600,18.800
'13:51:32.456',0.000,-,-,84.000,19.600
'13:51:32.464',0.000,-,-,82.400,20.800
'13:51:32.472',0.000,-,-,80.800,21.600
'13:51:32.480',-0.016,-,-,79.200,22.000
'13:51:32.488',0.000,-,-,78.400,22.000
'13:51:32.496',0.000,-,-,77.600,22.000
'13:51:32.504',-0.016,-,-,76.800,21.600
'13:51:32.512',-0.016,-,-,76.800,20.800
'13:51:32.520',0.000,-,-,76.800,20.000
'13:51:32.528',0.000,-,-,76.800,19.600
'13:51:32.536',0.000,-,-,77.600,18.800
'13:51:32.544',0.000,-,-,77.600,18.000
'13:51:32.552',0.000,-,-,78.400,17.600
'13:51:32.560',0.032,-,-,79.200,17.200
'13:51:32.568',0.048,-,-,80.800,16.800
'13:51:32.576',0.080,-,-,81.600,16.800
'13:51:32.584',0.096,-,-,83.200,17.200
'13:51:32.592',0.096,-,-,84.000,17.200
'13:51:32.600',0.080,-,-,84.800,17.600
'13:51:32.608',0.096,-,-,86.400,17.600
'13:51:32.616',0.064,-,-,87.200,17.200
'13:51:32.624',0.096,-,-,88.000,16.400
'13:51:32.632',0.064,-,-,89.600,15.600
'13:51:32.640',0.032,-,-,90.400,15.200
'13:51:32.648',0.032,-,-,91.200,14.400
'13:51:32.656',0.016,-,-,92.000,14.400
'13:51:32.664',0.000,-,-,92.800,14.000
'13:51:32.672',-0.016,-,-,92.800,14.000
'13:51:32.680',0.000,-,-,92.800,13.600
'13:51:32.688',-0.016,-,-,93.600,13.600
'13:51:32.696',0.000,-,-,93.600,14.000
'13:51:32.704',0.000,-,-,93.600,14.400
'13:51:32.712',0.064,-,-,93.600,14.800
'13:51:32.720',0.176,-,-,92.800,15.200
'13:51:32.728',0.256,-,-,92.000,15.600
'13:51:32.736',0.304,-,-,92.000,15.600
'13:51:32.744',0.176,-,-,91.200,15.600
'13:51:32.752',0.032,-,-,90.400,15.200
'13:51:32.760',0.000,-,-,89.600,15.200
'13:51:32.768',0.032,-,-,88.800,14.800
'13:51:32.776',0.032,-,-,88.000,14.400
'13:51:32.784',0.016,-,-,86.400,14.000
'13:51:32.792',-0.032,-,-,85.600,14.000
'13:51:32.800',-0.112,-,-,84.000,13.600
'13:51:32.808',-0.080,-,-,83.200,13.600
'13:51:32.816',-0.048,-,-,81.600,13.200
'13:51:32.824',-0.112,-,-,79.200,12.800
'13:51:32.832',-0.080,-,-,77.600,12.800
'13:51:32.840',-0.048,-,-,75.200,12.800
'13:51:32.848',-0.032,-,-,73.600,13.200
'13:51:32.856',-0.016,-,-,71.200,14.400
'13:51:32.864',-0.032,-,-,69.600,16.000
'13:51:32.872',-0.048,-,-,68.000,18.400
'13:51:32.880',-0.032,-,-,67.200,21.200
'13:51:32.888',-0.048,-,-,66.400,24.400
'13:51:32.896',-0.032,-,-,66.400,28.000
'13:51:32.904',-0.032,-,-,66.400,30.800
'13:51:32.912',-0.064,-,-,67.200,33.600
'13:51:32.920',-0.064,-,-,67.200,35.600
'13:51:32.928',-0.048,-,-,68.000,36.800
'13:51:32.936',-0.032,-,-,69.600,37.200
'13:51:32.944',-0.064,-,-,71.200,37.200
'13:51:32.952',-0.048,-,-,72.800,36.400
'13:51:32.960',-0.032,-,-,75.200,36.000
'13:51:32.968',-0.064,-,-,76.800,34.800
'13:51:32.976',-0.048,-,-,79.200,33.600
'13:51:32.984',-0.080,-,-,80.800,32.800
'13:51:32.992',-0.064,-,-,82.400,31.600
'13:51:33.000',-0.064,-,-,84.000,30.400
'13:51:33.008',-0.064,-,-,85.600,29.200
'13:51:33.016',-0.064,-,-,86.400,28.000
'13:51:33.024',-0.048,-,-,87.200,26.400
'13:51:33.032',-0.032,-,-,86.400,24.800
'13:51:33.040',-0.032,-,-,86.400,22.800
'13:51:33.048',-0.048,-,-,86.400,20.800
'13:51:33.056',-0.032,-,-,86.400,18.400
'13:51:33.064',-0.016,-,-,86.400,16.000
'13:51:33.072',-0.032,-,-,85.600,14.400
'13:51:33.080',-0.016,-,-,84.000,13.200
'13:51:33.088',-0.048,-,-,83.200,12.800
'13:51:33.096',-0.032,-,-,81.600,13.200
'13:51:33.104',-0.032,-,-,80.000,14.400
'13:51:33.112',-0.064,-,-,78.400,15.600
'13:51:33.120',-0.032,-,-,76.800,16.800
'13:51:33.128',-0.032,-,-,75.200,17.600
'13:51:33.136',-0.032,-,-,73.600,18.000
'13:51:33.144',-0.032,-,-,72.800,18.400
'13:51:33.152',-0.064,-,-,72.000,18.400
'13:51:33.160',-0.112,-,-,71.200,18.000
'13:51:33.168',-0.144,-,-,71.200,17.600
'13:51:33.176',-0.208,-,-,71.200,17.200
'13:51:33.184',-0.272,-,-,72.000,16.400
'13:51:33.192',-0.288,-,-,72.800,15.600
'13:51:33.200',-0.352,-,-,72.800,15.200
'13:51:33.208',-0.464,-,-,73.600,14.800
'13:51:33.216',-0.608,-,-,75.200,14.400
'13:51:33.224',-0.752,-,-,76.000,14.000
'13:51:33.232',-0.912,-,-,76.800,14.000
'13:51:33.240',-0.960,-,-,77.600,13.600
'13:51:33.248',-0.976,-,-,77.600,13.200
'13:51:33.256',-0.864,-,-,77.600,13.200
'13:51:33.264',-0.896,-,-,77.600,12.800
'13:51:33.272',-0.528,-,-,76.800,12.800
'13:51:33.280',-0.304,-,-,76.000,12.400
'13:51:33.288',-0.112,-,-,75.200,12.000
'13:51:33.296',0.080,-,-,74.400,11.600
'13:51:33.304',0.224,-,-,72.800,11.200
'13:51:33.312',0.304,-,-,72.000,11.200
'13:51:33.320',0.320,-,-,70.400,11.200
'13:51:33.328',0.304,-,-,68.800,11.200
'13:51:33.336',0.320,-,-,68.000,11.600
'13:51:33.344',0.336,-,-,66.400,11.600
'13:51:33.352',0.320,-,-,64.800,12.000
'13:51:33.360',0.384,-,-,63.200,12.400
'13:51:33.368',0.384,-,-,62.400,12.800
'13:51:33.376',0.368,-,-,60.800,13.200
'13:51:33.384',0.416,-,-,60.000,13.600
'13:51:33.392',0.400,-,-,59.200,14.000
'13:51:33.400',0.448,-,-,58.400,14.000
'13:51:33.408',0.464,-,-,57.600,14.400
'13:51:33.416',0.448,-,-,57.600,14.800
'13:51:33.424',0.480,-,-,56.800,15.200
'13:51:33.432',0.528,-,-,56.800,15.600
'13:51:33.440',0.560,-,-,56.800,16.400
'13:51:33.448',0.528,-,-,56.800,17.200
'13:51:33.456',0.544,-,-,56.800,18.000
'13:51:33.464',0.560,-,-,56.800,18.800
'13:51:33.472',0.544,-,-,56.800,19.600
'13:51:33.480',0.512,-,-,56.000,20.000
'13:51:33.488',0.480,-,-,56.000,20.000
'13:51:33.496',0.464,-,-,55.200,20.400
'13:51:33.504',0.416,-,-,55.200,20.000
'13:51:33.512',0.368,-,-,54.400,19.600
'13:51:33.520',0.320,-,-,53.600,18.800
