'Elapsed time','I','II','V','MCL1','ABP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'172:40:50.448',-,0.000,-,-1.092,73.000,-
'172:40:50.456',-,0.008,-,-1.092,73.000,-
'172:40:50.464',-,0.008,-,-1.046,73.000,-
'172:40:50.472',-,0.008,-,-1.046,72.000,-
'172:40:50.480',-,0.008,-,-1.000,72.000,-
'172:40:50.488',-,0.024,-,-1.000,72.000,-
'172:40:50.496',-,0.040,-,-0.943,72.000,-
'172:40:50.504',-,0.040,-,-0.943,72.000,-
'172:40:50.512',-,0.040,-,-0.897,73.000,-
'172:40:50.520',-,0.056,-,-0.897,74.000,-
'172:40:50.528',-,0.072,-,-0.943,78.000,-
'172:40:50.536',-,0.088,-,-0.943,81.000,-
'172:40:50.544',-,0.104,-,-1.000,85.000,-
'172:40:50.552',-,0.120,-,-1.092,90.000,-
'172:40:50.560',-,0.136,-,-1.138,94.000,-
'172:40:50.568',-,0.144,-,-1.230,99.000,-
'172:40:50.576',-,0.160,-,-1.333,104.000,-
'172:40:50.584',-,0.176,-,-1.425,109.000,-
'172:40:50.592',-,0.176,-,-1.517,114.000,-
'172:40:50.600',-,0.176,-,-1.609,117.000,-
'172:40:50.608',-,0.160,-,-1.713,121.000,-
'172:40:50.616',-,0.144,-,-1.805,123.000,-
'172:40:50.624',-,0.136,-,-1.851,126.000,-
'172:40:50.632',-,0.104,-,-1.897,128.000,-
'172:40:50.640',-,0.072,-,-1.943,128.000,-
'172:40:50.648',-,0.040,-,-2.000,129.000,-
'172:40:50.656',-,0.008,-,-2.000,129.000,-
'172:40:50.664',-,0.000,-,-2.000,129.000,-
'172:40:50.672',-,0.000,-,-2.000,129.000,-
'172:40:50.680',-,0.000,-,-1.943,128.000,-
'172:40:50.688',-,-0.008,-,-1.897,127.000,-
'172:40:50.696',-,-0.008,-,-1.897,124.000,-
'172:40:50.704',-,0.000,-,-1.851,122.000,-
'172:40:50.712',-,0.000,-,-1.805,120.000,-
'172:40:50.720',-,-0.008,-,-1.759,116.000,-
'172:40:50.728',-,-0.008,-,-1.759,114.000,-
'172:40:50.736',-,-0.024,-,-1.713,110.000,-
'172:40:50.744',-,-0.008,-,-1.667,106.000,-
'172:40:50.752',-,0.000,-,-1.609,103.000,-
'172:40:50.760',-,0.000,-,-1.517,100.000,-
'172:40:50.768',-,0.008,-,-1.471,98.000,-
'172:40:50.776',-,0.024,-,-1.379,97.000,-
'172:40:50.784',-,0.040,-,-1.333,94.000,-
'172:40:50.792',-,0.056,-,-1.230,93.000,-
'172:40:50.800',-,0.088,-,-1.092,92.000,-
'172:40:50.808',-,0.104,-,-1.000,91.000,-
'172:40:50.816',-,0.088,-,-0.851,90.000,-
'172:40:50.824',-,0.056,-,-0.759,90.000,-
'172:40:50.832',-,0.056,-,-0.667,88.000,-
'172:40:50.840',-,0.024,-,-0.517,88.000,-
'172:40:50.848',-,0.000,-,-0.425,87.000,-
'172:40:50.856',-,-0.040,-,-0.379,87.000,-
'172:40:50.864',-,-0.072,-,-0.276,86.000,-
'172:40:50.872',-,-0.072,-,-0.230,86.000,-
'172:40:50.880',-,-0.072,-,-0.184,86.000,-
