'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'6:14:59.064',0.128,-,2.760,-,44.000,-
'6:14:59.072',0.144,-,2.760,-,45.600,-
'6:14:59.080',0.144,-,2.760,-,48.000,-
'6:14:59.088',0.152,-,2.760,-,50.400,-
'6:14:59.096',0.152,-,2.760,-,52.800,-
'6:14:59.104',0.152,-,2.760,-,54.400,-
'6:14:59.112',0.168,-,2.760,-,56.000,-
'6:14:59.120',0.152,-,2.760,-,57.600,-
'6:14:59.128',0.152,-,2.760,-,59.200,-
'6:14:59.136',0.152,-,2.736,-,60.000,-
'6:14:59.144',0.168,-,2.712,-,61.600,-
'6:14:59.152',0.152,-,2.672,-,61.600,-
'6:14:59.160',0.144,-,2.648,-,62.400,-
'6:14:59.168',0.112,-,2.608,-,63.200,-
'6:14:59.176',0.088,-,2.560,-,63.200,-
'6:14:59.184',0.072,-,2.536,-,63.200,-
'6:14:59.192',0.064,-,2.496,-,62.400,-
'6:14:59.200',0.048,-,2.432,-,61.600,-
'6:14:59.208',0.048,-,2.384,-,60.800,-
'6:14:59.216',0.064,-,2.344,-,60.000,-
'6:14:59.224',0.072,-,2.280,-,58.400,-
'6:14:59.232',0.088,-,2.232,-,56.800,-
'6:14:59.240',0.104,-,2.192,-,56.000,-
'6:14:59.248',0.104,-,2.128,-,54.400,-
'6:14:59.256',0.112,-,2.080,-,53.600,-
'6:14:59.264',0.024,-,2.016,-,52.800,-
'6:14:59.272',-0.144,-,1.976,-,52.000,-
'6:14:59.280',-0.336,-,1.912,-,51.200,-
'6:14:59.288',-0.480,-,1.864,-,51.200,-
'6:14:59.296',-0.592,-,1.800,-,50.400,-
'6:14:59.304',-0.640,-,1.736,-,49.600,-
'6:14:59.312',-0.656,-,1.672,-,49.600,-
'6:14:59.320',-0.592,-,1.608,-,48.800,-
'6:14:59.328',-0.512,-,1.536,-,48.800,-
'6:14:59.336',-0.456,-,1.472,-,49.600,-
'6:14:59.344',-0.368,-,1.408,-,49.600,-
'6:14:59.352',-0.232,-,1.344,-,48.000,-
'6:14:59.360',-0.072,-,1.280,-,46.400,-
'6:14:59.368',0.072,-,1.216,-,45.600,-
'6:14:59.376',0.192,-,1.152,-,46.400,-
'6:14:59.384',0.256,-,1.080,-,48.000,-
'6:14:59.392',0.288,-,1.016,-,48.000,-
'6:14:59.400',0.296,-,0.952,-,46.400,-
'6:14:59.408',0.328,-,0.888,-,45.600,-
'6:14:59.416',0.328,-,0.824,-,45.600,-
'6:14:59.424',0.336,-,0.776,-,46.400,-
'6:14:59.432',0.336,-,0.712,-,48.000,-
'6:14:59.440',0.336,-,0.672,-,48.800,-
'6:14:59.448',0.352,-,0.624,-,50.400,-
'6:14:59.456',0.336,-,0.584,-,52.800,-
'6:14:59.464',0.328,-,0.536,-,56.000,-
'6:14:59.472',0.336,-,0.520,-,58.400,-
'6:14:59.480',0.368,-,0.472,-,60.000,-
'6:14:59.488',0.368,-,0.432,-,61.600,-
'6:14:59.496',0.376,-,0.384,-,63.200,-
'6:14:59.504',0.368,-,0.368,-,64.000,-
'6:14:59.512',0.336,-,0.320,-,65.600,-
'6:14:59.520',0.312,-,0.280,-,66.400,-
'6:14:59.528',0.272,-,0.256,-,66.400,-
'6:14:59.536',0.248,-,0.216,-,67.200,-
'6:14:59.544',0.208,-,0.192,-,67.200,-
'6:14:59.552',0.168,-,0.152,-,67.200,-
'6:14:59.560',0.144,-,0.128,-,67.200,-
'6:14:59.568',0.112,-,0.104,-,66.400,-
'6:14:59.576',0.088,-,0.080,-,65.600,-
'6:14:59.584',0.064,-,0.064,-,64.800,-
'6:14:59.592',0.032,-,0.040,-,63.200,-
'6:14:59.600',0.008,-,0.016,-,61.600,-
'6:14:59.608',0.000,-,0.016,-,60.000,-
'6:14:59.616',0.000,-,0.000,-,59.200,-
'6:14:59.624',-0.008,-,-0.016,-,58.400,-
'6:14:59.632',-0.008,-,-0.040,-,57.600,-
'6:14:59.640',-0.008,-,-0.064,-,56.800,-
'6:14:59.648',-0.024,-,-0.080,-,56.000,-
'6:14:59.656',-0.008,-,-0.104,-,55.200,-
'6:14:59.664',0.000,-,-0.152,-,54.400,-
'6:14:59.672',0.008,-,-0.168,-,53.600,-
'6:14:59.680',0.000,-,-0.216,-,52.800,-
'6:14:59.688',-0.008,-,-0.232,-,52.000,-
'6:14:59.696',-0.032,-,-0.256,-,52.000,-
'6:14:59.704',-0.048,-,-0.304,-,51.200,-
'6:14:59.712',-0.048,-,-0.320,-,51.200,-
'6:14:59.720',-0.048,-,-0.344,-,51.200,-
'6:14:59.728',-0.072,-,-0.344,-,50.400,-
'6:14:59.736',-0.064,-,-0.368,-,50.400,-
'6:14:59.744',-0.032,-,-0.384,-,50.400,-
'6:14:59.752',-0.032,-,-0.408,-,50.400,-
'6:14:59.760',-0.032,-,-0.408,-,50.400,-
'6:14:59.768',-0.032,-,-0.432,-,50.400,-
'6:14:59.776',-0.024,-,-0.456,-,50.400,-
'6:14:59.784',-0.024,-,-0.456,-,50.400,-
'6:14:59.792',-0.032,-,-0.472,-,50.400,-
'6:14:59.800',-0.032,-,-0.496,-,50.400,-
'6:14:59.808',-0.048,-,-0.496,-,50.400,-
'6:14:59.816',-0.048,-,-0.520,-,50.400,-
'6:14:59.824',-0.032,-,-0.536,-,49.600,-
'6:14:59.832',-0.032,-,-0.560,-,49.600,-
'6:14:59.840',-0.032,-,-0.560,-,49.600,-
'6:14:59.848',-0.032,-,-0.584,-,49.600,-
'6:14:59.856',-0.032,-,-0.584,-,49.600,-
'6:14:59.864',-0.048,-,-0.608,-,49.600,-
'6:14:59.872',-0.048,-,-0.608,-,49.600,-
'6:14:59.880',-0.032,-,-0.624,-,48.800,-
'6:14:59.888',-0.024,-,-0.648,-,48.800,-
'6:14:59.896',-0.032,-,-0.688,-,48.800,-
'6:14:59.904',-0.032,-,-0.712,-,48.800,-
'6:14:59.912',-0.024,-,-0.760,-,48.800,-
'6:14:59.920',-0.024,-,-0.800,-,48.000,-
'6:14:59.928',-0.008,-,-0.864,-,48.000,-
'6:14:59.936',0.024,-,-0.912,-,47.200,-
'6:14:59.944',0.048,-,-0.976,-,47.200,-
'6:14:59.952',0.064,-,-1.040,-,47.200,-
'6:14:59.960',0.032,-,-1.080,-,47.200,-
'6:14:59.968',-0.088,-,-1.152,-,47.200,-
'6:14:59.976',-0.272,-,-1.216,-,47.200,-
'6:14:59.984',-0.392,-,-1.256,-,47.200,-
'6:14:59.992',-0.416,-,-1.320,-,47.200,-
'6:15:00.000',-0.392,-,-1.384,-,47.200,-
'6:15:00.008',-0.312,-,-1.456,-,46.400,-
'6:15:00.016',-0.192,-,-1.520,-,44.000,-
'6:15:00.024',-0.088,-,-1.584,-,42.400,-
'6:15:00.032',-0.024,-,-1.648,-,44.000,-
'6:15:00.040',0.000,-,-1.712,-,45.600,-
'6:15:00.048',0.024,-,-1.776,-,45.600,-
'6:15:00.056',0.032,-,-1.840,-,44.800,-
'6:15:00.064',0.048,-,-1.912,-,44.800,-
'6:15:00.072',0.032,-,-1.952,-,44.800,-
'6:15:00.080',0.032,-,-2.000,-,43.200,-
'6:15:00.088',0.032,-,-2.064,-,42.400,-
'6:15:00.096',0.048,-,-2.104,-,44.000,-
'6:15:00.104',0.048,-,-2.168,-,44.800,-
'6:15:00.112',0.048,-,-2.232,-,46.400,-
'6:15:00.120',0.064,-,-2.280,-,48.800,-
'6:15:00.128',0.064,-,-2.344,-,53.600,-
'6:15:00.136',0.064,-,-2.408,-,58.400,-
'6:15:00.144',0.072,-,-2.472,-,62.400,-
'6:15:00.152',0.072,-,-2.520,-,63.200,-
'6:15:00.160',0.072,-,-2.536,-,64.000,-
'6:15:00.168',0.072,-,-2.584,-,65.600,-
'6:15:00.176',0.072,-,-2.608,-,68.800,-
'6:15:00.184',0.088,-,-2.608,-,73.600,-
'6:15:00.192',0.088,-,-2.584,-,77.600,-
'6:15:00.200',0.104,-,-2.584,-,79.200,-
'6:15:00.208',0.104,-,-2.536,-,79.200,-
'6:15:00.216',0.088,-,-2.496,-,80.000,-
'6:15:00.224',0.072,-,-2.456,-,80.000,-
'6:15:00.232',0.048,-,-2.384,-,80.000,-
'6:15:00.240',0.032,-,-2.344,-,79.200,-
'6:15:00.248',0.024,-,-2.280,-,77.600,-
'6:15:00.256',0.000,-,-2.232,-,76.800,-
'6:15:00.264',-0.008,-,-2.168,-,76.000,-
'6:15:00.272',-0.008,-,-2.128,-,74.400,-
'6:15:00.280',0.000,-,-2.080,-,72.800,-
'6:15:00.288',-0.008,-,-2.016,-,70.400,-
'6:15:00.296',0.000,-,-1.976,-,68.000,-
'6:15:00.304',0.000,-,-1.912,-,65.600,-
'6:15:00.312',0.000,-,-1.840,-,63.200,-
'6:15:00.320',-0.024,-,-1.776,-,60.800,-
'6:15:00.328',-0.024,-,-1.712,-,59.200,-
'6:15:00.336',-0.024,-,-1.648,-,57.600,-
'6:15:00.344',-0.032,-,-1.584,-,56.800,-
'6:15:00.352',-0.032,-,-1.520,-,56.000,-
'6:15:00.360',-0.032,-,-1.456,-,56.000,-
'6:15:00.368',-0.024,-,-1.368,-,55.200,-
'6:15:00.376',-0.024,-,-1.304,-,54.400,-
'6:15:00.384',-0.032,-,-1.216,-,54.400,-
'6:15:00.392',-0.032,-,-1.128,-,53.600,-
'6:15:00.400',-0.032,-,-1.064,-,52.800,-
'6:15:00.408',-0.032,-,-0.976,-,52.800,-
'6:15:00.416',-0.024,-,-0.864,-,52.000,-
'6:15:00.424',-0.024,-,-0.776,-,51.200,-
'6:15:00.432',-0.024,-,-0.672,-,51.200,-
'6:15:00.440',-0.008,-,-0.560,-,51.200,-
'6:15:00.448',-0.008,-,-0.456,-,50.400,-
'6:15:00.456',0.000,-,-0.320,-,50.400,-
'6:15:00.464',0.008,-,-0.192,-,51.200,-
'6:15:00.472',0.032,-,-0.064,-,51.200,-
'6:15:00.480',0.048,-,0.064,-,51.200,-
'6:15:00.488',0.024,-,0.192,-,50.400,-
'6:15:00.496',-0.088,-,0.304,-,50.400,-
'6:15:00.504',-0.256,-,0.432,-,50.400,-
'6:15:00.512',-0.368,-,0.536,-,50.400,-
'6:15:00.520',-0.416,-,0.624,-,50.400,-
'6:15:00.528',-0.416,-,0.712,-,50.400,-
'6:15:00.536',-0.312,-,0.800,-,50.400,-
'6:15:00.544',-0.192,-,0.840,-,49.600,-
'6:15:00.552',-0.104,-,0.888,-,49.600,-
'6:15:00.560',-0.024,-,0.912,-,49.600,-
'6:15:00.568',0.000,-,0.928,-,48.800,-
'6:15:00.576',0.008,-,0.928,-,48.800,-
'6:15:00.584',0.032,-,0.928,-,48.800,-
'6:15:00.592',0.032,-,0.928,-,48.800,-
'6:15:00.600',0.032,-,0.912,-,48.000,-
'6:15:00.608',0.032,-,0.912,-,48.000,-
'6:15:00.616',0.032,-,0.912,-,48.000,-
'6:15:00.624',0.024,-,0.912,-,47.200,-
'6:15:00.632',0.032,-,0.912,-,47.200,-
'6:15:00.640',0.032,-,0.912,-,47.200,-
'6:15:00.648',0.048,-,0.912,-,47.200,-
'6:15:00.656',0.064,-,0.928,-,48.000,-
'6:15:00.664',0.064,-,0.952,-,49.600,-
'6:15:00.672',0.072,-,0.976,-,52.000,-
'6:15:00.680',0.072,-,1.000,-,54.400,-
'6:15:00.688',0.072,-,1.016,-,57.600,-
'6:15:00.696',0.072,-,1.040,-,60.000,-
'6:15:00.704',0.072,-,1.064,-,61.600,-
'6:15:00.712',0.088,-,1.080,-,63.200,-
'6:15:00.720',0.064,-,1.104,-,64.000,-
'6:15:00.728',0.064,-,1.152,-,64.800,-
'6:15:00.736',0.064,-,1.168,-,66.400,-
'6:15:00.744',0.072,-,1.192,-,67.200,-
'6:15:00.752',0.064,-,1.232,-,68.000,-
'6:15:00.760',0.032,-,1.280,-,68.800,-
'6:15:00.768',0.024,-,1.320,-,68.800,-
'6:15:00.776',0.008,-,1.368,-,68.800,-
'6:15:00.784',0.000,-,1.408,-,68.000,-
'6:15:00.792',-0.008,-,1.472,-,67.200,-
'6:15:00.800',-0.024,-,1.520,-,65.600,-
'6:15:00.808',-0.008,-,1.584,-,64.000,-
'6:15:00.816',-0.008,-,1.648,-,63.200,-
'6:15:00.824',0.000,-,1.712,-,60.800,-
'6:15:00.832',0.008,-,1.776,-,59.200,-
'6:15:00.840',0.024,-,1.824,-,57.600,-
'6:15:00.848',0.032,-,1.888,-,56.800,-
'6:15:00.856',0.008,-,1.952,-,55.200,-
'6:15:00.864',-0.104,-,2.016,-,54.400,-
'6:15:00.872',-0.288,-,2.080,-,53.600,-
'6:15:00.880',-0.456,-,2.152,-,53.600,-
'6:15:00.888',-0.576,-,2.192,-,52.800,-
'6:15:00.896',-0.656,-,2.232,-,52.000,-
'6:15:00.904',-0.704,-,2.304,-,51.200,-
'6:15:00.912',-0.680,-,2.344,-,50.400,-
'6:15:00.920',-0.600,-,2.368,-,49.600,-
'6:15:00.928',-0.536,-,2.408,-,49.600,-
'6:15:00.936',-0.472,-,2.432,-,48.800,-
'6:15:00.944',-0.368,-,2.456,-,48.800,-
'6:15:00.952',-0.232,-,2.472,-,48.000,-
'6:15:00.960',-0.072,-,2.496,-,48.000,-
'6:15:00.968',0.064,-,2.496,-,48.000,-
'6:15:00.976',0.168,-,2.520,-,48.000,-
'6:15:00.984',0.216,-,2.520,-,48.000,-
'6:15:00.992',0.232,-,2.520,-,48.000,-
'6:15:01.000',0.248,-,2.520,-,48.000,-
'6:15:01.008',0.256,-,2.496,-,47.200,-
'6:15:01.016',0.272,-,2.496,-,47.200,-
'6:15:01.024',0.272,-,2.496,-,48.000,-
'6:15:01.032',0.272,-,2.496,-,48.000,-
'6:15:01.040',0.288,-,2.496,-,48.800,-
'6:15:01.048',0.288,-,2.496,-,51.200,-
'6:15:01.056',0.272,-,2.496,-,52.800,-
'6:15:01.064',0.288,-,2.496,-,56.000,-
