'Elapsed time','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'48:47:42.200',0.097,-,111.960,62.280
'48:47:42.208',0.075,-,109.560,61.080
'48:47:42.216',0.097,-,107.160,60.360
'48:47:42.224',0.075,-,103.920,59.880
'48:47:42.232',0.075,-,100.680,59.520
'48:47:42.240',0.054,-,97.560,59.160
'48:47:42.248',0.075,-,95.160,58.320
'48:47:42.256',0.054,-,92.760,57.960
'48:47:42.264',0.032,-,91.920,57.480
'48:47:42.272',0.054,-,92.760,57.120
'48:47:42.280',0.032,-,94.320,56.760
'48:47:42.288',0.054,-,97.560,56.280
'48:47:42.296',0.032,-,100.680,55.920
'48:47:42.304',0.032,-,104.760,54.720
'48:47:42.312',0.054,-,109.560,53.880
'48:47:42.320',0.032,-,113.520,52.680
'48:47:42.328',0.054,-,117.480,51.960
'48:47:42.336',0.032,-,120.720,50.760
'48:47:42.344',0.032,-,123.120,49.560
'48:47:42.352',0.032,-,124.680,48.360
'48:47:42.360',0.032,-,126.360,47.160
'48:47:42.368',0.032,-,127.080,45.960
'48:47:42.376',0.032,-,127.080,45.120
'48:47:42.384',0.032,-,127.920,44.280
'48:47:42.392',0.032,-,127.920,43.560
'48:47:42.400',0.054,-,127.920,43.080
'48:47:42.408',0.075,-,127.920,42.720
'48:47:42.416',0.097,-,127.080,42.360
'48:47:42.424',0.075,-,126.360,41.520
'48:47:42.432',0.140,-,124.680,41.160
'48:47:42.440',0.118,-,123.120,40.680
'48:47:42.448',0.118,-,120.720,40.320
'48:47:42.456',0.075,-,118.320,39.960
'48:47:42.464',0.075,-,115.920,39.120
'48:47:42.472',0.075,-,112.680,38.280
'48:47:42.480',0.097,-,110.280,37.920
'48:47:42.488',0.075,-,108.720,37.080
'48:47:42.496',0.032,-,107.160,36.720
'48:47:42.504',0.000,-,105.480,36.360
'48:47:42.512',0.000,-,103.920,36.360
'48:47:42.520',0.000,-,103.080,36.720
'48:47:42.528',0.000,-,102.360,36.720
'48:47:42.536',-0.011,-,101.520,36.720
'48:47:42.544',0.000,-,100.680,36.360
'48:47:42.552',-0.011,-,99.960,35.880
'48:47:42.560',0.000,-,99.120,35.880
'48:47:42.568',0.000,-,98.280,35.880
'48:47:42.576',0.075,-,97.560,35.520
'48:47:42.584',0.355,-,95.880,35.520
'48:47:42.592',0.731,-,94.320,35.520
'48:47:42.600',0.774,-,92.760,35.520
'48:47:42.608',0.151,-,91.080,35.880
'48:47:42.616',0.011,-,88.680,35.880
'48:47:42.624',-0.140,-,85.560,36.360
'48:47:42.632',-0.290,-,81.480,36.360
'48:47:42.640',-0.333,-,78.360,36.360
'48:47:42.648',-0.237,-,74.280,37.080
'48:47:42.656',-0.215,-,70.320,37.920
'48:47:42.664',-0.172,-,67.080,39.120
'48:47:42.672',-0.172,-,64.680,41.160
'48:47:42.680',-0.172,-,62.280,43.560
'48:47:42.688',-0.172,-,60.720,46.320
'48:47:42.696',-0.151,-,59.880,48.720
'48:47:42.704',-0.172,-,59.880,51.960
'48:47:42.712',-0.140,-,60.720,54.720
'48:47:42.720',-0.151,-,61.560,57.960
'48:47:42.728',-0.151,-,63.120,60.720
'48:47:42.736',-0.140,-,65.520,63.960
'48:47:42.744',-0.151,-,67.920,67.080
'48:47:42.752',-0.140,-,70.320,70.320
'48:47:42.760',-0.151,-,72.720,73.080
'48:47:42.768',-0.151,-,75.120,75.480
'48:47:42.776',-0.140,-,76.680,77.520
'48:47:42.784',-0.172,-,79.080,78.360
'48:47:42.792',-0.151,-,80.760,78.720
'48:47:42.800',-0.151,-,83.160,79.080
'48:47:42.808',-0.172,-,85.560,78.720
'48:47:42.816',-0.151,-,88.680,78.360
'48:47:42.824',-0.172,-,91.920,77.520
'48:47:42.832',-0.151,-,95.160,76.680
'48:47:42.840',-0.140,-,98.280,75.960
'48:47:42.848',-0.097,-,101.520,75.120
'48:47:42.856',-0.097,-,103.920,73.920
'48:47:42.864',-0.032,-,106.320,73.080
'48:47:42.872',0.000,-,108.720,71.880
'48:47:42.880',0.032,-,110.280,70.680
'48:47:42.888',0.054,-,111.120,69.120
'48:47:42.896',0.075,-,111.960,67.080
'48:47:42.904',0.097,-,111.960,65.160
'48:47:42.912',0.118,-,111.120,63.120
'48:47:42.920',0.118,-,110.280,61.560
'48:47:42.928',0.118,-,108.720,60.720
'48:47:42.936',0.075,-,106.320,60.360
'48:47:42.944',0.075,-,103.920,59.880
'48:47:42.952',0.054,-,100.680,59.520
