'Elapsed time','II','AVR','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'44:52:35.200',-0.057,-,-,-0.057,-,-,-
'44:52:35.208',-0.057,-,-,-0.066,-,-,-
'44:52:35.216',-0.047,-,-,-0.057,-,-,-
'44:52:35.224',-0.047,-,-,-0.047,-,-,-
'44:52:35.232',-0.047,-,-,-0.057,-,-,-
'44:52:35.240',-0.057,-,-,-0.047,-,-,-
'44:52:35.248',-0.057,-,-,-0.066,-,-,-
'44:52:35.256',-0.047,-,-,-0.047,-,-,-
'44:52:35.264',-0.009,-,-,-0.047,-,-,-
'44:52:35.272',0.057,-,-,0.000,-,-,-
'44:52:35.280',0.189,-,-,0.094,-,-,-
'44:52:35.288',0.358,-,-,0.236,-,-,-
'44:52:35.296',0.491,-,-,0.425,-,-,-
'44:52:35.304',0.538,-,-,0.396,-,-,-
'44:52:35.312',0.557,-,-,0.453,-,-,-
'44:52:35.320',0.434,-,-,0.472,-,-,-
'44:52:35.328',0.208,-,-,0.198,-,-,-
'44:52:35.336',0.009,-,-,0.009,-,-,-
'44:52:35.344',-0.123,-,-,-0.104,-,-,-
'44:52:35.352',-0.255,-,-,-0.264,-,-,-
'44:52:35.360',-0.311,-,-,-0.349,-,-,-
'44:52:35.368',-0.274,-,-,-0.302,-,-,-
'44:52:35.376',-0.226,-,-,-0.255,-,-,-
'44:52:35.384',-0.179,-,-,-0.189,-,-,-
'44:52:35.392',-0.142,-,-,-0.113,-,-,-
'44:52:35.400',-0.123,-,-,-0.113,-,-,-
'44:52:35.408',-0.123,-,-,-0.104,-,-,-
'44:52:35.416',-0.113,-,-,-0.094,-,-,-
'44:52:35.424',-0.113,-,-,-0.094,-,-,-
'44:52:35.432',-0.113,-,-,-0.094,-,-,-
'44:52:35.440',-0.113,-,-,-0.094,-,-,-
'44:52:35.448',-0.113,-,-,-0.094,-,-,-
'44:52:35.456',-0.113,-,-,-0.104,-,-,-
'44:52:35.464',-0.113,-,-,-0.094,-,-,-
'44:52:35.472',-0.113,-,-,-0.104,-,-,-
'44:52:35.480',-0.113,-,-,-0.094,-,-,-
'44:52:35.488',-0.113,-,-,-0.104,-,-,-
'44:52:35.496',-0.123,-,-,-0.113,-,-,-
'44:52:35.504',-0.123,-,-,-0.104,-,-,-
'44:52:35.512',-0.123,-,-,-0.113,-,-,-
'44:52:35.520',-0.142,-,-,-0.113,-,-,-
'44:52:35.528',-0.123,-,-,-0.113,-,-,-
'44:52:35.536',-0.123,-,-,-0.113,-,-,-
'44:52:35.544',-0.113,-,-,-0.113,-,-,-
'44:52:35.552',-0.075,-,-,-0.094,-,-,-
'44:52:35.560',-0.047,-,-,-0.066,-,-,-
'44:52:35.568',-0.009,-,-,-0.038,-,-,-
'44:52:35.576',0.009,-,-,-0.009,-,-,-
'44:52:35.584',0.047,-,-,0.019,-,-,-
'44:52:35.592',0.057,-,-,0.038,-,-,-
'44:52:35.600',0.075,-,-,0.057,-,-,-
'44:52:35.608',0.075,-,-,0.047,-,-,-
'44:52:35.616',0.057,-,-,0.057,-,-,-
'44:52:35.624',0.047,-,-,0.038,-,-,-
'44:52:35.632',0.047,-,-,0.038,-,-,-
'44:52:35.640',0.028,-,-,0.019,-,-,-
'44:52:35.648',0.009,-,-,0.019,-,-,-
'44:52:35.656',0.009,-,-,0.009,-,-,-
'44:52:35.664',0.009,-,-,0.019,-,-,-
'44:52:35.672',0.009,-,-,0.009,-,-,-
'44:52:35.680',0.028,-,-,0.019,-,-,-
'44:52:35.688',0.047,-,-,0.019,-,-,-
'44:52:35.696',0.047,-,-,0.038,-,-,-
'44:52:35.704',0.057,-,-,0.047,-,-,-
'44:52:35.712',0.057,-,-,0.047,-,-,-
'44:52:35.720',0.075,-,-,0.057,-,-,-
'44:52:35.728',0.075,-,-,0.066,-,-,-
