'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg'
'142:11:12.120',-,-0.011,-,-,-,-,-,-,-
'142:11:12.128',-,-0.023,-,-,-,-,-,-,-
'142:11:12.136',-,-0.011,-,-,-,-,-,-,-
'142:11:12.144',-,-0.011,-,-,-,-,-,-,-
'142:11:12.152',-,-0.011,-,-,-,-,-,-,-
'142:11:12.160',-,-0.011,-,-,-,-,-,-,-
'142:11:12.168',-,-0.011,-,-,-,-,-,-,-
'142:11:12.176',-,-0.011,-,-,-,-,-,-,-
'142:11:12.184',-,-0.011,-,-,-,-,-,-,-
'142:11:12.192',-,-0.011,-,-,-,-,-,-,-
'142:11:12.200',-,-0.011,-,-,-,-,-,-,-
'142:11:12.208',-,-0.011,-,-,-,-,-,-,-
'142:11:12.216',-,0.000,-,-,-,-,-,-,-
'142:11:12.224',-,-0.011,-,-,-,-,-,-,-
'142:11:12.232',-,-0.011,-,-,-,-,-,-,-
'142:11:12.240',-,-0.011,-,-,-,-,-,-,-
'142:11:12.248',-,0.000,-,-,-,-,-,-,-
'142:11:12.256',-,-0.011,-,-,-,-,-,-,-
'142:11:12.264',-,0.000,-,-,-,-,-,-,-
'142:11:12.272',-,0.000,-,-,-,-,-,-,-
'142:11:12.280',-,0.000,-,-,-,-,-,-,-
'142:11:12.288',-,0.000,-,-,-,-,-,-,-
'142:11:12.296',-,0.000,-,-,-,-,-,-,-
'142:11:12.304',-,-0.011,-,-,-,-,-,-,-
'142:11:12.312',-,0.000,-,-,-,-,-,-,-
'142:11:12.320',-,0.000,-,-,-,-,-,-,-
'142:11:12.328',-,0.000,-,-,-,-,-,-,-
'142:11:12.336',-,0.000,-,-,-,-,-,-,-
'142:11:12.344',-,0.000,-,-,-,-,-,-,-
'142:11:12.352',-,0.000,-,-,-,-,-,-,-
'142:11:12.360',-,0.000,-,-,-,-,-,-,-
'142:11:12.368',-,0.000,-,-,-,-,-,-,-
'142:11:12.376',-,0.000,-,-,-,-,-,-,-
'142:11:12.384',-,0.000,-,-,-,-,-,-,-
'142:11:12.392',-,0.000,-,-,-,-,-,-,-
'142:11:12.400',-,0.000,-,-,-,-,-,-,-
'142:11:12.408',-,0.000,-,-,-,-,-,-,-
'142:11:12.416',-,0.000,-,-,-,-,-,-,-
'142:11:12.424',-,0.000,-,-,-,-,-,-,-
'142:11:12.432',-,0.000,-,-,-,-,-,-,-
'142:11:12.440',-,0.000,-,-,-,-,-,-,-
'142:11:12.448',-,0.000,-,-,-,-,-,-,-
'142:11:12.456',-,0.000,-,-,-,-,-,-,-
'142:11:12.464',-,0.000,-,-,-,-,-,-,-
'142:11:12.472',-,0.000,-,-,-,-,-,-,-
'142:11:12.480',-,0.000,-,-,-,-,-,-,-
'142:11:12.488',-,-0.011,-,-,-,-,-,-,-
'142:11:12.496',-,-0.023,-,-,-,-,-,-,-
'142:11:12.504',-,-0.034,-,-,-,-,-,-,-
'142:11:12.512',-,-0.034,-,-,-,-,-,-,-
'142:11:12.520',-,-0.034,-,-,-,-,-,-,-
'142:11:12.528',-,-0.034,-,-,-,-,-,-,-
'142:11:12.536',-,-0.034,-,-,-,-,-,-,-
'142:11:12.544',-,-0.023,-,-,-,-,-,-,-
'142:11:12.552',-,-0.011,-,-,-,-,-,-,-
'142:11:12.560',-,0.000,-,-,-,-,-,-,-
'142:11:12.568',-,0.000,-,-,-,-,-,-,-
'142:11:12.576',-,0.000,-,-,-,-,-,-,-
'142:11:12.584',-,0.000,-,-,-,-,-,-,-
'142:11:12.592',-,0.011,-,-,-,-,-,-,-
'142:11:12.600',-,0.023,-,-,-,-,-,-,-
'142:11:12.608',-,0.080,-,-,-,-,-,-,-
'142:11:12.616',-,0.218,-,-,-,-,-,-,-
'142:11:12.624',-,0.414,-,-,-,-,-,-,-
'142:11:12.632',-,0.506,-,-,-,-,-,-,-
'142:11:12.640',-,0.368,-,-,-,-,-,-,-
'142:11:12.648',-,0.207,-,-,-,-,-,-,-
'142:11:12.656',-,0.126,-,-,-,-,-,-,-
'142:11:12.664',-,0.103,-,-,-,-,-,-,-
'142:11:12.672',-,0.069,-,-,-,-,-,-,-
'142:11:12.680',-,0.000,-,-,-,-,-,-,-
'142:11:12.688',-,-0.069,-,-,-,-,-,-,-
'142:11:12.696',-,-0.103,-,-,-,-,-,-,-
'142:11:12.704',-,-0.115,-,-,-,-,-,-,-
'142:11:12.712',-,-0.057,-,-,-,-,-,-,-
'142:11:12.720',-,-0.034,-,-,-,-,-,-,-
'142:11:12.728',-,-0.023,-,-,-,-,-,-,-
'142:11:12.736',-,-0.011,-,-,-,-,-,-,-
'142:11:12.744',-,-0.011,-,-,-,-,-,-,-
'142:11:12.752',-,-0.011,-,-,-,-,-,-,-
'142:11:12.760',-,-0.011,-,-,-,-,-,-,-
'142:11:12.768',-,-0.011,-,-,-,-,-,-,-
'142:11:12.776',-,-0.011,-,-,-,-,-,-,-
'142:11:12.784',-,0.000,-,-,-,-,-,-,-
'142:11:12.792',-,0.000,-,-,-,-,-,-,-
'142:11:12.800',-,0.000,-,-,-,-,-,-,-
'142:11:12.808',-,0.000,-,-,-,-,-,-,-
'142:11:12.816',-,0.000,-,-,-,-,-,-,-
'142:11:12.824',-,0.000,-,-,-,-,-,-,-
'142:11:12.832',-,0.000,-,-,-,-,-,-,-
'142:11:12.840',-,0.000,-,-,-,-,-,-,-
'142:11:12.848',-,0.011,-,-,-,-,-,-,-
'142:11:12.856',-,0.023,-,-,-,-,-,-,-
'142:11:12.864',-,0.057,-,-,-,-,-,-,-
'142:11:12.872',-,0.069,-,-,-,-,-,-,-
'142:11:12.880',-,0.080,-,-,-,-,-,-,-
'142:11:12.888',-,0.080,-,-,-,-,-,-,-
'142:11:12.896',-,0.103,-,-,-,-,-,-,-
'142:11:12.904',-,0.103,-,-,-,-,-,-,-
'142:11:12.912',-,0.080,-,-,-,-,-,-,-
'142:11:12.920',-,0.080,-,-,-,-,-,-,-
'142:11:12.928',-,0.069,-,-,-,-,-,-,-
'142:11:12.936',-,0.034,-,-,-,-,-,-,-
'142:11:12.944',-,0.011,-,-,-,-,-,-,-
'142:11:12.952',-,0.000,-,-,-,-,-,-,-
'142:11:12.960',-,0.000,-,-,-,-,-,-,-
'142:11:12.968',-,-0.011,-,-,-,-,-,-,-
'142:11:12.976',-,-0.011,-,-,-,-,-,-,-
'142:11:12.984',-,-0.023,-,-,-,-,-,-,-
'142:11:12.992',-,-0.023,-,-,-,-,-,-,-
'142:11:13.000',-,-0.023,-,-,-,-,-,-,-
'142:11:13.008',-,-0.023,-,-,-,-,-,-,-
'142:11:13.016',-,-0.023,-,-,-,-,-,-,-
'142:11:13.024',-,-0.023,-,-,-,-,-,-,-
'142:11:13.032',-,-0.023,-,-,-,-,-,-,-
'142:11:13.040',-,-0.023,-,-,-,-,-,-,-
'142:11:13.048',-,-0.023,-,-,-,-,-,-,-
'142:11:13.056',-,-0.023,-,-,-,-,-,-,-
'142:11:13.064',-,-0.023,-,-,-,-,-,-,-
'142:11:13.072',-,-0.023,-,-,-,-,-,-,-
'142:11:13.080',-,-0.023,-,-,-,-,-,-,-
'142:11:13.088',-,-0.023,-,-,-,-,-,-,-
'142:11:13.096',-,-0.023,-,-,-,-,-,-,-
'142:11:13.104',-,-0.023,-,-,-,-,-,-,-
'142:11:13.112',-,-0.023,-,-,-,-,-,-,-
'142:11:13.120',-,-0.023,-,-,-,-,-,-,-
'142:11:13.128',-,-0.023,-,-,-,-,-,-,-
'142:11:13.136',-,-0.023,-,-,-,-,-,-,-
'142:11:13.144',-,-0.023,-,-,-,-,-,-,-
'142:11:13.152',-,-0.011,-,-,-,-,-,-,-
'142:11:13.160',-,-0.011,-,-,-,-,-,-,-
'142:11:13.168',-,-0.011,-,-,-,-,-,-,-
'142:11:13.176',-,-0.011,-,-,-,-,-,-,-
'142:11:13.184',-,-0.011,-,-,-,-,-,-,-
'142:11:13.192',-,-0.011,-,-,-,-,-,-,-
'142:11:13.200',-,-0.011,-,-,-,-,-,-,-
'142:11:13.208',-,-0.011,-,-,-,-,-,-,-
'142:11:13.216',-,-0.011,-,-,-,-,-,-,-
'142:11:13.224',-,-0.011,-,-,-,-,-,-,-
'142:11:13.232',-,0.000,-,-,-,-,-,-,-
'142:11:13.240',-,-0.011,-,-,-,-,-,-,-
'142:11:13.248',-,-0.011,-,-,-,-,-,-,-
'142:11:13.256',-,-0.011,-,-,-,-,-,-,-
'142:11:13.264',-,-0.011,-,-,-,-,-,-,-
'142:11:13.272',-,-0.011,-,-,-,-,-,-,-
'142:11:13.280',-,0.000,-,-,-,-,-,-,-
