'Elapsed time','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'95:54:24.840',-0.042,-,0.000,219.200
'95:54:24.848',0.000,-,0.000,228.000
'95:54:24.856',0.014,-,0.000,232.800
'95:54:24.864',0.042,-,0.000,232.800
'95:54:24.872',0.069,-,0.000,230.400
'95:54:24.880',0.097,-,0.000,225.600
'95:54:24.888',0.097,-,0.000,220.800
'95:54:24.896',0.097,-,0.000,216.000
'95:54:24.904',0.097,-,0.000,211.200
'95:54:24.912',0.042,-,0.000,207.200
'95:54:24.920',0.014,-,0.000,202.400
'95:54:24.928',0.000,-,0.000,199.200
'95:54:24.936',0.000,-,0.000,195.200
'95:54:24.944',-0.042,-,0.000,192.000
'95:54:24.952',-0.069,-,0.000,188.000
'95:54:24.960',-0.097,-,0.000,184.800
'95:54:24.968',-0.097,-,0.000,180.000
'95:54:24.976',-0.069,-,0.000,173.600
'95:54:24.984',-0.069,-,0.000,166.400
'95:54:24.992',-0.069,-,0.000,159.200
'95:54:25.000',-0.069,-,0.000,152.000
'95:54:25.008',-0.042,-,0.000,144.800
'95:54:25.016',-0.069,-,0.000,139.200
'95:54:25.024',-0.069,-,0.000,134.400
'95:54:25.032',-0.069,-,0.000,130.400
'95:54:25.040',-0.097,-,0.000,128.000
'95:54:25.048',-0.097,-,0.000,127.200
'95:54:25.056',-0.097,-,0.000,125.600
'95:54:25.064',-0.069,-,-0.050,124.800
'95:54:25.072',-0.069,-,0.000,124.800
'95:54:25.080',-0.097,-,-0.050,124.800
'95:54:25.088',-0.069,-,0.000,124.800
'95:54:25.096',-0.042,-,0.000,124.800
'95:54:25.104',-0.042,-,0.000,124.800
'95:54:25.112',-0.042,-,0.000,124.800
'95:54:25.120',-0.042,-,0.000,123.200
'95:54:25.128',-0.042,-,0.000,122.400
'95:54:25.136',-0.042,-,0.000,120.800
'95:54:25.144',-0.042,-,0.000,120.000
'95:54:25.152',-0.042,-,0.000,118.400
'95:54:25.160',-0.042,-,0.000,117.600
'95:54:25.168',-0.042,-,0.000,116.000
'95:54:25.176',-0.042,-,0.000,115.200
'95:54:25.184',-0.069,-,0.000,113.600
'95:54:25.192',-0.097,-,0.000,112.800
'95:54:25.200',-0.097,-,-0.050,111.200
'95:54:25.208',-0.125,-,-0.050,110.400
'95:54:25.216',-0.125,-,-0.050,108.800
'95:54:25.224',-0.125,-,-0.050,108.000
'95:54:25.232',-0.125,-,-0.050,106.400
'95:54:25.240',-0.097,-,0.000,105.600
'95:54:25.248',-0.069,-,0.000,104.000
'95:54:25.256',-0.042,-,0.000,103.200
'95:54:25.264',-0.069,-,0.000,103.200
'95:54:25.272',-0.042,-,0.000,101.600
'95:54:25.280',-0.097,-,0.050,100.800
'95:54:25.288',-0.125,-,0.000,100.800
'95:54:25.296',0.000,-,0.150,99.200
'95:54:25.304',0.389,-,0.050,99.200
'95:54:25.312',0.819,-,-0.150,98.400
'95:54:25.320',0.875,-,-0.362,98.400
'95:54:25.328',0.264,-,-0.725,96.800
'95:54:25.336',0.097,-,-0.575,96.800
'95:54:25.344',-0.014,-,-0.362,96.000
'95:54:25.352',-0.139,-,-0.263,96.000
'95:54:25.360',-0.194,-,-0.100,94.400
'95:54:25.368',-0.167,-,0.000,94.400
'95:54:25.376',-0.125,-,0.050,94.400
'95:54:25.384',-0.125,-,0.000,93.600
'95:54:25.392',-0.125,-,0.050,93.600
'95:54:25.400',-0.125,-,0.000,93.600
'95:54:25.408',-0.097,-,0.050,93.600
'95:54:25.416',-0.125,-,0.000,94.400
'95:54:25.424',-0.097,-,0.000,98.400
'95:54:25.432',-0.125,-,0.000,103.200
'95:54:25.440',-0.125,-,0.000,111.200
'95:54:25.448',-0.125,-,-0.050,123.200
'95:54:25.456',-0.125,-,-0.050,137.600
'95:54:25.464',-0.125,-,0.000,154.400
'95:54:25.472',-0.125,-,-0.050,171.200
'95:54:25.480',-0.125,-,0.000,188.000
'95:54:25.488',-0.125,-,-0.050,202.400
