'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'47:46:00.696',-0.064,-,-,0.016,-,-
'47:46:00.704',-0.064,-,-,0.016,-,-
'47:46:00.712',-0.072,-,-,0.008,-,-
'47:46:00.720',-0.064,-,-,0.008,-,-
'47:46:00.728',-0.064,-,-,0.016,-,-
'47:46:00.736',-0.056,-,-,0.024,-,-
'47:46:00.744',-0.056,-,-,0.024,-,-
'47:46:00.752',-0.056,-,-,0.016,-,-
'47:46:00.760',-0.056,-,-,0.016,-,-
'47:46:00.768',-0.056,-,-,0.024,-,-
'47:46:00.776',-0.048,-,-,0.024,-,-
'47:46:00.784',-0.048,-,-,0.032,-,-
'47:46:00.792',-0.040,-,-,0.032,-,-
'47:46:00.800',-0.040,-,-,0.032,-,-
'47:46:00.808',-0.040,-,-,0.040,-,-
'47:46:00.816',-0.032,-,-,0.040,-,-
'47:46:00.824',-0.024,-,-,0.048,-,-
'47:46:00.832',-0.016,-,-,0.056,-,-
'47:46:00.840',-0.008,-,-,0.064,-,-
'47:46:00.848',0.008,-,-,0.064,-,-
'47:46:00.856',0.024,-,-,0.072,-,-
'47:46:00.864',0.032,-,-,0.072,-,-
'47:46:00.872',0.032,-,-,0.064,-,-
'47:46:00.880',0.040,-,-,0.064,-,-
'47:46:00.888',0.040,-,-,0.056,-,-
'47:46:00.896',0.032,-,-,0.040,-,-
'47:46:00.904',0.032,-,-,0.032,-,-
'47:46:00.912',0.024,-,-,0.032,-,-
'47:46:00.920',0.016,-,-,0.024,-,-
'47:46:00.928',0.008,-,-,0.016,-,-
'47:46:00.936',0.008,-,-,0.016,-,-
'47:46:00.944',0.000,-,-,0.008,-,-
'47:46:00.952',0.000,-,-,0.008,-,-
'47:46:00.960',-0.008,-,-,0.008,-,-
'47:46:00.968',-0.008,-,-,0.008,-,-
'47:46:00.976',-0.008,-,-,0.008,-,-
'47:46:00.984',-0.008,-,-,0.008,-,-
'47:46:00.992',0.000,-,-,0.008,-,-
'47:46:01.000',0.000,-,-,0.008,-,-
'47:46:01.008',-0.008,-,-,0.008,-,-
'47:46:01.016',0.000,-,-,0.008,-,-
'47:46:01.024',0.000,-,-,0.008,-,-
'47:46:01.032',0.000,-,-,0.016,-,-
'47:46:01.040',0.000,-,-,0.016,-,-
'47:46:01.048',0.008,-,-,0.016,-,-
'47:46:01.056',0.008,-,-,0.024,-,-
'47:46:01.064',0.000,-,-,0.016,-,-
'47:46:01.072',0.000,-,-,0.008,-,-
'47:46:01.080',0.000,-,-,0.016,-,-
'47:46:01.088',0.008,-,-,0.016,-,-
'47:46:01.096',0.000,-,-,0.016,-,-
'47:46:01.104',0.000,-,-,0.008,-,-
'47:46:01.112',0.000,-,-,0.008,-,-
'47:46:01.120',0.000,-,-,0.008,-,-
'47:46:01.128',0.000,-,-,0.008,-,-
'47:46:01.136',-0.008,-,-,0.000,-,-
'47:46:01.144',0.000,-,-,0.008,-,-
'47:46:01.152',0.000,-,-,0.008,-,-
'47:46:01.160',0.000,-,-,0.008,-,-
'47:46:01.168',-0.008,-,-,0.000,-,-
'47:46:01.176',0.000,-,-,0.008,-,-
'47:46:01.184',0.000,-,-,0.008,-,-
'47:46:01.192',0.008,-,-,0.016,-,-
'47:46:01.200',0.024,-,-,0.024,-,-
'47:46:01.208',0.032,-,-,0.040,-,-
'47:46:01.216',0.040,-,-,0.048,-,-
'47:46:01.224',0.048,-,-,0.048,-,-
'47:46:01.232',0.072,-,-,0.056,-,-
'47:46:01.240',0.096,-,-,0.072,-,-
'47:46:01.248',0.096,-,-,0.072,-,-
'47:46:01.256',0.064,-,-,0.048,-,-
'47:46:01.264',0.040,-,-,0.024,-,-
'47:46:01.272',0.024,-,-,0.008,-,-
'47:46:01.280',0.000,-,-,-0.008,-,-
'47:46:01.288',-0.032,-,-,-0.024,-,-
'47:46:01.296',-0.048,-,-,-0.032,-,-
'47:46:01.304',-0.056,-,-,-0.032,-,-
'47:46:01.312',-0.064,-,-,-0.040,-,-
'47:46:01.320',-0.064,-,-,-0.040,-,-
'47:46:01.328',-0.064,-,-,-0.040,-,-
'47:46:01.336',-0.064,-,-,-0.040,-,-
'47:46:01.344',-0.064,-,-,-0.040,-,-
'47:46:01.352',-0.064,-,-,-0.032,-,-
'47:46:01.360',-0.056,-,-,-0.032,-,-
