'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'14:58:06.416',0.064,0.058,-,-,-,-,48.000
'14:58:06.424',0.088,0.074,-,-,-,-,48.000
'14:58:06.432',0.120,0.116,-,-,-,-,48.000
'14:58:06.440',0.104,0.099,-,-,-,-,48.000
'14:58:06.448',0.120,0.058,-,-,-,-,47.200
'14:58:06.456',0.136,0.091,-,-,-,-,47.200
'14:58:06.464',0.160,0.116,-,-,-,-,47.200
'14:58:06.472',0.184,0.140,-,-,-,-,46.400
'14:58:06.480',0.224,0.215,-,-,-,-,46.400
'14:58:06.488',0.184,0.281,-,-,-,-,45.600
'14:58:06.496',0.168,0.314,-,-,-,-,45.600
'14:58:06.504',0.120,0.331,-,-,-,-,45.600
'14:58:06.512',0.024,0.289,-,-,-,-,44.800
'14:58:06.520',-0.056,0.231,-,-,-,-,44.800
'14:58:06.528',-0.072,0.165,-,-,-,-,44.000
'14:58:06.536',-0.024,0.124,-,-,-,-,44.000
'14:58:06.544',0.040,0.066,-,-,-,-,43.200
'14:58:06.552',0.064,0.033,-,-,-,-,43.200
'14:58:06.560',0.008,0.000,-,-,-,-,44.000
'14:58:06.568',-0.016,-0.008,-,-,-,-,44.800
'14:58:06.576',-0.040,-0.017,-,-,-,-,46.400
'14:58:06.584',-0.072,-0.033,-,-,-,-,49.600
'14:58:06.592',-0.088,-0.050,-,-,-,-,54.400
'14:58:06.600',-0.096,-0.041,-,-,-,-,60.800
'14:58:06.608',-0.088,-0.058,-,-,-,-,66.400
'14:58:06.616',-0.112,-0.058,-,-,-,-,70.400
'14:58:06.624',-0.128,-0.058,-,-,-,-,72.000
'14:58:06.632',-0.112,-0.074,-,-,-,-,72.800
'14:58:06.640',-0.136,-0.099,-,-,-,-,72.000
'14:58:06.648',-0.136,-0.099,-,-,-,-,72.000
'14:58:06.656',-0.136,-0.124,-,-,-,-,70.400
'14:58:06.664',-0.144,-0.132,-,-,-,-,68.800
'14:58:06.672',-0.128,-0.132,-,-,-,-,66.400
'14:58:06.680',-0.128,-0.140,-,-,-,-,64.800
'14:58:06.688',-0.136,-0.140,-,-,-,-,62.400
'14:58:06.696',-0.112,-0.140,-,-,-,-,60.800
'14:58:06.704',-0.128,-0.140,-,-,-,-,59.200
'14:58:06.712',-0.088,-0.140,-,-,-,-,57.600
'14:58:06.720',-0.072,-0.140,-,-,-,-,55.200
'14:58:06.728',-0.040,-0.124,-,-,-,-,52.800
'14:58:06.736',-0.032,-0.116,-,-,-,-,52.000
'14:58:06.744',-0.024,-0.132,-,-,-,-,52.000
'14:58:06.752',0.000,-0.107,-,-,-,-,52.800
'14:58:06.760',-0.016,-0.116,-,-,-,-,54.400
'14:58:06.768',0.008,-0.099,-,-,-,-,55.200
