'Elapsed time','I','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'47:39:13.448',-,-0.096,-,109.600,39.600
'47:39:13.456',-,-0.120,-,116.800,42.000
'47:39:13.464',-,-0.120,-,121.600,44.800
'47:39:13.472',-,-0.136,-,124.000,48.000
'47:39:13.480',-,-0.160,-,124.000,51.600
'47:39:13.488',-,-0.160,-,122.400,55.200
'47:39:13.496',-,-0.160,-,120.000,58.400
'47:39:13.504',-,-0.160,-,116.800,61.200
'47:39:13.512',-,-0.136,-,112.800,63.200
'47:39:13.520',-,-0.120,-,109.600,64.400
'47:39:13.528',-,-0.080,-,104.800,64.800
'47:39:13.536',-,-0.056,-,100.800,64.400
'47:39:13.544',-,-0.040,-,96.800,63.200
'47:39:13.552',-,-0.016,-,92.800,61.600
'47:39:13.560',-,0.000,-,88.000,59.200
'47:39:13.568',-,0.016,-,84.000,56.000
'47:39:13.576',-,0.016,-,79.200,53.200
'47:39:13.584',-,0.040,-,74.400,50.400
'47:39:13.592',-,0.056,-,70.400,48.000
'47:39:13.600',-,0.080,-,65.600,46.000
'47:39:13.608',-,0.080,-,61.600,44.000
'47:39:13.616',-,0.080,-,58.400,42.000
'47:39:13.624',-,0.080,-,55.200,40.400
'47:39:13.632',-,0.056,-,52.000,39.200
'47:39:13.640',-,0.040,-,49.600,38.800
'47:39:13.648',-,0.040,-,47.200,38.800
'47:39:13.656',-,0.040,-,46.400,39.600
'47:39:13.664',-,0.040,-,44.800,40.400
'47:39:13.672',-,0.040,-,44.000,41.200
'47:39:13.680',-,0.040,-,44.000,42.000
'47:39:13.688',-,0.040,-,43.200,42.000
'47:39:13.696',-,0.040,-,43.200,42.400
'47:39:13.704',-,0.040,-,44.000,42.400
'47:39:13.712',-,0.040,-,44.000,42.400
'47:39:13.720',-,0.040,-,44.800,42.000
'47:39:13.728',-,0.040,-,44.800,41.600
'47:39:13.736',-,0.016,-,44.800,40.400
'47:39:13.744',-,0.016,-,44.800,39.600
'47:39:13.752',-,0.016,-,44.800,38.400
'47:39:13.760',-,0.016,-,44.800,37.200
'47:39:13.768',-,0.016,-,44.800,36.400
'47:39:13.776',-,0.056,-,44.800,35.200
'47:39:13.784',-,0.120,-,44.000,34.800
'47:39:13.792',-,0.240,-,44.000,34.000
'47:39:13.800',-,0.384,-,44.000,34.000
'47:39:13.808',-,0.488,-,43.200,34.000
'47:39:13.816',-,0.528,-,43.200,34.000
'47:39:13.824',-,0.448,-,42.400,34.400
'47:39:13.832',-,0.264,-,42.400,34.400
'47:39:13.840',-,0.080,-,42.400,34.800
'47:39:13.848',-,-0.040,-,42.400,34.800
'47:39:13.856',-,-0.096,-,41.600,35.200
'47:39:13.864',-,-0.120,-,41.600,35.600
'47:39:13.872',-,-0.120,-,41.600,36.400
'47:39:13.880',-,-0.096,-,41.600,36.800
'47:39:13.888',-,-0.096,-,41.600,37.600
'47:39:13.896',-,-0.096,-,41.600,38.400
'47:39:13.904',-,-0.080,-,42.400,38.800
'47:39:13.912',-,-0.080,-,44.800,39.200
'47:39:13.920',-,-0.080,-,48.000,39.200
'47:39:13.928',-,-0.080,-,53.600,38.400
'47:39:13.936',-,-0.080,-,62.400,37.200
'47:39:13.944',-,-0.080,-,72.800,35.600
'47:39:13.952',-,-0.056,-,84.800,34.800
'47:39:13.960',-,-0.056,-,96.000,34.800
'47:39:13.968',-,-0.056,-,106.400,35.600
'47:39:13.976',-,-0.080,-,113.600,37.600
'47:39:13.984',-,-0.080,-,119.200,40.000
'47:39:13.992',-,-0.096,-,121.600,43.200
'47:39:14.000',-,-0.136,-,122.400,46.800
'47:39:14.008',-,-0.160,-,121.600,50.000
'47:39:14.016',-,-0.176,-,120.000,53.200
'47:39:14.024',-,-0.176,-,116.800,56.000
'47:39:14.032',-,-0.160,-,112.800,58.400
'47:39:14.040',-,-0.136,-,109.600,59.600
'47:39:14.048',-,-0.120,-,104.800,60.000
'47:39:14.056',-,-0.080,-,100.800,60.000
'47:39:14.064',-,-0.056,-,96.800,58.800
'47:39:14.072',-,-0.016,-,92.000,57.200
'47:39:14.080',-,0.000,-,87.200,54.800
'47:39:14.088',-,0.000,-,82.400,51.600
'47:39:14.096',-,0.000,-,77.600,48.000
'47:39:14.104',-,0.016,-,72.000,45.200
'47:39:14.112',-,0.016,-,67.200,42.800
'47:39:14.120',-,0.016,-,62.400,40.400
'47:39:14.128',-,0.016,-,58.400,38.000
'47:39:14.136',-,0.016,-,54.400,36.400
'47:39:14.144',-,0.040,-,50.400,34.800
'47:39:14.152',-,0.056,-,47.200,33.600
'47:39:14.160',-,0.096,-,44.800,32.800
'47:39:14.168',-,0.200,-,42.400,32.000
'47:39:14.176',-,0.344,-,40.000,31.600
'47:39:14.184',-,0.464,-,39.200,32.000
'47:39:14.192',-,0.584,-,38.400,32.800
'47:39:14.200',-,0.632,-,38.400,33.600
'47:39:14.208',-,0.608,-,37.600,34.000
'47:39:14.216',-,0.448,-,37.600,34.800
'47:39:14.224',-,0.224,-,38.400,34.800
'47:39:14.232',-,0.040,-,38.400,34.800
'47:39:14.240',-,-0.040,-,39.200,34.400
'47:39:14.248',-,-0.080,-,40.000,34.000
'47:39:14.256',-,-0.096,-,40.800,33.200
'47:39:14.264',-,-0.096,-,41.600,32.800
'47:39:14.272',-,-0.096,-,41.600,32.000
'47:39:14.280',-,-0.080,-,42.400,31.600
'47:39:14.288',-,-0.080,-,43.200,31.200
'47:39:14.296',-,-0.096,-,44.800,30.800
'47:39:14.304',-,-0.096,-,46.400,30.000
'47:39:14.312',-,-0.120,-,50.400,29.200
'47:39:14.320',-,-0.120,-,57.600,28.800
'47:39:14.328',-,-0.136,-,66.400,28.000
'47:39:14.336',-,-0.136,-,77.600,27.600
'47:39:14.344',-,-0.160,-,88.800,26.800
'47:39:14.352',-,-0.200,-,98.400,26.000
'47:39:14.360',-,-0.240,-,104.800,25.600
'47:39:14.368',-,-0.280,-,109.600,25.600
'47:39:14.376',-,-0.320,-,111.200,26.000
'47:39:14.384',-,-0.344,-,111.200,26.400
